date,annualDilutedAverageShares,annualTotalAssets,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualRetainedEarnings,annualCostOfRevenue,annualOtherCurrentAssets,annualLongTermDebt,annualOperatingIncome,annualPretaxIncome,annualEndCashPosition,annualFreeCashFlow,annualCurrentDebt,annualNonCurrentDeferredRevenue,annualAccountsPayable,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualBasicAverageShares,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,annualCurrentDeferredRevenue,annualOperatingExpense,annualCapitalExpenditure,annualTotalRevenue,annualCapitalStock,annualPurchaseOfInvestment,annualChangesInAccountReceivables,annualInterestExpense,annualGoodwill,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualGrossProfit,annualOtherNonCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualDepreciationAndAmortization,annualStockholdersEquity,annualBasicEPS,annualTaxProvision,annualCurrentAccruedExpenses,annualDilutedEPS,annualCashAndCashEquivalents,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsReceivable,annualCurrentAssets,annualCommonStockIssuance,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualCurrentLiabilities,annualNetPPE,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualEbitda,annualChangeInAccountPayable,annualIncomeTaxPayable,annualInventory,annualResearchAndDevelopment,annualSaleOfInvestment,annualChangeInInventory,annualCashDividendsPaid,annualInvestmentsAndAdvances
2009-12-31,18474000,135407000,13528000,118873000,-1867000,-7981000,20842000,88027000,410000,,15982000,14407000,52927000,25063000,7000000,,4127000,13528000,0,16719000,0,2411000,134000,6460000,-9030000,4417000,45930000,-1049000,149939000,17000,,-2240000,185000,9222000,-9161000,-2671000,3246000,61912000,0,52927000,,0,22269000,30658000,-1617000,36688000,32214000,39248000,17346000,5618000,16534000,0.23,879000,3178000,0.22,52927000,26112000,88811000,27450000,98719000,,,2728000,-540000,30062000,23053000,525000,3904000,20210000,1536000,,,,,,,
2010-12-31,19314000,170858000,28308000,104609000,-2264000,-2049000,47718000,132528000,598000,,32790000,31095000,54004000,12108000,0,,2001000,28308000,-412000,17056000,26000,2939000,173000,-8043000,-10826000,5151000,56506000,-8365000,221824000,17000,,-13791000,76000,10032000,-13573000,-2704000,-14849000,89296000,0,54004000,,0,1077000,52927000,-2181000,42611000,38911000,47635000,28852000,6242000,66249000,0.84,2787000,7175000,0.79,54004000,20473000,68882000,41488000,128247000,,,2023000,-16040000,35727000,25338000,2924000,14310000,37413000,-2646000,,,,,,,
2011-12-31,20473000,235613000,44353000,140554000,-3514000,-315000,74508000,205336000,0,,56705000,52792000,88796000,37427000,,,2714000,44353000,0,17094000,-1558000,2866000,283000,-1558000,-17408000,6949000,72487000,-17093000,334528000,17000,,-19030000,37000,8169000,-15937000,497000,-3935000,129192000,1204000,88796000,-5000000,0,34792000,54004000,-5191000,52050000,51419000,64930000,45857000,7538000,95059000,0.69,8439000,24782000,0.63,88796000,54520000,87427000,59472000,183563000,,,1251000,0,53127000,35482000,5273000,11765000,60367000,254000,,,,,,,
2012-12-31,43821000,350814000,54484000,64534000,-1021000,401000,128992000,270361000,956000,,66006000,65863000,118112000,21422000,,1263000,6095000,54484000,-32951000,40190000,1532000,6826000,2691000,38847000,-59627000,6369000,97432000,-27077000,433799000,44000,,-12664000,,22698000,-21854000,-3933000,-17699000,163438000,1228000,119118000,0,1608000,29316000,88796000,-2084000,99859000,53135000,85868000,574000,10882000,286280000,1.27,11379000,19814000,1.17,118112000,48499000,5182000,78906000,250955000,32364000,1006000,16834000,0,59352000,53135000,1099000,51143000,76888000,1407000,,,,,,,
2013-12-31,48358000,432877000,61994000,56776000,-1832000,-5880000,190986000,347650000,1670000,,76493000,76770000,169207000,42305000,,533000,2835000,61994000,-20000,45754000,6201000,13150000,351000,15501000,-21820000,4543000,130974000,-15920000,555117000,46000,,-17302000,,22268000,-30164000,41000,-27413000,207467000,1228000,170395000,0,2287000,51095000,118112000,-2800000,101909000,53315000,116497000,1199000,15120000,376101000,1.35,14776000,20175000,1.28,169207000,58225000,2112000,95431000,330968000,0,1188000,13734000,,54664000,53315000,3634000,61994000,91613000,-2900000,,,,,,,
2014-12-31,49723000,594026000,69641000,129976000,-22054000,4000,260598000,456530000,959000,,88424000,86953000,220534000,89034000,,0,4641000,69641000,-37093000,47189000,-224000,24620000,4563000,10347000,-52929000,3220000,185073000,-15840000,730027000,48000,,-30410000,,57417000,-34532000,-3270000,-9283000,273497000,0,220534000,,35524000,51327000,169207000,-6240000,178939000,55134000,163666000,735000,17483000,464050000,1.48,17312000,32203000,1.4,220534000,104874000,4563000,124483000,415087000,0,0,47689000,,125413000,55134000,3524000,69641000,105907000,-2603000,,,,,,,
2015-12-31,51986000,778536000,84456000,165313000,-35150000,-30457000,345054000,566913000,1697000,35000000,105967000,106070000,199449000,58429000,,,2576000,84456000,-76908000,48721000,-21911000,45833000,2402000,33764000,-125494000,3047000,241248000,-17964000,914128000,49000,-165000,-47694000,,115930000,-39776000,-15328000,-51707000,347215000,0,229630000,,4347000,-21085000,220534000,-4628000,249601000,60499000,222759000,3883000,17395000,613223000,1.73,21614000,60384000,1.62,199449000,76393000,37402000,174617000,528935000,,30181000,46860000,,127911000,60499000,4351000,84456000,123362000,-2781000,,,,,,,
2016-12-31,53215000,925811000,99266000,144399000,-37688000,25495000,444320000,737186000,2141000,25048000,133696000,126466000,362025000,135500000,,,3213000,99266000,-5500000,50309000,2600000,49244000,,10467000,-9322000,3319000,289250000,-29317000,1160132000,50000,,-30612000,,109289000,-46601000,-3304000,-6279000,422946000,3132000,362428000,-30129000,2558000,162576000,199449000,-12078000,279260000,73616000,264658000,6228000,23387000,781412000,1.97,27200000,49895000,1.87,362025000,164817000,28180000,199982000,646551000,,403000,51260000,,116219000,73616000,10838000,99266000,157083000,741000,,,,,,,
2017-12-31,54984000,1250256000,72760000,275309000,-17623000,473000,518820000,921352000,5085000,25033000,172946000,174305000,582585000,165558000,,,5574000,72760000,-6840000,52077000,-4135000,52407000,,49746000,-36173000,4498000,356150000,-29806000,1450448000,53000,,-58745000,,119531000,-61706000,12561000,33033000,529096000,9435000,582585000,-25103000,18280000,220560000,362025000,-3242000,290223000,86419000,324855000,-4010000,28562000,974947000,1.4,101545000,89812000,1.32,582585000,195364000,94342000,265639000,960033000,,,44511000,,180967000,86419000,12691000,72760000,201508000,1221000,,,,,,,
2018-12-31,56673000,1611802000,240256000,349206000,-41514000,-699000,759533000,1186921000,,25031000,245764000,249773000,771711000,254644000,,,7444000,240256000,-74268000,53623000,-8350000,59188000,,23001000,-112123000,4558000,410227000,-37574000,1842912000,54000,,-31005000,,166832000,-78359000,-48000000,4998000,655991000,17661000,770560000,-3494000,25502000,188856000,582855000,487000,412734000,102646000,373587000,-1712000,36640000,1262596000,4.48,9517000,127937000,4.24,770560000,292218000,86377000,297685000,1199068000,,,57065000,,262829000,102646000,16208000,240256000,282404000,-772000,,,,,,,
