date,annualCapitalStock,annualCashFlowFromContinuingFinancingActivities,annualStockBasedCompensation,annualGrossProfit,annualOtherIncomeExpense,annualOtherIntangibleAssets,annualInventory,annualCurrentLiabilities,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualEbitda,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualChangeInInventory,annualCashCashEquivalentsAndMarketableSecurities,annualPurchaseOfInvestment,annualChangesInAccountReceivables,annualGoodwill,annualPretaxIncome,annualInterestExpense,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualGrossPPE,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualBasicAverageShares,annualCapitalExpenditure,annualOtherCurrentAssets,annualTotalRevenue,annualCostOfRevenue,annualTaxProvision,annualBasicEPS,annualCurrentDebt,annualEndCashPosition,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualOperatingIncome,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualResearchAndDevelopment,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualBeginningCashPosition,annualCurrentAssets,annualLongTermDebt,annualAccountsReceivable,annualNetIncome,annualTotalAssets,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualDilutedAverageShares,annualStockholdersEquity,annualOtherNonCashItems,annualDepreciationAndAmortization,annualSaleOfInvestment,annualDilutedEPS,annualCommonStockIssuance,annualCurrentAccruedExpenses,annualRetainedEarnings,annualCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable
1999-12-31,0,-127000000.0,,439000000.0,4000000.0,839000000.0,169000000,156000000,226000000,176000000.0,1081000000,201000000.0,57000000,-7000000.0,-14000000.0,0,0.0,,,113000000.0,,,,226000000,0.0,0.0,-49000000.0,0.0,232356000,-42000000.0,19000000,905000000.0,466000000.0,31000000.0,0.352907,0.0,0.0,,-127000000.0,117000000.0,,57000000,,55000000.0,-1000000.0,,1000000.0,213000000,134000000.0,322000000.0,-27000000,0.0,82000000.0,0,0.0,356000000,0,133000000,82000000.0,1437000000,15000000,233000000.0,82000000.0,232356000,1224000000,11000000.0,84000000.0,,0.352907,,,418000000,,,,,
2000-12-31,59000000,-37000000.0,,381000000.0,-320000000.0,511000000.0,73000000,219000000,183000000,137000000.0,806000000,169000000.0,62000000,,15000000.0,28000000,,,,-259000000.0,20000000.0,-144000000.0,,327000000,,28000000.0,-75000000.0,0.0,233600000,-46000000.0,15000000,804000000.0,423000000.0,13000000.0,-1.2025,61000000.0,28000000.0,,-482000000.0,95000000.0,158000000.0,429000000,,55000000.0,-12000000.0,,,648000000,91000000.0,286000000.0,1000000,-41000000.0,-272000000.0,28000000,0.0,282000000,367000000,107000000,-272000000.0,1088000000,112000000,216000000.0,-272000000.0,233600000,440000000,,74000000.0,,-1.2025,4000000.0,,103000000,,,,,
2001-12-31,59000000,-78000000.0,,368000000.0,-77000000.0,,87000000,184000000,178000000,101000000.0,680000000,81000000.0,20000000,,-7000000.0,48000000,,,402000000.0,-9000000.0,23000000.0,-144000000.0,-30000000.0,322000000,,20000000.0,-4000000.0,0.0,236000000,-38000000.0,20000000,692000000.0,324000000.0,1000000.0,-0.0475,1000000.0,48000000.0,,13000000.0,24000000.0,183000000.0,330000000,,55000000.0,-5000000.0,,,514000000,63000000.0,344000000.0,26000000,-21000000.0,-10000000.0,48000000,28000000.0,293000000,310000000,85000000,-12000000.0,973000000,100000000,203000000.0,-12000000.0,236000000,459000000,8000000.0,57000000.0,,-0.0475,,,88000000,,,,,
2002-12-31,60200000,-69500000.0,,404900000.0,-44300000.0,395700000.0,111800000,197900000,209400000,120600000.0,681800000,92500000.0,25400000,,13300000.0,34200000,,,,56000000.0,11500000.0,-196000000.0,-13800000.0,405400000,,-13500000.0,-68300000.0,0.0,236000000,-40700000.0,23400000,704000000.0,299100000.0,300000.0,0.235,,34200000.0,,29700000.0,52100000.0,197900000.0,270900000,,65200000.0,-36300000.0,-30800000.0,,468800000,79900000.0,352800000.0,-44700000,-12700000.0,55700000.0,34200000,47700000.0,326400000,245500000,88300000,55700000.0,1008200000,37900000,227900000.0,55700000.0,245200000,539400000,,40400000.0,,0.2275,13700000.0,,143400000,,,,,
2003-12-31,62600000,-15000000.0,,501100000.0,-32400000.0,419200000.0,120500000,167200000,209900000,122300000.0,741200000,184000000.0,43300000,,4200000.0,61100000,,,,92800000.0,13200000.0,-214200000.0,5300000.0,424100000,,26900000.0,-63300000.0,0.0,236400000,-37900000.0,6400000,860500000.0,359400000.0,13800000.0,0.335,,61100000.0,,1800000.0,138400000.0,167200000.0,299100000,,72800000.0,-19900000.0,-49400000.0,,466300000,84400000.0,362700000.0,-32200000,-33100000.0,79000000.0,61100000,34200000.0,360200000,255800000,97500000,79000000.0,1101400000,52800000,289900000.0,79000000.0,244400000,635100000,,45600000.0,,0.3225,36600000.0,,222400000,,,,,
2004-12-31,64200000,-20500000.0,,561300000.0,-110100000.0,490300000.0,127700000,195400000,201700000,180600000.0,745200000,210100000.0,22100000,,-7100000.0,48900000,,,,30100000.0,14200000.0,-236600000.0,800000.0,438300000,,-12200000.0,-177100000.0,0.0,238400000,-42500000.0,8200000,931500000.0,370200000.0,28400000.0,0.0075,,48900000.0,,1000000.0,154400000.0,195400000.0,289200000,,87000000.0,2800000.0,-59100000.0,,484600000,138100000.0,406900000.0,-20800000,-12000000.0,1700000.0,48900000,61100000.0,367500000,267100000,104100000,1700000.0,1112700000,30900000,319900000.0,1700000.0,248000000,628100000,,55700000.0,,0.0075,30500000.0,,224100000,,,,,
2005-12-31,65600000,29000000.0,,623300000.0,-49200000.0,475400000.0,131500000,194200000,201900000,136800000.0,714900000,231800000.0,28800000,,-12900000.0,178600000,,,,116700000.0,9700000.0,-234500000.0,-13800000.0,436400000,,129700000.0,-27200000.0,0.0,238400000,-48500000.0,10500000,997900000.0,374600000.0,37400000.0,0.3325,,178600000.0,,-2800000.0,175600000.0,194200000.0,344900000,,99000000.0,-3600000.0,-53500000.0,,539100000,88300000.0,447700000.0,-22200000,-1900000.0,79300000.0,178600000,48900000.0,514200000,316100000,101100000,79300000.0,1229100000,26100000,348700000.0,79300000.0,249200000,690000000,,56200000.0,,0.3175,26200000.0,,303400000,,,,,
2006-12-31,67000000,-193600000.0,,663400000.0,1800000.0,116100000.0,142100000,226200000,213000000,230800000.0,715200000,230000000.0,35300000,,-12800000.0,182800000,-1800000.0,,337700000.0,172300000.0,10500000.0,-242100000.0,7100000.0,455100000,,4200000.0,-35700000.0,37000000.0,234000000,-59400000.0,0,1037000000.0,373600000.0,41800000.0,0.5575,,182800000.0,,4700000.0,173200000.0,57200000.0,271200000,,114200000.0,-14900000.0,-145900000.0,,497400000,171400000.0,490200000.0,-15800000,3300000.0,130500000.0,182800000,178600000.0,531600000,235900000,111500000,130500000.0,1246800000,33900000,376000000.0,130500000.0,255600000,749400000,45900000.0,56800000.0,,0.525,33500000.0,132000000.0,433900000,,,,,
2007-12-31,68600000,-108100000.0,,712900000.0,-21400000.0,122500000.0,152600000,375400000,228200000,210200000.0,763400000,227400000.0,73000000,,-9000000.0,191200000,-57300000.0,,350300000.0,149800000.0,9100000.0,-242300000.0,-5600000.0,470500000,,-41000000.0,-144500000.0,0.0,229200000,-62500000.0,37000000,1091100000.0,378200000.0,36800000.0,0.4925,150000000.0,141800000.0,49400000.0,12000000.0,172600000.0,63900000.0,134700000,,122300000.0,4100000.0,-130900000.0,,510100000,147700000.0,540300000.0,7500000,-500000.0,113000000.0,141800000,182800000.0,581700000,61700000,115800000,113000000.0,1345100000,48600000,418000000.0,113000000.0,250800000,835000000,42600000.0,54800000.0,5600000.0,0.4675,38700000.0,161500000.0,548600000,,,,,
2008-12-31,73700000,-134100000.0,28700000.0,818100000.0,-32800000.0,96900000.0,151800000,258500000,230100000,153200000.0,708300000,227200000.0,87400000,,-17800000.0,226800000,-1300000.0,-68500000.0,315700000.0,164400000.0,7200000.0,-241300000.0,-23500000.0,471400000,-112100000.0,76900000.0,58800000.0,0.0,223200000,-78000000.0,35500000,1237700000.0,419600000.0,35500000.0,0.5775,0.0,218700000.0,8100000.0,14400000.0,198300000.0,65600000.0,262900000,,139200000.0,-69500000.0,-306500000.0,14700000.0,521400000,75200000.0,619800000.0,-35400000,100000.0,128900000.0,218700000,141800000.0,691900000,175500000,186300000,128900000.0,1400200000,13200000,480600000.0,128900000.0,238400000,878800000,-300000.0,55600000.0,41000000.0,0.5475,63800000.0,186700000.0,676900000,,,,,
2009-12-31,76100000,-91800000.0,28300000.0,922300000.0,67500000.0,86700000.0,165900000,290500000,252000000,165300000.0,726300000,365800000.0,76800000,0.0,-13100000.0,334100000,-7400000.0,-51600000.0,315200000.0,304400000.0,2700000.0,-253400000.0,-4000000.0,505400000,-213900000.0,115400000.0,40100000.0,0.0,225200000,-64000000.0,35100000,1321400000.0,399100000.0,75300000.0,1.0175,,334100000.0,0.0,21600000.0,238000000.0,51100000.0,167100000,,175500000.0,-68300000.0,-95500000.0,22300000.0,457600000,101300000.0,684300000.0,-7900000,97800000.0,229100000.0,334100000,218700000.0,889200000,90300000,249400000,229100000.0,1615500000,13000000,508800000.0,229100000.0,234800000,1157900000,800000.0,58700000.0,13700000.0,0.975,66700000.0,203500000.0,906000000,,,,,
2010-12-31,117000000,-103900000.0,29300000.0,1038700000.0,-14600000.0,67100000.0,203600000,337800000,269800000,251400000.0,734600000,327100000.0,121200000,,-36800000.0,396100000,-7300000.0,-34200000.0,315200000.0,268200000.0,2400000.0,-272600000.0,-11200000.0,542400000,-302800000.0,62000000.0,-61500000.0,0.0,227400000,-63000000.0,43100000,1447000000.0,408300000.0,50200000.0,0.96,41800000.0,396100000.0,,52400000.0,284300000.0,47600000.0,121200000,,204400000.0,-1100000.0,-200000000.0,25000000.0,459000000,188400000.0,754400000.0,-42100000,6600000.0,218000000.0,396100000,334100000.0,1032600000,0,277300000,218000000.0,1767200000,13000000,550000000.0,218000000.0,238400000,1308200000,-5000000.0,56500000.0,2200000.0,0.915,92100000.0,226100000.0,1124000000,,,,,
2011-12-31,120000000,-135200000.0,35000000.0,1188800000.0,-16800000.0,66900000.0,261300000,335200000,304300000,314500000.0,812000000,344700000.0,157000000,-42600000.0,-57000000.0,450500000,-645600000.0,-53700000.0,349800000.0,283600000.0,3100000.0,-299800000.0,-600000.0,604100000,-421700000.0,-224900000.0,-412800000.0,0.0,229200000,-90600000.0,57100000,1678600000.0,489800000.0,46900000.0,1.035,0.0,171200000.0,279300000.0,4300000.0,300100000.0,85000000.0,307400000,,246300000.0,-29700000.0,-303400000.0,21800000.0,642600000,223900000.0,888700000.0,-37500000,3900000.0,236700000.0,171200000,396100000.0,1168500000,150400000,283800000,236700000.0,1980500000,24600000,642400000.0,236700000.0,238800000,1337900000,235600000.0,58000000.0,362100000.0,0.99,59500000.0,97500000.0,1360700000,,,,,
2012-12-31,124200000,-155600000.0,42100000.0,1405000000.0,-17700000.0,67000000.0,281000000,347400000,373300000,373800000.0,929600000,452800000.0,205500000,-38600000.0,-21700000.0,521400000,-593200000.0,-26500000.0,384700000.0,391100000.0,4400000.0,-321200000.0,8100000.0,694500000,-367500000.0,139700000.0,-90500000.0,0.0,229800000,-127700000.0,57000000,1899600000.0,494600000.0,97900000.0,1.275,,310900000.0,210500000.0,48900000.0,408400000.0,74700000.0,394800000,41900000.0,291300000.0,11500000.0,-344100000.0,21100000.0,742200000,246100000.0,996600000.0,-37900000,3900000.0,293200000.0,310900000,171200000.0,1291900000,189300000,321100000,293200000.0,2221500000,26300000,705300000.0,293200000.0,236600000,1479300000,18800000.0,57300000.0,662300000.0,1.24,100100000.0,117700000.0,1653900000,,,,,
