date,annualInvestmentsAndAdvances,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,annualRepurchaseOfCapitalStock,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualTaxProvision,annualChangesInAccountReceivables,annualInterestExpense,annualDilutedEPS,annualTotalRevenue,annualCurrentAssets,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualCommonStockIssuance,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualChangeInWorkingCapital,annualBasicAverageShares,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualCurrentDebt,annualOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualFreeCashFlow,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualOtherNonCashItems,annualPurchaseOfBusiness,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualCapitalStock,annualPurchaseOfInvestment,annualAccountsReceivable,annualNetPPE,annualCurrentLiabilities,annualGrossProfit,annualOperatingCashFlow,annualStockBasedCompensation,annualGoodwill,annualSaleOfInvestment,annualInventory,annualOtherIntangibleAssets,annualEbitda,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualOperatingIncome,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualEndCashPosition,annualOtherIncomeExpense,annualGrossPPE,annualAccountsPayable,annualBasicEPS,annualIncomeTaxPayable
1991-03-31,,304761905,-4000000,6900000,,-300000,,10300000,,,100000,-0.013125,1300000,10400000,-4000000,,500000,,,200000,-1500000,7800000,,0,900000,304761905,-9800000,12500000,2300000,,,300000.0,100000.0,-4000000,5300000,500000,800000,-2700000,2100000,6100000,10200000,-100000.0,,-300000,,,7700000,800000,19900000.0,,,1900000,1800000,2100000,-2400000,,,,,,-4000000,,0,-4800000,1200000.0,0.0,,5000000,10300000,,,0,800000,3400000,300000,-0.013125,
1992-03-31,,360000000,-4500000,10100000,,-500000,,87900000,,,100000,-0.0125,2800000,106200000,-4500000,,700000,,,300000,-2300000,99700000,,0,-100000,360000000,-14300000,108700000,3100000,,,300000.0,18300000.0,-4500000,10300000,700000,1000000,-4200000,2500000,9100000,105600000,,,-18000000,,,99300000,1000000,,-17500000.0,,2200000,2400000,3800000,-3700000,,,,,,-5300000,,0,-6300000,1700000.0,0.0,,77600000,87900000,,,0,1900000,4500000,400000,-0.0125,
1993-03-31,,512727273,-14100000,24100000,,-4400000,,2100000,,,200000,-0.0275,4200000,140200000,-14100000,,1100000,,,300000,-3300000,47200000,,0,3500000,512727273,-28400000,146800000,7400000,,,600000.0,900000.0,-14100000,87900000,1200000,1700000,-13300000,6600000,22400000,139400000,,,-124100000,,,47200000,1700000,,-203400000.0,,6300000,6300000,5900000,-8900000,,,83600000.0,,,-16500000,,-100000,-18200000,4600000.0,100000.0,,-85800000,2100000,,,0,4300000,9600000,1100000,-0.0275,
1994-03-31,,595942029,-25700000,36400000,,-3200000,,13000000,,,300000,-0.043125,4100000,116900000,-25700000,,2500000,,26000000.0,800000,-3300000,800000,,0,1000000,595942029,-54100000,126600000,11300000,,,1100000.0,103900000.0,-25700000,2100000,2500000,2800000,-25600000,9700000,7600000,115300000,-100000.0,,32100000,,,1200000,2800000,,-171900000.0,,8900000,8800000,6900000,-22400000,,,207200000.0,,,-26700000,,0,-29500000,6600000.0,0.0,,10900000,13000000,,,0,4200000,12200000,1100000,-0.043125,
1995-03-31,,607072000,-31300000,44000000,,-3900000,,30400000,,,900000,-0.05,4900000,91100000,-31300000,,5400000,,30400000.0,900000,-8300000,1100000,,100000,0,607072000,-85300000,102400000,16300000,,,3000000.0,60700000.0,-31300000,13000000,5400000,3900000,-31300000,11300000,9700000,86100000,,,39400000,,,5400000,3900000,,-111600000.0,,10400000,10900000,8800000,-27400000,,,154800000.0,,,-31300000,,0,-35200000,6900000.0,100000.0,,17400000,30400000,,,0,4800000,18700000,1000000,-0.05,
1995-12-31,,680768000,-27400000,37900000,,-600000,,27400000,,,600000,-0.04,2700000,157200000,-27400000,,3500000,,,1100000,-10300000,92100000,,0,1100000,680768000,-112800000,166700000,15200000,,,2900000.0,129800000.0,-27400000,30400000,3500000,3200000,-23600000,9500000,34700000,151500000,100000.0,,-69900000,,,90000000,3200000,,-174000000.0,,8400000,11700000,5900000,-23000000,,,104600000.0,,,-28800000,,0,-32000000,6400000.0,100000.0,,-3000000,27400000,,,0,5200000,18700000,2400000,-0.04,
1996-12-31,,889152000,-21700000,73100000,,-3700000,,132000000,,,700000,-0.024375,33400000,300300000,-21700000,,2900000,,41900000.0,1200000,-13000000,160400000,,0,800000,889152000,-134500000,310700000,19000000,,,3600000.0,168300000.0,-21700000,27400000,2900000,3600000,-20200000,10400000,26700000,291700000,-100000.0,,-39500000,,,160600000,4500000,,-437600000.0,,9200000,16100000,37000000,-16500000,,,401800000.0,,,-31600000,,0,-36100000,10000000.0,0.0,,104600000,132000000,,,0,15000000,22200000,2500000,-0.024375,
1997-12-31,,938432000,-28000000,87700000,,-3900000,,32000000,,,500000,-0.029688,40000000,340300000,-28000000,,1400000,,59200000.0,1500000,-15600000,53200000,,0,5200000,938432000,-162500000,352100000,34800000,,,1900000.0,308300000.0,-28000000,132000000,1300000,1800000,-23800000,11800000,25500000,317300000,-100000.0,,-129900000,,,49800000,3000000,,-411000000.0,,10300000,33400000,41800000,-19900000,,,284900000.0,,,-42900000,,100000,-45900000,28200000.0,100000.0,,-100000000,32000000,,,0,18300000,25900000,3300000,-0.029688,
1998-12-31,,971616000,-56100000,109100000,,-2500000,,32500000,,,200000,-0.057813,32600000,288300000,-56100000,,600000,,75300000.0,4400000,-17700000,9000000,,100000,6100000,971616000,-218600000,302900000,32400000,,,800000.0,255800000.0,-56100000,32000000,600000,2200000,-49200000,14600000,31000000,270500000,100000.0,,40000000,,,7200000,2800000,,-486100000.0,,10200000,31800000,34800000,-46700000,,,528600000.0,,,-71500000,,0,-74300000,27600000.0,0.0,,500000,32500000,,,0,18400000,27900000,3400000,-0.057813,
1999-12-31,,1370432000,-66500000,203800000,,-12500000,,47000000,900000.0,,6500000,-0.048438,169000000,372000000,-66500000,,91600000,,112900000.0,13400000,-64100000,29300000,247400000.0,0,-20100000,1370432000,-449200000,436800000,139500000,,,3200000.0,11000000.0,-66500000,101100000,84800000,16900000,-75100000,64800000,78300000,297300000,,,-16300000,,-4400000.0,24000000,12600000,0.0,-187000000.0,,51400000,47900000,152100000,-62600000,,,185600000.0,21000000.0,,-39100000,,6800000,-51700000,35200000.0,-2400000.0,-2600000.0,-54100000,294400000,-65600000.0,,47000000,-23800000,115500000,9500000,-0.048438,
2000-12-31,,1456800000,-43106000,226369000,,-15621000,,197292000,1199000.0,,4365000,-0.03875,195555000,593798000,-56776000,,268737000,,131568000.0,29127000,-72872000,30451000,315586000.0,0,-6617000,1456800000,-506008000,678099000,326975000,,,3034000.0,11544000.0,-56776000,47011000,252238000,21504000,-53823000,84301000,82793000,351124000,,,-84203000,,397000.0,269045000,12008000,94000.0,-229862000.0,,55174000,58238000,174051000,-38202000,,,163730000.0,20562000.0,,-40310000,,16499000,-52318000,43599000.0,-2450000.0,-904000.0,150281000,512878000,-41907000.0,,197292000,-2858000,128046000,11605000,-0.03875,
2001-12-31,,1618568000,51182000,310694000,,-26329000,55455000.0,162339000,4135000.0,,13980000,0.0325,233769000,707759000,52271000,,262232000,,185553000.0,24199000,-68300000,36311000,420512000.0,0,-30822000,1521960000,-453737000,794786000,342349000,3996000.0,,1492000.0,0.0,52271000,197292000,250389000,43764000,-114461000,87027000,125141000,452437000,,,20780000,,-18718000.0,33550000,14691000,193000.0,-377725000.0,74228000.0,62828000,80117000,190005000,-88132000,,,280534000.0,39280000.0,,-105998000,,11843000,-120689000,0.0,14300000.0,7448000.0,-34953000,582851000,57447000.0,,162339000,164395000,131128000,19174000,0.035,
2002-12-31,,1651816000,72097000,316059000,,-17597000,72600000.0,616931000,1300000.0,,13853000,0.04375,466790000,1183760000,72097000,,611950000,,134758000.0,36696000,-80778000,51386000,325443000.0,0,-35256000,1564344000,-381640000,1288183000,716842000,7692000.0,,194000.0,0.0,72097000,123490000,595273000,69724000,56812000,104423000,181301000,571341000,611000.0,,45822000,,-12348000.0,386609000,14428000,198000.0,-490259000.0,125036000.0,67727000,104892000,397066000,74409000,,,603678000.0,51628000.0,,95435000,,16677000,81007000,0.0,-50000000.0,2475000.0,493441000,942374000,73397000.0,,616931000,-16048000,148505000,24406000,0.04625,
2003-12-31,,1608840000,-72003000,425249000,,-38609000,144633000.0,194719000,-95530000.0,,21897000,-0.045,867864000,1265898000,-72003000,,365853000,,164873000.0,38130000,-89938000,83806000,512281000.0,0,-102092000,1608840000,-453643000,1554722000,551748000,5474000.0,,139000.0,0.0,-72003000,616931000,345323000,112691000,195998000,288824000,250157000,1002974000,,,-727345000,,-46474000.0,82091000,20859000,213000.0,-934759000.0,235217000.0,198200000,185895000,755173000,234607000,,,744530000.0,98102000.0,,350783000,,20530000,329924000,0.0,0.0,3201000.0,-422212000,707000000,-167533000.0,,194719000,-498818000,288138000,35649000,-0.045,
2004-12-31,,1856984000,449371000,526345000,,-51366000,185840000.0,280909000,207051000.0,,7345000,0.2475,1324621000,1849694000,449371000,151568000.0,31637000,,223552000.0,37717000,-106809000,78796000,973129000.0,0,-122890000,1728000000,-4272000,2155963000,285091000,19880000.0,,181000.0,0.0,449371000,194719000,234000,166587000,460012000,306269000,302793000,1870872000,,,-490828000,,-37889000.0,78659000,24408000,449000.0,-1464046000.0,371245000.0,223106000,253454000,1158034000,511378000,,,1024584000.0,135991000.0,,656097000,,31403000,631689000,1000.0,0.0,-19231000.0,86190000,1254038000,656422000.0,,280909000,13138000,329915000,47552000,0.26,
2005-12-31,,1897136000,813914000,656972000,,-47951000,219957000.0,707913000,347878000.0,,442000,0.43,2028400000,3092208000,813914000,-53239000.0,273375000,,277724000.0,362982000,-130665000,143283000,1615972000.0,-1184000,-260821000,1817356000,809642000,3764651000,728713000,18353000.0,,60206000.0,22073000.0,813914000,280909000,240650000,260326000,667129000,672443000,379248000,3027778000,,,-691916000,,-81923000.0,441896000,35777000,460000.0,-2225980000.0,396125000.0,242568000,455338000,1768074000,715080000,,,1582015000.0,216903000.0,,1146879000,,32725000,1111102000,95739000.0,0.0,11448000.0,427004000,2323885000,1161792000.0,,707913000,3995000,373233000,61083000,0.4475,
