date,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,annualInterestExpense,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualGrossPPE,annualRepaymentOfDebt,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,annualTaxProvision,annualStockBasedCompensation,annualCurrentDebt,annualBasicEPS,annualNetOtherFinancingCharges,annualGrossProfit,annualTotalNonCurrentAssets,annualResearchAndDevelopment,annualInventory,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,annualOperatingExpense,annualChangeInInventory,annualNetIncomeContinuousOperations,annualCashDividendsPaid,annualPretaxIncome,annualLongTermDebt,annualPurchaseOfInvestment,annualAccountsReceivable,annualNonCurrentDeferredRevenue,annualGoodwill,annualTotalAssets,annualNetIncome,annualDilutedEPS,annualBasicAverageShares,annualOtherNonCashItems,annualSaleOfInvestment,annualCommonStockIssuance,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualRetainedEarnings,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOperatingIncome,annualOtherShortTermInvestments,annualOtherIncomeExpense,annualOtherIntangibleAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualCurrentLiabilities,annualEbitda,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualDilutedAverageShares,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCurrentDeferredRevenue
1979-12-31,,0.0,672900000,22000000.0,238300000,,124900000.0,323300000.0,-521700000.0,987600000.0,,,,279200000.0,,,60400000,921500000.0,1421600000.0,61500000.0,,55200000,0.0125,,500100000.0,712200000,,204200000,,,557100000,23000000.0,0.0,385700000.0,,124900000.0,,186400000.0,147100000,,,,,1385100000,124900000.0,0.0125,424552553.0,,,,828000000,0.0,,732000000,,0.0,465900000,114400000.0,,96400000.0,8000000.0,0.0,222700000,,,334400000,176800000.0,52600000,,,,424552553.0,,210900000,,210900000,
1980-12-31,,0.0,647200000,18700000.0,309100000,,114700000.0,362300000.0,-579500000.0,1115400000.0,,,,299100000.0,,,70200000,1008300000.0,1529700000.0,47000000.0,,45700000,0.010833,,521400000.0,852400000,,230300000,,,586900000,24800000.0,0.0,436300000.0,,114700000.0,,161700000.0,153600000,,,,,1499600000,114700000.0,0.010833,439951952.0,,,,912700000,0.0,,819600000,,0.0,535900000,85100000.0,,97800000.0,7400000.0,0.0,242100000,,,344800000,159100000.0,63700000,,,,439951952.0,,123300000,,123300000,
1981-12-31,,0.0,691800000,33900000.0,381600000,,88900000.0,428500000.0,-650100000.0,1309200000.0,,,,306300000.0,,,60100000,1120500000.0,1714100000.0,16400000.0,,50400000,0.0075,,593600000.0,1060900000,,267400000,,,724800000,41400000.0,0.0,525400000.0,,88900000.0,,105300000.0,255600000,,,,,1752700000,88900000.0,0.0075,509069069.0,,,,1027900000,0.0,,893200000,,0.0,659100000,68200000.0,,72400000.0,20200000.0,0.0,368100000,,,356700000,165100000.0,71100000,,,,509069069.0,,102700000,,102700000,
1982-12-31,,0.0,684300000,48000000.0,459600000,,74500000.0,431700000.0,-690400000.0,1318100000.0,,,,290500000.0,,,49000000,1011800000.0,1578700000.0,-39800000.0,,38000000,0.00625,,566900000.0,1113400000,,212300000,,,781300000,31100000.0,0.0,537800000.0,,74500000.0,,34700000.0,337300000,,,,,1797700000,74500000.0,0.00625,509261261.0,,,,1016400000,0.0,,916500000,,0.0,627700000,29100000.0,,51500000.0,26100000.0,0.0,452800000,,,328500000,135200000.0,84400000,,,,509261261.0,,105500000,,105500000,
1983-12-31,,0.0,701900000,44500000.0,445300000,,92200000.0,457500000.0,-721800000.0,1332700000.0,,,,315000000.0,,,79900000,957800000.0,1589400000.0,7700000.0,,29400000,0.0075,,631600000.0,1072700000,,229500000,,,741900000,29900000.0,0.0,563600000.0,,92200000.0,,99900000.0,315300000,,,,,1774600000,92200000.0,0.0075,487315315.0,,,,1032700000,0.0,,959900000,,0.0,610900000,68000000.0,,75800000.0,16500000.0,0.0,397500000,,,344400000,174100000.0,52300000,,,,487315315.0,,141100000,,141100000,
1984-12-31,,0.0,704000000,38200000.0,493200000,,88900000.0,470100000.0,-757200000.0,1399000000.0,,,,345400000.0,,,98500000,1062200000.0,1732700000.0,18200000.0,,31700000,0.0075,,670500000.0,1152800000,,251500000,,,789700000,42300000.0,0.0,581100000.0,,88900000.0,,107100000.0,309100000,,,,,1856800000,88900000.0,0.0075,490126126.0,,,,1067100000,0.0,,969700000,,0.0,641800000,89400000.0,,55700000.0,17800000.0,0.0,412600000,,,377100000,200400000.0,61200000,,,,490126126.0,,109600000,,109600000,
1985-12-31,,0.0,709900000,37800000.0,598500000,,107600000.0,443400000.0,-786000000.0,1494600000.0,,,,362500000.0,,,122100000,983500000.0,1690500000.0,5000000.0,,37800000,0.0175,,707000000.0,1322500000,,201100000,,,846800000,37600000.0,0.0,570100000.0,,107600000.0,,112600000.0,327500000,,,,,2032400000,107600000.0,0.0175,515267267.0,,,,1185600000,0.0,,1043100000,,0.0,708600000,136900000.0,,13500000.0,15400000.0,0.0,446500000,,,400300000,263600000.0,81400000,,,,515267267.0,,111700000,,111700000,
1986-12-31,,0.0,860500000,31600000.0,681300000,,162200000.0,468200000.0,-897100000.0,1716100000.0,,,,475400000.0,,,151600000,1090300000.0,1856300000.0,52900000.0,,10600000,0.025833,,766000000.0,1500300000,,216600000,,,1008300000,46200000.0,0.0,598300000.0,,162200000.0,,215100000.0,343400000,,,,,2360800000,162200000.0,0.025833,518726727.0,,,,1352500000,0.0,,1171300000,,0.0,819000000,167700000.0,,79000000.0,,0.0,522300000,,,486000000,297800000.0,132700000,,,,518726727.0,,175500000,,175500000,
1987-12-31,,0.0,963300000,39900000.0,785700000,,189100000.0,529100000.0,-951200000.0,1860900000.0,,,,468900000.0,,,122100000,1261800000.0,2083700000.0,55300000.0,,11000000,0.028333,,821900000.0,1695400000,,221000000,,,1123000000,,0.0,674800000.0,,189100000.0,,244400000.0,428800000,,,,,2658700000,189100000.0,0.028333,541081081.0,,,,1535700000,0.0,,1324300000,,0.0,909700000,147100000.0,,137200000.0,,0.0,643100000,,,479900000,292800000.0,214300000,,,,541081081.0,,255400000,,255400000,
1988-12-31,,0.0,929800000,41000000.0,976600000,,292400000.0,533800000.0,-1009300000.0,2000800000.0,,,,490200000.0,,,121800000,1243800000.0,2121500000.0,103200000.0,,18500000,0.045,,877700000.0,1968100000,,254000000,,,1337200000,,0.0,687700000.0,,292400000.0,,395600000.0,499000000,,,,,2897900000,292400000.0,0.045,533681682.0,,,,1560700000,0.0,,1275500000,,0.0,991500000,190000000.0,,248800000.0,,0.0,828500000,,,508700000,343900000.0,329500000,,,,533681682.0,,156500000,,156500000,
1989-12-31,,156500000.0,1169300000,44500000.0,882100000,,258800000.0,655800000.0,-1074300000.0,2234900000.0,,,196300000.0,483000000.0,-317900000.0,31600000.0,125600000,1429600000.0,2439200000.0,116900000.0,,40400000,0.078333,0.0,1009600000.0,2191400000,,238500000,30500000.0,,1572100000,53100000.0,51600000.0,827100000.0,-1900000.0,259400000.0,-92800000.0,376300000.0,624500000,,,,,3360700000,259400000.0,0.078333,565870871.0,-700000.0,,41900000.0,1742800000,-184200000.0,171300000.0,1436400000,15000000.0,0.0,1160600000,182500000.0,,242500000.0,148700000.0,369500000.0,890100000,,158600000.0,682000000,353800000.0,212500000,-67100000.0,,,565870871.0,,352800000,-76000000.0,352800000,
1990-12-31,,352800000.0,1097900000,54000000.0,867200000,11300000.0,286600000.0,706300000.0,-1291100000.0,2642900000.0,,,-219800000.0,395200000.0,-261400000.0,30700000.0,123200000,1714500000.0,2940500000.0,136100000.0,,52800000,0.085,0.0,1226000000.0,2414100000,,314500000,-177800000.0,,1529400000,72800000.0,-10800000.0,917500000.0,-40400000.0,289100000.0,-108400000.0,425200000.0,611200000,,,,,3512000000,289100000.0,0.085,551681682.0,32400000.0,,8700000.0,1881000000,-200400000.0,211200000.0,1640600000,-276600000.0,0.0,1351800000,308500000.0,,181100000.0,195100000.0,250600000.0,889900000,,191500000.0,639500000,519700000.0,205900000,-162800000.0,,,551681682.0,,133000000,-93500000.0,133000000,
1991-12-31,,133000000.0,1229400000,58100000.0,995100000,-1300000.0,308800000.0,753200000.0,-1380100000.0,2809700000.0,,,74600000.0,420100000.0,-313000000.0,27900000.0,123300000,1890300000.0,3259200000.0,110600000.0,,85300000,0.091667,0.0,1368900000.0,2623200000,,315700000,-59200000.0,,1690800000,73000000.0,158000000.0,984500000.0,-3700000.0,311200000.0,-95000000.0,421800000.0,700000000,,,,,3852600000,311200000.0,0.091667,581282282.0,27500000.0,,22400000.0,2046700000,-359600000.0,231300000.0,1845700000,-34300000.0,0.0,1429600000,384400000.0,,112800000.0,198500000.0,471000000.0,982400000,,203000000.0,708400000,615700000.0,209400000,-67600000.0,,,581282282.0,,207600000,-65300000.0,207600000,
1992-12-31,,207600000.0,1289300000,62600000.0,1171300000,-17000000.0,-14800000.0,906600000.0,-1503100000.0,3108100000.0,,,-74500000.0,505300000.0,-377400000.0,26900000.0,147600000,2163100000.0,3708700000.0,92500000.0,,103400000,-0.01,0.0,1545600000.0,2997000000,,346300000,-91600000.0,,2214400000,,117700000.0,1154800000.0,-29000000.0,266300000.0,-178900000.0,358800000.0,815700000,,,,,4286300000,-12600000.0,-0.01,582276276.0,-16700000.0,,15600000.0,1830700000,-418600000.0,248200000.0,1704100000,-146100000.0,0.0,1605000000,390800000.0,,52200000.0,220700000.0,495100000.0,1390300000,,215400000.0,824100000,639000000.0,574600000,-100800000.0,,,582276276.0,,133100000,-211300000.0,133100000,
1993-12-31,,133100000.0,1471700000,88200000.0,991100000,-86900000.0,-17300000.0,947100000.0,-1602000000.0,3361800000.0,,,27700000.0,633500000.0,-443100000.0,25700000.0,265900000,2316600000.0,4004800000.0,35300000.0,,141700000,-0.01,0.0,1688200000.0,3760000000,,353900000,62200000.0,,3274500000,,146500000.0,1227500000.0,5500000.0,-15200000.0,-136200000.0,20100000.0,1585600000,,,,,5231700000,-15200000.0,-0.01,602510511.0,15700000.0,,14200000.0,1711500000,-904200000.0,280400000.0,1581900000,338900000.0,0.0,1759800000,460700000.0,,-335800000.0,1009100000.0,589600000.0,2254200000,,245100000.0,1020300000,741100000.0,668600000,-58600000.0,,,602510511.0,,160800000,-495200000.0,160800000,
1994-12-31,,160800000.0,1726300000,110400000.0,997800000,17400000.0,279200000.0,1048600000.0,-1727700000.0,3618300000.0,,,500000.0,748300000.0,-386900000.0,24900000.0,201200000,2722500000.0,4770500000.0,170100000.0,,67600000,0.44,66500000.0,2048000000.0,4296400000,,416700000,-321300000.0,,3123400000,,15300000.0,1387000000.0,-38300000.0,281300000.0,-152200000.0,451400000.0,1405600000,,,,,6022700000,281300000.0,0.44,634545455.0,6500000.0,,247700000.0,2652300000,-559800000.0,338400000.0,1714500000,154800000.0,0.0,1890600000,661000000.0,,-42400000.0,1408000000.0,402200000.0,2049200000,,258300000.0,1074200000,999400000.0,643600000,,,,634545455.0,,161300000,-415000000.0,161300000,
1995-12-31,,161300000.0,1834300000,117800000.0,705100000,-41600000.0,-52800000.0,1340200000.0,-1916300000.0,3947900000.0,,,53600000.0,763900000.0,-495300000.0,23900000.0,219200000,3008600000.0,5313100000.0,154700000.0,,146000000,-0.076667,0.0,2304500000.0,4152800000,,467800000,-29800000.0,,3223000000,,203300000.0,1717600000.0,-47500000.0,-50800000.0,-167200000.0,103900000.0,1393000000,,,,,5987100000,-50800000.0,-0.076667,679800000.0,-2900000.0,,24300000.0,2126900000,-543200000.0,377400000.0,1496500000,-103000000.0,0.0,2031600000,586900000.0,,-284700000.0,1416100000.0,698600000.0,2057900000,,255200000.0,1165100000,964300000.0,664900000,-33100000.0,,,679800000.0,,214900000,-67000000.0,214900000,
1996-12-31,,187600000.0,1418700000,69100000.0,594500000,18500000.0,173700000.0,831100000.0,-1793200000.0,3770900000.0,,,35600000.0,484700000.0,-597800000.0,22200000.0,130700000,1970800000.0,3651600000.0,163200000.0,,53900000,0.253333,8600000.0,1680800000.0,2902600000,,498500000,-96200000.0,,2662200000,,-200800000.0,1119200000.0,-71300000.0,342900000.0,-167200000.0,506100000.0,1208500000,,,,,4321300000,175600000.0,0.253333,681300000.0,,,43400000.0,983300000,80000000.0,288100000.0,1024000000,-439200000.0,0.0,1977700000,561600000.0,,66200000.0,330400000.0,397000000.0,1854700000,,268900000.0,807500000,849700000.0,646200000,-83900000.0,,,681300000.0,,223200000,641900000.0,223200000,
