date,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualDilutedAverageShares,annualInvestingCashFlow,annualOperatingIncome,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCommonStockIssuance,annualBasicAverageShares,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInterestExpense,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,annualGrossPPE,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualBasicEPS,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualTaxProvision,annualCurrentDebt,annualInventory,annualCapitalStock,annualCurrentDeferredRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualResearchAndDevelopment,annualTotalNonCurrentAssets,annualGrossProfit,annualFreeCashFlow,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualDilutedEPS,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory
1999-12-31,84132000,64167000,-7530000,,,,27715000,,,,194599000,,400000000,-32302000,82530000,176431000,254645000,5572000,10153000,104079000,55851000,44342000,27805000,15402000,,32241000,,,,400000000,,,90000,88102000,812000,-12425000,-176000,104079000,104079000,577000,,80360000,197982000,70106000,835000,64167000,0.16,27063000,-14255000,,-2148000,16834000,23719000,-32195000,,19965000,5000,51248000,1000000,,100082000,6747000,232586000,17339000,56663000,132504000,12147000,,0,0.16,,64167000,-29366000,49974000,,60046000,-12917000
2000-12-31,140922000,105663000,-28954000,,,,46359000,,,,365239000,,201262857,-28914000,129293000,253140000,463347000,7569000,95455000,251731000,64704000,88324000,56067000,22496000,,42041000,,4774000,104414000,201262857,,,92000,136862000,5848000,-22908000,-10012000,251731000,251731000,2287000,,104079000,388021000,84804000,3281000,105663000,0.525,32669000,-20100000,,6991000,18958000,147652000,-24821000,,35259000,587000,89855000,1082000,,154446000,13716000,345741000,21764000,75326000,191295000,63503000,,0,0.525,,105663000,-36620000,62002000,9616000,98108000,-48024000
2001-12-31,152034000,113448000,,,-1684985000,47998000,28011000,,1553401000,,453969000,,217242000,-158390000,131286000,365087000,532155000,10868000,-22488000,192842000,70086000,129991000,29158000,18837000,,49028000,40835000,16985000,1535000,216091429,,-9834000,0,142154000,92349000,-39327000,-8537000,192842000,233677000,2174000,,251731000,352735000,95267000,4806000,113448000,0.525,38709000,-25181000,,11759000,15752000,-58889000,-14883000,10262000,38587000,4177000,61132000,1078000,,170960000,0,369119000,28164000,179420000,198159000,115108000,,0,0.525,,113448000,1302000,66873000,1147000,78186000,22958000
2002-12-31,182735000,142798000,,,-869112000,58278000,20000000,,753998000,,602499000,,216386000,-141072000,177440000,507884000,698115000,16131000,-10161000,216768000,74440000,175408000,22211000,32446000,,73405000,113336000,24479000,2075000,216360606,,,0,193571000,133970000,-35896000,-13552000,216768000,330104000,1329000,,192842000,465226000,106491000,-573000,142798000,0.66,45453000,-32051000,,157000,40959000,23926000,-12424000,,39937000,,57507000,1080000,,210088000,0,465144000,32163000,232889000,255056000,162984000,,0,0.66,,142798000,14831000,77616000,2211000,95616000,3173000
2003-12-31,225943000,178634000,-54040000,,,82718000,,,22870000,,749690000,,217846341,-50432000,227000000,663604000,856945000,20104000,-69779000,274329000,104784000,175180000,2821000,40671000,,104434000,53127000,42311000,4261000,216526061,,,0,247104000,169922000,-20268000,-2369000,274329000,327456000,534000,,216768000,539928000,146099000,-4205000,178634000,0.825,59835000,-41315000,,-7996000,52137000,57561000,-32770000,11626000,47309000,,96794000,1082000,,242448000,0,572989000,43706000,317017000,330541000,142410000,,0,0.82,,178634000,-36603000,103541000,2821000,107255000,-36102000
2004-12-31,255211000,205700000,-54095000,,-104559000,110119000,,,,,935857000,,217671958,-184317000,270668000,815209000,1117391000,34599000,-51146000,249909000,171630000,208936000,5267000,53673000,,176267000,64367000,49485000,6131000,216526316,,-3182000,0,305267000,259305000,10615000,-1638000,249909000,314276000,38000,,274329000,636971000,223031000,-7951000,205700000,0.95,61580000,-51401000,,-24838000,78116000,-24420000,-78145000,44478000,49511000,,154980000,1084000,,351310000,0,762549000,78991000,480420000,411239000,130791000,,0,0.945,,205700000,-17888000,140571000,5267000,181534000,-61534000
2005-12-31,372600000,311219000,-53974000,,-59106000,170997000,,,,,1157264000,,218399298,-91181000,338170000,1072454000,1362235000,43596000,-70937000,334352000,179173000,247005000,9486000,76516000,,195485000,32050000,35866000,9690000,216124306,,-26653000,0,381766000,346029000,-12513000,-3560000,334352000,366402000,48000,,249909000,801167000,246508000,8833000,311219000,1.44,122021000,-67335000,,14892000,63154000,84443000,-27130000,55815000,61381000,,199841000,1081000,,492703000,0,1027773000,74879000,561068000,535070000,219875000,,0,1.425,,311219000,-118848000,196900000,9486000,204971000,-61262000
2006-12-31,594554000,514123000,-107923000,,-453085000,403524000,248000,,359313000,,1557899000,36113000,218775745,-226385000,554559000,1478655000,1897020000,44475000,-132650000,337321000,250988000,361855000,1439000,88375000,,337682000,73033000,67580000,16074000,216018067,,-50450000,0,599034000,409368000,-5275000,-169000,337321000,410354000,41000,,334352000,1169084000,339484000,-35060000,514123000,2.38,214513000,-88496000,,4139000,110936000,2969000,-96021000,138371000,80431000,,271008000,1082000,,891614000,0,1774000000,113314000,727936000,882386000,265834000,,9660000,2.35,,514123000,-193667000,327827000,1191000,339121000,-92708000
2007-12-31,978273000,855011000,-162530000,,-1672041000,952513000,,,1784816000,,2350614000,60756000,219797172,-175696000,907351000,2171134000,3291460000,64037000,-136116000,707689000,374147000,682088000,138963000,341053000,,801883000,37551000,196030000,17008000,216458481,,-7780000,127028000,971388000,388508000,46130000,-29000,707689000,745240000,207000,,337321000,2332775000,482995000,-57843000,855011000,3.95,396498000,-108848000,,29134000,108590000,370368000,-159696000,352240000,123262000,,505467000,1086000,,1717064000,0,3180319000,159406000,958685000,1463255000,522392000,,17434000,3.89,,855011000,-234406000,555904000,11935000,940846000,-224180000
2008-12-31,914366000,732848000,-150251000,,-373580000,741321000,,,504324000,20075000,2225854000,56816000,210680000,-56349000,862017000,2262503000,2924581000,78417000,-808051000,696335000,445252000,862164000,219551000,160094000,-236287000,479176000,12886000,230954000,9029000,208993000,262009000,-671847000,1115000,940434000,1941000,-37651000,-387000,696335000,709221000,607000,206101000,707689000,1984425000,593404000,50887000,732848000,3.51,485389000,-148152000,0,16814000,90337000,-11354000,-126594000,174429000,181518000,,425312000,1002000,,1940562000,0,3494077000,206109000,940156000,1553515000,735570000,38872000,14047000,3.48,-60131000,732848000,-60803000,691498000,218436000,698727000,83035000
