date,annualPurchaseOfInvestment,annualAccountsReceivable,annualCashDividendsPaid,annualLongTermDebt,annualGoodwill,annualTotalAssets,annualPretaxIncome,annualOtherNonCashItems,annualStockholdersEquity,annualDepreciationAndAmortization,annualSaleOfInvestment,annualCommonStockIssuance,annualRetainedEarnings,annualStockBasedCompensation,annualInvestingCashFlow,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOperatingIncome,annualAccountsPayable,annualOtherIncomeExpense,annualCurrentLiabilities,annualOperatingCashFlow,annualNetPPE,annualEbitda,annualOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualIncomeTaxPayable,annualBasicEPS,annualInvestmentsAndAdvances,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualCurrentAssets,annualChangesInAccountReceivables,annualBeginningCashPosition,annualInterestExpense,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualGrossPPE,annualOtherNonCurrentAssets,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualNetOtherFinancingCharges,annualDilutedEPS,annualCurrentAccruedExpenses,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualRepaymentOfDebt,annualOtherCurrentAssets,annualCapitalStock,annualCostOfRevenue,annualCurrentDebt,annualTaxProvision,annualGrossProfit,annualInventory,annualBasicAverageShares,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,annualChangeInInventory,annualNetIncome,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualOperatingExpense,annualNonCurrentDeferredRevenue,annualResearchAndDevelopment
1979-12-31,,,,1800000,,232600000,50300000,,141700000,,,,119400000,,0,362400000,39000000,,0,,,12000000,49400000,,2500000,51900000,0,64600000,56100000,35300000,14500000,,,0.044073,,14500000,,152500000,,0,1700000,56300000,,-40400000,,105000000,3500000,46100000,24100000,,0.042115,,53800000,,,,5600000,,250000000,5800000,23500000,112400000,77600000,53800000,80100000,,,90900000,1900000,0,,26800000,,26800000,63000000,,
1980-12-31,,,,3300000,,257700000,59400000,,159200000,,,,107700000,,0,406000000,40500000,,0,,,10100000,60100000,,1800000,58000000,0,69500000,67800000,34800000,27400000,,,0.04897,,27400000,,174400000,,0,2500000,60000000,,-46400000,,115900000,3700000,52700000,27200000,,0.046032,,54160000,,,,7200000,,278200000,5300000,29500000,127800000,77900000,54160000,83300000,,,98500000,2400000,0,,29900000,,29900000,67700000,,
1981-12-31,,,,2700000,,283100000,66100000,,178100000,,,,123800000,,0,445800000,42800000,,0,,,12500000,65900000,,2100000,62200000,0,77000000,75100000,36600000,6000000,,,0.113611,,6000000,,180100000,,0,1900000,68300000,,-51100000,,128100000,13500000,,32000000,,0.107735,,54596000,,,,7800000,,302400000,,31500000,143400000,101000000,54596000,103000000,,,105000000,3500000,0,,34600000,,34600000,77500000,,
1982-12-31,,,,2700000,,302100000,67700000,,198500000,,,,143400000,,0,414000000,43600000,,0,,,11900000,65500000,,2700000,60000000,0,80500000,75100000,35500000,41800000,,,0.113611,,41800000,,192500000,,0,400000,66800000,,-59100000,,139600000,17200000,,32400000,,0.107735,,55080000,,,,9100000,,272100000,,32100000,141900000,83400000,55080000,109600000,,,103600000,5400000,0,,35000000,,35600000,76400000,,
1983-12-31,,,,2700000,,322900000,70100000,,220700000,,,,159700000,,0,422400000,39700000,,0,,,11400000,65300000,,5300000,62500000,0,75300000,75200000,29800000,41700000,,,0.137117,,41700000,,199000000,,0,400000,72000000,,-64700000,,140000000,37200000,,30300000,,0.127323,,56586000,,,,7700000,,275200000,,32900000,147200000,84200000,56586000,123900000,,,102200000,7200000,0,,32600000,,37200000,81900000,,
1984-12-31,,,,2700000,,349600000,75700000,,246300000,,,,184000000,,0,467100000,37600000,,0,,,,69200000,,7100000,65700000,0,81100000,79600000,27500000,5300000,,,0.137117,,5300000,,188400000,,0,700000,79100000,,-69200000,,150300000,80100000,,42000000,,0.127323,,57610000,,,,13300000,,308400000,,33700000,158700000,94000000,57610000,161200000,,,103300000,7400000,0,,42000000,,42000000,89500000,,
1985-12-31,,,,3600000,,389900000,82300000,,280900000,,,,159700000,,0,521100000,33000000,,0,,,10800000,76900000,,6300000,76000000,0,90700000,88900000,20800000,27400000,,,0.309493,,27400000,,223900000,,0,1000000,94400000,,-76500000,,167200000,64500000,,46200000,,0.293822,,59638000,,,,15000000,,337800000,,34600000,183300000,115200000,59638000,166000000,,,109000000,8600000,0,,47700000,,47700000,106400000,,
1986-12-31,,,,8600000,,433200000,90100000,,324400000,,,,192700000,,0,558800000,32400000,,0,,,10500000,81900000,,8600000,76400000,0,99100000,95600000,13600000,53000000,,,0.340834,,53000000,,247900000,,0,500000,100300000,,-86600000,,185700000,75700000,,53700000,,0.332999,,56400000,,,,19500000,,362900000,,35600000,195900000,106200000,56400000,185300000,,,108800000,10200000,0,,54500000,,54500000,114000000,,
1987-12-31,,,,8300000,,468900000,99200000,,354400000,,,,230200000,,0,581100000,33700000,,0,,,10400000,89700000,,10200000,80800000,0,100200000,103800000,11700000,61400000,,,0.387845,,61400000,,261100000,,0,600000,106200000,,-94200000,,194400000,97200000,,62100000,,0.38001,,56576000,,,,25900000,,371100000,,36700000,210000000,106500000,56576000,207800000,,,114500000,13700000,0,,62500000,,62500000,120300000,,
1988-12-31,,,,8100000,,523500000,106400000,,392500000,,,,227500000,,0,614200000,42700000,,0,,,10000000,97300000,,9700000,88300000,0,102400000,112300000,9300000,66900000,,,0.442692,,66900000,,278800000,,0,800000,109200000,,-106600000,,209000000,132300000,,71300000,,0.442692,,62570000,,,,16400000,,392700000,,35100000,221500000,124400000,62570000,244700000,,,131000000,25300000,0,,71300000,,71300000,124200000,,
1989-12-31,-10700000,,-33000000,8100000,,576300000,116800000,,427800000,16600000,13100000,2700000,216700000,,-19200000,668800000,47000000,,0,-42500000,,9500000,105000000,22400000,12500000,101500000,95900000,108000000,121600000,12000000,101100000,-100000,,0.518303,,101100000,,341000000,,66800000,700000,113400000,400000,-119200000,-12200000,227200000,117800000,79100000,79400000,0,0.518303,,62054000,34300000,-21500000,,28100000,,433800000,,37400000,235000000,128000000,62054000,235300000,-3100000,,148500000,26900000,74400000,-3600000,79400000,,79400000,130000000,,
1990-12-31,-4900000,,-39500000,8100000,,624700000,124600000,,468700000,17700000,5300000,6300000,201500000,,-54200000,719500000,50900000,,0,-43100000,,14400000,111200000,19600000,14200000,105100000,99400000,131800000,128900000,14600000,103300000,1300000,,0.591729,,103300000,,354200000,,101400000,700000,120900000,-1300000,-132500000,-9800000,264300000,124300000,85500000,86000000,-100000,0.591729,,65168000,2100000,-55900000,,17700000,,469700000,,38600000,249800000,141300000,65168000,270500000,-3000000,,156000000,28200000,43500000,-5200000,86000000,,86000000,138600000,,
1991-12-31,-48500000,,-44500000,8100000,,685300000,129400000,,518900000,22200000,24700000,2800000,160400000,,-99300000,756100000,55600000,,0,-41600000,,34600000,118500000,19100000,11500000,110800000,129300000,147600000,140700000,18000000,91600000,-52400000,,0.621315,,91600000,,343700000,,103300000,600000,129100000,400000,-144600000,,292200000,159400000,91700000,90600000,100000,0.621315,,65448000,-11700000,-23100000,,17600000,,486300000,,38800000,269800000,140800000,65448000,341600000,16100000,,166400000,29500000,106200000,9300000,90600000,,90600000,151300000,,
1992-12-31,-103900000,,-48700000,2700000,,806700000,130700000,,541300000,26800000,3500000,2200000,188400000,,-165700000,786100000,64900000,,0,17100000,,59800000,117900000,23400000,13500000,200500000,85200000,153300000,144700000,47400000,28300000,-2400000,,0.585714,,28300000,,329900000,,91600000,700000,139900000,-3200000,-162200000,-4700000,315500000,263700000,103300000,77600000,-100000,0.585714,,62370000,-63400000,-62900000,,8100000,,501500000,73800000,36600000,284600000,177900000,62370000,476800000,-28100000,,265400000,14800000,22300000,-21000000,77600000,,94100000,166700000,,
1993-12-31,-41300000,,-50600000,2700000,,874300000,81500000,100000,557700000,30100000,17000000,1900000,203800000,,-71100000,832400000,86400000,,0,-31400000,,66500000,70200000,21000000,15600000,230200000,118500000,154600000,100300000,79100000,44200000,-21700000,,0.480952,,44200000,,362100000,,28300000,4300000,192700000,-21200000,-182000000,,336600000,291100000,118100000,66300000,0,0.47619,,62518000,16000000,-25100000,,26200000,,539400000,91100000,15200000,293000000,181700000,62518000,512200000,400000,,316600000,4600000,93400000,3500000,66300000,,66300000,222800000,,
1994-12-31,-11500000,,-52600000,2700000,,1041600000,145900000,4600000,609000000,34000000,47200000,3500000,177000000,,-126100000,1013700000,100500000,,0,-1100000,,,140600000,37500000,11400000,332100000,121800000,202000000,174600000,84900000,38900000,1400000,,1.52381,,38900000,,444900000,,44200000,6100000,164400000,6300000,-204100000,-200000,406100000,394700000,155200000,106500000,0,1.52381,,69890625,-5400000,-163200000,,38000000,,674700000,139400000,39400000,339000000,224100000,69890625,596700000,-29600000,,432600000,12900000,-41400000,-17300000,106500000,,106500000,198400000,,
1995-12-31,-13600000,,-58600000,102100000,,1057200000,167000000,-6400000,667300000,36200000,47400000,3100000,238300000,,-2300000,1143100000,195000000,,0,-102200000,,137900000,164900000,34300000,10600000,194900000,152600000,204200000,201100000,76800000,87000000,2100000,,1.825,,87000000,,500100000,,38900000,8500000,175000000,2600000,-214200000,-6600000,418400000,215000000,160600000,121900000,-100000,1.825,,66794521,48100000,-38200000,,35900000,,767000000,,45100000,376100000,236400000,66794521,557100000,-1700000,,389900000,16100000,114400000,-12300000,121900000,,121900000,211200000,,
1996-12-31,-9800000,,-65300000,99500000,,1185400000,199300000,6700000,743100000,39300000,15200000,5900000,312500000,,-74200000,1297400000,186900000,,0,-67600000,,162200000,197600000,52500000,10300000,255400000,189200000,217900000,236900000,74700000,134400000,-40500000,,2.1,,134400000,,591200000,,87000000,8400000,194800000,-1400000,-226300000,-5600000,444200000,214100000,184300000,141500000,100000,2.1,,67380952,47400000,-39100000,,39800000,,865700000,18600000,57800000,431700000,244600000,67380952,594200000,3100000,,442300000,12700000,150100000,1300000,141500000,,141500000,234100000,,
1997-12-31,-50800000,,-73700000,99500000,,1284800000,180200000,2500000,830300000,43200000,15400000,8400000,366900000,,-102300000,1378800000,198200000,,0,-105500000,,190500000,223600000,60900000,-36200000,256300000,148600000,251900000,266800000,95800000,75200000,14800000,,1.94,,75200000,,596200000,,134400000,7300000,206800000,-11500000,-266100000,-21800000,518000000,246200000,195100000,130300000,0,1.89,,68941799,-59200000,-81700000,,54100000,,905200000,300000,49900000,473600000,275900000,67164948,688600000,-58400000,,454500000,2900000,66900000,-27300000,130300000,,130300000,250000000,,
1998-12-31,-31600000,,-79700000,99600000,,1390400000,230500000,900000,840600000,48100000,39800000,10900000,455700000,,-196900000,1424600000,204800000,,0,-38600000,,232600000,226100000,69800000,14300000,345000000,190400000,310100000,274200000,104100000,30100000,-40600000,,2.56,,30100000,,564800000,,75200000,9900000,212100000,5200000,-298500000,-82800000,608600000,282900000,161900000,169400000,0,2.5,,67760000,-45100000,-164500000,,33600000,,938300000,113300000,61100000,486300000,300900000,66171875,825600000,-26400000,,549800000,1100000,25900000,-2200000,169400000,,169400000,260200000,,
1999-12-31,,,-82200000,99600000,,1399200000,197000000,-5600000,855800000,52800000,,9900000,519100000,,-66200000,1451800000,200000000,,24000000,-115900000,,241300000,185600000,75900000,27300000,343400000,176000000,308900000,238400000,90500000,24000000,-11600000,,2.24,,24000000,-13600000,552800000,,30100000,15900000,223400000,8500000,-297000000,-57400000,605900000,296200000,140400000,145800000,0,2.21,,65972851,-6100000,-92000000,,31600000,600000,990000000,127100000,51200000,461800000,278500000,65089286,846400000,-11300000,,543400000,9900000,84000000,25000000,145800000,,145800000,276200000,,
2000-12-31,-5600000,,-81200000,99700000,,1454500000,184300000,,769500000,54900000,19400000,4100000,577400000,,14500000,1424100000,195600000,,74800000,-87500000,,262000000,148200000,69900000,55800000,489400000,123800000,305300000,203100000,89900000,74800000,8600000,,2.26,,74800000,-19500000,620000000,,24000000,19700000,220900000,2200000,-324000000,-142800000,629300000,267200000,160000000,138200000,0,2.25,,61422222,50800000,-48600000,,36800000,600000,1000100000,259500000,46100000,424000000,298600000,61150442,834500000,-10500000,,685000000,6000000,75200000,-11400000,138200000,,138200000,275800000,,
2001-12-31,-104900000,163400000,-77400000,99800000,267900000,1205400000,55800000,,736500000,53000000,162200000,5800000,548300000,,32600000,13122000000,185000000,,33400000,-273300000,43100000,,11866300000,55500000,-20500000,283900000,199300000,264200000,11919300000,85200000,33400000,4600000,,0.83,,76500000,-19300000,508300000,,74800000,15500000,222200000,-16600000,-341300000,-9900000,605500000,165000000,19400000,48300000,0,0.82,141300000,58902439,-41400000,-28600000,,0,600000,998200000,67700000,7500000,12123800000,242600000,58192771,697100000,90800000,,468900000,,170700000,58500000,48300000,,48300000,257500000,,
