date,annualCurrentAssets,annualOtherNonCurrentAssets,annualOperatingExpense,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,annualDilutedAverageShares,annualChangesInAccountReceivables,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualEbitda,annualDilutedEPS,annualCurrentAccruedExpenses,annualBasicAverageShares,annualNetOtherFinancingCharges,annualInterestExpense,annualResearchAndDevelopment,annualOtherCurrentAssets,annualCostOfRevenue,annualBasicEPS,annualGrossProfit,annualTotalNonCurrentAssets,annualTaxProvision,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,annualNetIncome,annualCurrentDeferredRevenue,annualBeginningCashPosition,annualFreeCashFlow,annualCurrentDebt,annualAccountsReceivable,annualInvestingCashFlow,annualPurchaseOfInvestment,annualNonCurrentDeferredRevenue,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,annualStockholdersEquity,annualDepreciationAndAmortization,annualChangeInWorkingCapital,annualCurrentLiabilities,annualRetainedEarnings,annualInventory,annualGoodwill,annualSaleOfInvestment,annualOtherShortTermInvestments,annualCommonStockIssuance,annualStockBasedCompensation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualAccountsPayable,annualChangeInAccountPayable,annualOperatingIncome,annualCapitalStock,annualOtherIncomeExpense,annualTotalRevenue,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,annualIncomeTaxPayable,annualOtherNonCurrentLiabilities,annualPretaxIncome,annualInvestmentsAndAdvances,annualCashDividendsPaid
2004-12-31,,,,,,,,,13466000,,-24804000,,,,,-1.84,,13466000,,,,,,-1.84,,,,,,-24804000,,,-24804000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,31384000.0,13833000.0,74294000.0,,-606000.0,23551000.0,-1413000.0,,13466000,,-85156000,7429000.0,,-13064000.0,-51705000.0,-6.32,11121000.0,13466000,15000000.0,7129000.0,45783000.0,371000.0,4292000.0,-6.32,17150000.0,133397000.0,,-219000.0,283029000.0,-85156000,901000.0,,-85156000,,33678000.0,-53575000.0,,3597000.0,-153754000.0,,,164781000.0,,73629000.0,-118248000.0,5439000.0,2849000.0,23336000.0,-118252000.0,3262000.0,38883000.0,5950000.0,,177852000.0,,259693000.0,-52162000.0,4786000.0,,-57144000.0,,-22201000.0,21442000.0,78740000.0,4000.0,1941000.0,192852000.0,20614000.0,20614000.0,-12175000.0,2547000.0,20614000.0,,16278000.0,,,
2006-12-31,91563000.0,13548000.0,115940000.0,,-1235000.0,51384000.0,-1682000.0,,13466000,,-81311000,8521000.0,,58334000.0,-67742000.0,-6.04,12943000.0,13466000,15000000.0,14129000.0,54956000.0,487000.0,6968000.0,-6.04,37888000.0,123008000.0,,-521000.0,390867000.0,-59391000,-27020000.0,,-59391000,1422000.0,20614000.0,-59032000.0,2191000.0,5380000.0,-1507000.0,-1705000.0,,214571000.0,,74283000.0,-176296000.0,10310000.0,15399000.0,30520000.0,-177643000.0,3026000.0,38213000.0,1705000.0,,100000000.0,,360347000.0,-57350000.0,5443000.0,,-78052000.0,0.0,30483000.0,44856000.0,69140000.0,12000.0,2107000.0,117191000.0,78948000.0,78948000.0,25000.0,3342000.0,78948000.0,,14029000.0,,,
2007-12-31,116091000.0,13269000.0,195178000.0,,-2522000.0,78540000.0,-3149000.0,,13829000,,-138826000,0.0,,23997000.0,-128252000.0,-10.04,29047000.0,13829000,0.0,13647000.0,69792000.0,381000.0,8903000.0,-10.04,56400000.0,91463000.0,,459000.0,152562000.0,-138826000,25560000.0,,-138826000,1494000.0,78948000.0,-84240000.0,3459000.0,5389000.0,5337000.0,-10848000.0,,207554000.0,,75116000.0,54992000.0,10526000.0,27503000.0,36856000.0,-316469000.0,2213000.0,38213000.0,10848000.0,,98483000.0,,115706000.0,-81091000.0,2856000.0,,-138778000.0,2000.0,-29972000.0,65303000.0,36040000.0,19000.0,3941000.0,99751000.0,102945000.0,102945000.0,-1664000.0,6463000.0,102945000.0,,40590000.0,,,
2008-12-31,43999000.0,246000.0,194192000.0,,-3985000.0,111401000.0,-28739000.0,,25646000,-1254000.0,-184339000,14000000.0,-504000.0,-78042000.0,-125576000.0,-7.19,19024000.0,25646000,0.0,19742000.0,69963000.0,2382000.0,13924000.0,-7.19,53590000.0,73499000.0,,-2634000.0,210376000.0,-184339000,2060000.0,,-184339000,12322000.0,102945000.0,-158971000.0,122409000.0,6643000.0,-11942000.0,,11330000.0,117498000.0,,0.0,-92878000.0,15026000.0,2102000.0,173491000.0,-500808000.0,4788000.0,38213000.0,3436000.0,1004000.0,24514000.0,8106000.0,36885000.0,-130232000.0,5736000.0,2880000.0,-140602000.0,3000.0,-25829000.0,67514000.0,32526000.0,4000.0,2514000.0,64132000.0,25907000.0,24903000.0,7586000.0,6499000.0,24903000.0,,13063000.0,,,
2009-12-31,36954000.0,1247000.0,102881000.0,,-5388000.0,58652000.0,-6053000.0,,30018000,-5670000.0,-6836000,6954000.0,0.0,-9308000.0,23598000.0,-0.23,14296000.0,30018000,0.0,22796000.0,36561000.0,979000.0,9638000.0,-0.23,118811000.0,70442000.0,,883000.0,180226000.0,-6836000,5957000.0,,-6836000,2675000.0,24903000.0,-21931000.0,33158000.0,12313000.0,-6124000.0,0.0,10220000.0,107396000.0,,91107000.0,-72830000.0,9097000.0,-24110000.0,59241000.0,-507644000.0,3426000.0,38213000.0,1004000.0,0.0,6782000.0,5957000.0,120985000.0,-15878000.0,2158000.0,-3578000.0,15930000.0,3000.0,-4000.0,128449000.0,29858000.0,0.0,1124000.0,12694000.0,15595000.0,15595000.0,-1075000.0,6512000.0,15595000.0,,19658000.0,,,
2010-12-31,74458000.0,335000.0,102433000.0,,-6232000.0,68996000.0,-4731000.0,,39411000,-9768000.0,32778000,4128000.0,-136312000.0,29199000.0,65614000.0,0.83,23572000.0,36343000,3542000.0,12728000.0,25612000.0,279000.0,13559000.0,0.9,160222000.0,61271000.0,,-1644000.0,105178000.0,32778000,2406000.0,,32778000,1273000.0,15595000.0,54137000.0,23414000.0,22081000.0,-2143000.0,0.0,9135000.0,135729000.0,,24629000.0,30551000.0,8711000.0,-5812000.0,59936000.0,-474866000.0,5046000.0,38213000.0,2588000.0,,56817000.0,8219000.0,45242000.0,58868000.0,3049000.0,891000.0,57789000.0,4000.0,-12289000.0,173781000.0,22033000.0,,690000.0,-27526000.0,44794000.0,44794000.0,0.0,6922000.0,44794000.0,,11478000.0,,,
2011-12-31,199131000.0,87000.0,130504000.0,,-6583000.0,108936000.0,-5779000.0,,46798000,-12293000.0,124984000,7320000.0,-49501000.0,37282000.0,135658000.0,2.67,34783000.0,41499000,0.0,1675000.0,14120000.0,1260000.0,13942000.0,3.01,258335000.0,54442000.0,,1298000.0,60785000.0,124984000,125378000.0,,124984000,1138000.0,44794000.0,145817000.0,0.0,34374000.0,-81232000.0,-79886000.0,7915000.0,253573000.0,,0.0,192788000.0,7827000.0,-3593000.0,52870000.0,-349882000.0,3909000.0,38213000.0,4033000.0,75822000.0,0.0,20704000.0,7915000.0,151596000.0,5129000.0,2080000.0,127831000.0,4000.0,-1247000.0,272277000.0,14585000.0,-31000.0,1557000.0,-33082000.0,157898000.0,82076000.0,400000.0,8140000.0,82076000.0,,0.0,,,
2012-12-31,551572000.0,3662000.0,309710000.0,-113862000.0,-7779000.0,223882000.0,-22476000.0,,60195000,-4724000.0,288586000,1138000.0,-11875000.0,305120000.0,272073000.0,4.79,53381000.0,56643000,-15514000.0,16869000.0,20477000.0,19113000.0,78425000.0,5.09,507554000.0,1414921000.0,-83794000.0,1697000.0,845201000.0,261149000,3223000.0,-542531000.0,288586000,1138000.0,82076000.0,227276000.0,29688000.0,75480000.0,-395294000.0,-37443000.0,6776000.0,1966493000.0,178393000.0,427073000.0,1121292000.0,74229000.0,-5157000.0,191538000.0,-61296000.0,26525000.0,442600000.0,113234000.0,0.0,0.0,23006000.0,653663000.0,249752000.0,15887000.0,-7286000.0,197844000.0,61000.0,-3620000.0,585979000.0,869952000.0,31046000.0,7281000.0,448530000.0,387196000.0,387196000.0,0.0,15060000.0,387196000.0,39884000.0,41421000.0,177355000.0,,
2013-12-31,864617000.0,7304000.0,429965000.0,-10097000.0,-10613000.0,304303000.0,-11276000.0,-136484000.0,61569000,-48846000.0,216312000,50000000.0,-465910000.0,249308000.0,422402000.0,3.51,66779000.0,58298000,-5763000.0,,46620000.0,33843000.0,102146000.0,3.71,770277000.0,1373604000.0,91638000.0,-8516000.0,942687000.0,216312000,21478000.0,0.0,216312000,1138000.0,387196000.0,272340000.0,5572000.0,124805000.0,-11276000.0,0.0,5718000.0,2238221000.0,168497000.0,544404000.0,1295534000.0,82090000.0,-80958000.0,204028000.0,18532000.0,28669000.0,450456000.0,0.0,,,44551000.0,738659000.0,283616000.0,21005000.0,5089000.0,340312000.0,61000.0,-5446000.0,872423000.0,812396000.0,56153000.0,14246000.0,-24029000.0,636504000.0,636504000.0,0.0,24859000.0,636504000.0,336000.0,20040000.0,307950000.0,,
