date,annualTaxProvision,annualEndCashPosition,annualCurrentDebt,annualOtherCurrentAssets,annualTotalRevenue,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualFreeCashFlow,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetIncome,annualTotalAssets,annualLongTermDebt,annualBeginningCashPosition,annualCashDividendsPaid,annualBasicEPS,annualAccountsReceivable,annualCurrentAssets,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualCommonStockIssuance,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualOtherNonCashItems,annualDepreciationAndAmortization,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualStockBasedCompensation,annualCapitalStock,annualOperatingCashFlow,annualNetPPE,annualCurrentLiabilities,annualTotalNonCurrentAssets,annualGrossProfit,annualOtherIntangibleAssets,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,annualEbitda,annualOtherNonCurrentLiabilities,annualDilutedEPS,annualPurchaseOfBusiness,annualBasicAverageShares,annualChangeInInventory,annualCashCashEquivalentsAndMarketableSecurities,annualPretaxIncome,annualGoodwill,annualInterestExpense,annualChangesInAccountReceivables,annualPurchaseOfInvestment,annualGrossPPE,annualDeferredIncomeTax,annualRepaymentOfDebt,annualOperatingIncome,annualOtherIncomeExpense,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue
1979-12-31,322100000.0,0.0,108200000,52300000.0,4961400000.0,2681100000.0,135200000,,,,,,1019400000,-717200000.0,0.0,207000000,,1560900000.0,,,,420100000.0,148600000,420100000.0,2938100000,31000000,0.0,,0.075,,1305600000,420100000.0,,,1448000000.0,1918700000,,,1759400000,,,669600000,,,0.0,1284200000,884200000,1632500000,2280300000.0,141300000,5601333333.0,104200000,,832300000.0,0,0.075,,5601333333.0,,148600000,742200000.0,,10700000.0,,,2001400000.0,,,719400000.0,33500000.0,,,776000000.0,0.0,,,
1980-12-31,330400000.0,0.0,95100000,57900000.0,5620700000.0,3066700000.0,269700000,,,,,,1331300000,-790700000.0,0.0,302200000,,1812900000.0,,,,406300000.0,231100000,406300000.0,3406000000,133200000,0.0,,0.07,,1622300000,406300000.0,,,1681900000.0,2074700000,,,1914500000,,,810200000,,,0.0,1340800000,1061600000,1783700000,2554000000.0,140700000,5804285714.0,136400000,,872100000.0,100000,0.07,,5804285714.0,,231100000,736700000.0,,35100000.0,,,2131500000.0,,,741100000.0,30700000.0,,,966500000.0,0.0,,,
1981-12-31,360200000.0,0.0,95200000,62500000.0,5889000000.0,3170700000.0,287600000,,,,,,1294000000,-834700000.0,0.0,387400000,,1919800000.0,,,,447100000.0,339500000,447100000.0,3564800000,137300000,0.0,,0.08,,1636200000,447100000.0,,,1782900000.0,2270800000,,,2109500000,,,750700000,,,0.0,1409500000,1006400000,1928600000,2718300000.0,131700000,5588750000.0,150400000,,935400000.0,-100000,0.08,,5588750000.0,,339500000,807300000.0,,38300000.0,,,2244200000.0,,,798500000.0,47000000.0,,,911200000.0,0.0,,,
1982-12-31,415100000.0,0.0,121200000,255100000.0,6021100000.0,3113700000.0,817800000,,,,,,2144600000,-907300000.0,0.0,674700000,,2027600000.0,,,,503000000.0,260900000,512300000.0,4923300000,462300000,0.0,,0.09,,2076600000,512300000.0,,,1830500000.0,2778700000,,,2300200000,,,808800000,,,0.0,1538600000,1326800000,2846700000,2907400000.0,633400000,5692222222.0,165100000,,1076900000.0,190400000,0.09,,5692222222.0,,260900000,918100000.0,,74600000.0,,,2445900000.0,,,879800000.0,112900000.0,,,1205600000.0,0.0,,,
1983-12-31,442100000.0,0.0,106700000,195000000.0,6829000000.0,3545500000.0,915900000,,,,,,2307000000,-940700000.0,0.0,735300000,,2290900000.0,,,,558300000.0,611500000,558800000.0,5227800000,513200000,0.0,,0.09,,2330300000,558800000.0,,,2063600000.0,2920800000,,,2494200000,,,744100000,,,0.0,1560800000,1391100000,2897500000,3283500000.0,601400000,6208888889.0,176600000,,1219900000.0,226100000,0.09,,6208888889.0,,611500000,1000400000.0,,72700000.0,,,2501500000.0,,,992600000.0,80400000.0,,,1284400000.0,0.0,,,
1984-12-31,439200000.0,0.0,622500000,241400000.0,7364000000.0,3690100000.0,1157200000,,,,,,3180000000,-1009700000.0,0.0,1084200000,,2616400000.0,,,,628800000.0,782100000,628800000.0,5958100000,740000000,0.0,,0.1,,2635900000,628800000.0,,,2313600000.0,2778100000,,,2758900000,,,740100000,,,0.0,1622600000,2022800000,3322200000,3673900000.0,615400000,6288000000.0,242000000,,1360300000.0,175200000,0.1,,6288000000.0,,782100000,1068000000.0,,123800000.0,,,2632300000.0,,,1057500000.0,134300000.0,,,1400300000.0,0.0,,,
1985-12-31,415300000.0,0.0,426100000,294600000.0,7903900000.0,3876500000.0,1914800000,,,,,,3918600000,-1127300000.0,0.0,1371300000,,2982000000.0,,,,677600000.0,865200000,722300000.0,6897700000,889200000,0.0,,0.12,,2970300000,722300000.0,,,2664900000.0,2979100000,,,3092300000,,,913300000,,,0.0,1883700000,2003800000,3927400000,4027400000.0,672400000,6019166667.0,320800000,,1362500000.0,704800000,0.12,,6019166667.0,,865200000,1092900000.0,,167800000.0,,,3011000000.0,,,1045400000.0,215300000.0,,,1577700000.0,0.0,,,
1986-12-31,576900000.0,0.0,725100000,837500000.0,8668600000.0,4232500000.0,2103600000,,,,,,4858400000,-1026200000.0,0.0,2211200000,,3291000000.0,,,,934300000.0,887700000,934300000.0,8373400000,1011200000,0.0,,0.155,,3739400000,934300000.0,,,2879300000.0,3515000000,,,3624000000,,,932600000,,,0.0,1763700000,2754800000,4634000000,4436100000.0,659100000,6027741935.0,381600000,,1556800000.0,710800000,0.155,,6027741935.0,,887700000,1511200000.0,,185800000.0,,,2789900000.0,,,1145100000.0,552000000.0,,,2029700000.0,0.0,,,
1987-12-31,494000000.0,0.0,1899000000,674200000.0,7658300000.0,3481300000.0,1013300000,,,,,,5131800000,-1042000000.0,0.0,2547500000,,2816900000.0,,,,916100000.0,1468300000,916100000.0,8355600000,803400000,0.0,,0.155,,4136200000,916100000.0,,,2665000000.0,3223800000,,,3783600000,,,776700000,,,0.0,1597700000,4118500000,4219400000,4177000000.0,74200000,5910322581.0,209900000,,1512000000.0,0,0.155,,5910322581.0,,1468300000,1410100000.0,,279000000.0,,,2639700000.0,,,1360100000.0,329000000.0,,,2219500000.0,0.0,,,
1988-12-31,537400000.0,0.0,1363400000,451400000.0,8337800000.0,3531700000.0,1536400000,,,,,,4405300000,-1149800000.0,0.0,2389600000,,3207900000.0,,,,1044700000.0,1231200000,1044700000.0,7450600000,761100000,0.0,,0.18,,3245400000,1038300000.0,,,3038100000.0,3045300000,,,4385100000,,,778800000,,,0.0,1759100000,2868900000,4205200000,4806100000.0,56500000,5933142857.0,269700000,,1768000000.0,505600000,0.175,,5768333333.0,,1231200000,1582100000.0,,230500000.0,,,2908900000.0,,,1598200000.0,214300000.0,,,1505500000.0,0.0,,,
