date,annualCostOfRevenue,annualTotalRevenue,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualCurrentDebt,annualOperatingIncome,annualEndCashPosition,annualCommonStockIssuance,annualFreeCashFlow,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualCashAndCashEquivalents,annualCurrentAssets,annualAccountsReceivable,annualLongTermDebt,annualDilutedEPS,annualBeginningCashPosition,annualNetIncome,annualCashDividendsPaid,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualBasicEPS,annualStockholdersEquity,annualOtherNonCashItems,annualRetainedEarnings,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,annualCurrentAccruedExpenses,annualCapitalStock,annualStockBasedCompensation,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualNetPPE,annualOtherIncomeExpense,annualOperatingCashFlow,annualInventory,annualCurrentLiabilities,annualGrossProfit,annualEbitda,annualOtherNonCurrentLiabilities,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualPurchaseOfInvestment,annualPretaxIncome,annualInterestExpense,annualGoodwill,annualIncomeTaxPayable,annualGrossPPE,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualResearchAndDevelopment,annualChangesInAccountReceivables,annualPurchaseOfBusiness,annualNonCurrentDeferredRevenue
1991-08-31,572700000,862900000,,4700000,1900000.0,59500000,0,,29100000,,2700000,70800000,237000000,,1000000.0,15000000,,,230700000,,-600000,355900000,800000,151600000,,216400000,0.07,800000,15000000,,45300000,,15000000,212000000,0.07,6600000,700000.0,13100000,362500000,13000000,18700000,,,,210900000,63400000.0,102200000,-4400000.0,40400000,145400000,118900000,290200000,78200000,8300000,-12700000.0,12300000,800000,214285714,,28000000,27100000,,,125000000,2200000.0,-22800000,,214285714,-28800000,46200000.0,-11600000,-11300000,0,,,,
1992-08-31,659900000,1005800000,,1700000,11100000.0,51600000,0,104700000.0,13800000,,2900000,84500000,124400000,,-14700000.0,17500000,,,294300000,,-3300000,263800000,900000,179400000,,89300000,0.07,800000,16700000,,32800000,,16700000,274400000,0.07,134000000,-800000.0,34800000,397800000,14200000,19900000,,,,218400000,64200000.0,121400000,-900000.0,41300000,173500000,139400000,345900000,71500000,26300000,-23700000.0,8800000,900000,238571429,,31700000,19000000,,,154600000,-1500000.0,-33200000,,238571429,-10400000,43800000.0,-30800000,-27500000,100000,,,,
1993-01-31,722600000,1096900000,,50800000,1100000.0,64600000,0,104800000.0,24400000,,3600000,54100000,131800000,,,26600000,,,309700000,,-4100000,237400000,900000,211100000,,95100000,0.11,900000,26600000,,36400000,,26600000,289900000,0.11,207400000,,30900000,444800000,21400000,19800000,,,,233700000,56100000.0,141200000,-2100000.0,61500000,159400000,105600000,374300000,84400000,24900000,,11800000,900000,241818182,-3300000.0,48000000,14400000,,,179000000,,-37800000,,241818182,-16900000,50400000.0,-44500000,-37100000,100000,,,,
1994-01-31,868400000,1305700000,,10700000,900000.0,102400000,0,46100000.0,4200000,,-100000,56200000,91500000,,-24600000.0,55700000,,,334900000,,-300000,206800000,1000000,202200000,,51900000,0.16,900000,53900000,,29600000,,53900000,310900000,0.17,262500000,-100000.0,79700000,469300000,41000000,24000000,,,,267100000,50900000.0,186600000,900000.0,63000000,190500000,115300000,437300000,126400000,24500000,-31100000.0,15100000,1000000,336875000,-4200000.0,96700000,6700000,,,235600000,4500000.0,-49000000,,317058824,-3800000,58200000.0,-59200000,-58800000,100000,,,,
1995-01-31,1037700000,1554100000,,7800000,1300000.0,123900000,0,1500000.0,-12000000,,0,98300000,153000000,,-11900000.0,68500000,,,392500000,,-500000,324500000,30400000,286200000,,108700000,0.23,8500000,68500000,,4600000,,68500000,365100000,0.24,334200000,100000.0,148300000,658700000,48900000,27400000,,,,372500000,69200000.0,298700000,1000000.0,95500000,248000000,171500000,516400000,151300000,24000000,-57500000.0,20300000,30400000,297826087,,117400000,7400000,,,367100000,8200000.0,-68400000,,285416667,33500000,71900000.0,-107100000,-107500000,21900000,,,,
1996-01-31,1294700000,1925700000,,7100000,1400000.0,149800000,0,2400000.0,-103700000,,0,68800000,239500000,,-91300000.0,72700000,,,481200000,,-600000,394300000,2800000,330200000,,187700000,0.25,30400000,72700000,,4500000,,72700000,447200000,0.25,410600000,100000.0,220900000,804900000,50100000,34000000,,,,474700000,61000000.0,409200000,-13700000.0,28700000,320300000,154800000,631000000,183800000,21100000,-72400000.0,30700000,2800000,290800000,,122800000,13500000,,,502400000,10700000.0,-93200000,,290800000,75100000,84600000.0,-131400000,-132400000,-27600000,,,,
1997-01-31,1608700000,2388200000,,33100000,1700000.0,188800000,0,3100000.0,-118200000,,0,126500000,369100000,,-49500000.0,102500000,,,590700000,,-2100000,604900000,8900000,465200000,,312000000,0.34,2800000,102500000,,25700000,,102500000,546500000,0.35,517500000,,323400000,1122400000,68900000,44200000,,,,657200000,35300000.0,596200000,300000.0,105200000,423200000,235800000,779500000,233000000,18400000,-102600000.0,38700000,8900000,301470588,,171400000,17700000,,,725100000,4900000.0,-128900000,,292857143,125700000,107600000.0,-224700000,-223400000,6100000,,,,
1998-01-31,2046500000,3060100000,,11800000,1800000.0,258500000,0,,-252900000,,100000,150700000,378700000,,-249300000.0,141300000,,,755100000,,-6600000,664900000,44200000,811400000,,310400000,0.455,8900000,141300000,,28600000,,141300000,697400000,0.465,954800000,100000.0,464700000,1619700000,93800000,57700000,,,,808300000,30100000.0,749600000,800000.0,-50200000,515800000,286200000,1013600000,316200000,23200000,-92600000.0,45100000,44200000,312154000,,235100000,24300000,,,926500000,-2800000.0,-176900000,,304942000,294500000,133700000.0,-209000000,-202700000,35200000,,,,
1999-01-31,2447300000,3681800000,,48400000,1500000.0,337700000,0,15700000.0,-18200000,,0,212900000,393100000,,-35100000.0,192300000,,,896800000,,-14600000,773300000,2900000,939400000,,310900000,0.59,44200000,192300000,,25100000,,192300000,826600000,0.61,1162800000,,656900000,1936100000,124500000,70200000,,,,996700000,38600000.0,933000000,1800000.0,230700000,617400000,380200000,1234500000,407900000,28400000,-101600000.0,53800000,2900000,325932203,-26700000.0,316800000,22700000,,,1141500000,900000.0,-208500000,,315245902,16900000,165800000.0,-288900000,-248900000,-41300000,,,,
2000-01-31,3013759000,4557112000,,30814000,96589000.0,448275000,12608000,264582000.0,-515187000,27500000.0,-2156000,330084000,594747000,,-245233000.0,258142000,,,1095078000,,-20151000,1229159000,12608000,1366523000,,494993000,0.77,2858000,258142000,,42422000,,258142000,1006241000,0.8,1685503000,3536000.0,915062000,2914662000,162970000,88837000,,3262000.0,,1548139000,152761000.0,1352956000,0.0,110205000,794439000,634412000,1543353000,537112000,33272000,-177077000.0,66482000,40108000,333856000,-764000.0,421112000,29470000,,,1631897000,4923000.0,-278941000,,324628000,541502000,207739000.0,-641957000,-625392000,9750000,,,,
