date,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualDilutedAverageShares,annualChangesInAccountReceivables,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualTaxProvision,annualNetIncomeCommonStockholders,annualInterestExpense,annualRepaymentOfDebt,annualTotalRevenue,annualDilutedEPS,annualFreeCashFlow,annualBasicAverageShares,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCashDividendsPaid,annualCurrentDebt,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualNetIncome,annualBeginningCashPosition,annualIncomeTaxPayable,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualInvestingCashFlow,annualStockholdersEquity,annualOtherNonCashItems,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualRetainedEarnings,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualPurchaseOfInvestment,annualAccountsReceivable,annualCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualOtherShortTermInvestments,annualCommonStockIssuance,annualAccountsPayable,annualNetPPE,annualOperatingCashFlow,annualChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualEndCashPosition,annualOperatingIncome,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualInvestmentsAndAdvances,annualPretaxIncome,annualBasicEPS,annualCurrentLiabilities,annualGrossProfit,annualInventory,annualOperatingExpense,annualGoodwill,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualGrossPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualOtherCurrentLiabilities,annualCostOfRevenue,annualAccumulatedDepreciation,annualEbitda,annualChangeInInventory,annualStockBasedCompensation,annualOtherCurrentAssets,annualOtherNonCurrentLiabilities,annualOtherNonCurrentAssets
2000-12-31,,,,,,,,,,,,,,,,,502298000000,,,921000000.0,,,,,,,,,-340160000000,,,,,162307000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,5100000000.0,,3920686250.0,,,,,4000000.0,-4706000000.0,,,61207000000.0,-1.2003,,3920686250.0,466629000000,,,,-4706000000.0,,-4712000000.0,,,,,,-238847000000,,6704000000.0,,,228108000000,,,,,4600000000.0,,-35000000.0,,,,,,,0.0,,,-4708000000.0,0.0,,,-4702000000.0,-1.2003,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,,,3916666667.0,,,,,14000000.0,-3525000000.0,,,74308000000.0,-0.9,,3916666667.0,556677000000,,,,-3525000000.0,,-3523000000.0,,0.0,,,,-243237000000,,12812000000.0,,-249267000000.0,313770000000,,,,1757000000.0,4600000000.0,,-801000000.0,,,,,,,14529000000.0,,,-3509000000.0,14529000000.0,,88508000000.0,-3511000000.0,-0.9,,,,,,,,,,,,,,,,,,,,,
2003-12-31,-2242000000.0,6862000000.0,1041000000.0,4095245949.0,140703900.0,,70035000000.0,28087000000.0,1180000000.0,-1428000000.0,,-2000000.0,78883000000.0,-0.350088,36268000000.0,4078980000.0,265644000000,32365000000.0,,,-1428000000.0,,-1428000000.0,14529000000.0,,43867000000.0,3686000000.0,-105166000000.0,62436000000,222000000.0,,0.0,35671000000.0,328720000000,94743000000.0,6310000000.0,-85115000000.0,2801000000.0,26765000000.0,,974000000.0,,24710000000.0,,12008000000.0,38510000000.0,43659592500.0,42616000000.0,,42616000000.0,-263000000.0,42616000000.0,-61939000000.0,81322000000.0,-263000000.0,-0.350088,,,,,,,,,,,,,,,,,,,,,
2004-12-31,-970000000.0,6585000000.0,2201000000.0,5310523889.0,-2507779500.0,,72213000000.0,-15399000000.0,2280000000.0,7171000000.0,,0.0,76806000000.0,1.350338,31944000000.0,5310523889.0,366397000000,34989184000.0,,,7171000000.0,,7171000000.0,42616000000.0,,29739000000.0,4371000000.0,-120526000000.0,66530000000,-18368184000.0,,,39765000000.0,433671000000,72213000000.0,6921000000.0,-124504000000.0,3912000000.0,26765000000.0,,718000000.0,,0.0,,12250000000.0,32914000000.0,33478442500.0,27217000000.0,,27217000000.0,9503000000.0,27217000000.0,-24858000000.0,167505000000.0,9503000000.0,1.350338,,,,,,,,,,,,,,,,,,,,,
2005-12-31,-1484000000.0,7237000000.0,1373000000.0,5319978343.0,3098956800.0,,60717000000.0,1205000000.0,2145000000.0,9306000000.0,,0.0,98212000000.0,1.750438,30344000000.0,5316384857.0,477979000000,11826000000.0,,,9306000000.0,,9365000000.0,27217000000.0,,62057000000.0,7982000000.0,-91340000000.0,80378000000,739000000.0,34631000000.0,,53613000000.0,559219000000,60717000000.0,8714000000.0,-160641000000.0,4959000000.0,26765000000.0,,1489000000.0,,0.0,,12710000000.0,31828000000.0,43175570000.0,28051000000.0,,28051000000.0,11510000000.0,28051000000.0,8697000000.0,295102000000.0,11510000000.0,1.750438,,,,,,,,,,,,,,,,,,,,,
2006-12-31,-2684954400.0,9339000000.0,4696000000.0,5321600000.0,8936839500.0,,56849000000.0,22627000000.0,5554000000.0,19956000000.0,,,147311000000.0,3.75,77667045600.0,5321600000.0,623650000000,65413000000.0,-1346000000.0,,19956000000.0,-6064562700.0,20051000000.0,28051000000.0,843000000.0,54180000000.0,19022000000.0,-141038000000.0,139665000000,-20595225400.0,41371000000.0,,34032000000.0,764395000000,83313000000.0,11171000000.0,-177038000000.0,6056757600.0,28265000000.0,,1595000000.0,,27810000000.0,34948000000.0,14565000000.0,80352000000.0,56735271900.0,50213000000.0,,50213000000.0,25605000000.0,50213000000.0,-9430482900.0,453391000000.0,25605000000.0,3.75,,,,,,,,,,,,,,,,,,,,,
2007-12-31,-3177283500.0,11798000000.0,,5634637681.0,31188507000.0,,-8687000000.0,-24389000000.0,6331000000.0,38879000000.0,,,191372000000.0,6.9,119676716500.0,5634637681.0,726452000000,86691000000.0,-42000000.0,,38879000000.0,,39060000000.0,50213000000.0,8312000000.0,82475000000.0,24786000000.0,-138514000000.0,205500000000,-23107677400.0,48308000000.0,,62410000000.0,933704000000,-8729000000.0,14531000000.0,-222968000000.0,6215789100.0,28265000000.0,,409000000.0,,,72455000000.0,16771000000.0,122854000000.0,45343852800.0,25317000000.0,,25317000000.0,44982000000.0,25317000000.0,5156283500.0,638328000000.0,45391000000.0,6.9,,,,,,,,,,,,,,,,,,,,,
2008-12-31,-2825000000.0,12110000000.0,,5355406753.0,,,92712000000.0,9056000000.0,1390000000.0,21277000000.0,,,166811000000.0,3.75,81954000000.0,5355406753.0,863255000000,25852000000.0,-11964000000.0,,21414000000.0,,21277000000.0,25317000000.0,1668000000.0,83039000000.0,12569000000.0,-156471000000.0,180649000000,85418000000.0,74487000000.0,,67006000000.0,1044828000000,80748000000.0,1349000000.0,-170669000000.0,6433000000.0,28265000000.0,,-5373000000.0,228272000000.0,,28986000000.0,18151000000.0,84779000000.0,,262357000000.0,,34085000000.0,22576000000.0,34085000000.0,-66204000000.0,887415000000.0,22804000000.0,3.75,,,,,,,,,,,,,,,,,,,,,
2009-12-31,-2841000000.0,18719000000.0,,5652941000.0,,,22668000000.0,2112000000.0,8709000000.0,32881000000.0,,,339290000000.0,5.8,146859000000.0,5652941000.0,1013481000000,16352000000.0,-6501000000.0,,33036000000.0,,32881000000.0,34085000000.0,3850000000.0,222039000000.0,16361000000.0,-163751000000.0,211072000000,170640000000.0,,67326000000.0,80020000000.0,1226257000000,16167000000.0,1560000000.0,-298082000000.0,6818000000.0,28265000000.0,,2630000000.0,344983000000.0,,5721000000.0,17467000000.0,149700000000.0,,381180000000.0,,36197000000.0,41041000000.0,36197000000.0,-84867000000.0,1115184000000.0,41745000000.0,5.8,,,,,,,,,,,,,,,,,,,,,
