date,annualCashAndCashEquivalents,annualInvestmentsAndAdvances,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualOperatingExpense,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualChangesInAccountReceivables,annualCurrentDeferredRevenue,annualInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualDilutedAverageShares,annualEbitda,annualNetIncomeCommonStockholders,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualRetainedEarnings,annualNetIncome,annualCostOfRevenue,annualCashDividendsPaid,annualBeginningCashPosition,annualLongTermDebt,annualCurrentDebt,annualTaxProvision,annualTotalAssets,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualOtherCurrentAssets,annualStockholdersEquity,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,annualSaleOfInvestment,annualBasicEPS,annualDepreciationAndAmortization,annualInvestingCashFlow,annualBasicAverageShares,annualStockBasedCompensation,annualPurchaseOfBusiness,annualAccountsReceivable,annualDilutedEPS,annualGoodwill,annualGrossProfit,annualNetPPE,annualCurrentLiabilities,annualOperatingCashFlow,annualRepaymentOfDebt,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentLiabilities,annualCapitalStock,annualTotalRevenue,annualPretaxIncome,annualPurchaseOfInvestment,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualAccountsPayable,annualGrossPPE,annualOperatingIncome,annualOtherIncomeExpense,annualInventory,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualOtherIntangibleAssets,annualChangeInInventory
2005-12-31,,,,,,,-4286000,,,,,,,,,,,18470000,51793000,-4286000,,,,,,-4286000,,,,,,,,,,,,,,,,-0.23,,,18470000,,,,-0.23,,,,,,,,,,,,,,,51793000,,,,,,,51793000,,,,,,
2006-12-31,14361000,,3044000,0,37782000,-2387000,598000,,,2827000,52257000,,3403000,-2148000,-5215000,-4200000,23036000,36858000,5438000,71000,,72955000,4413000,4200000,-19900000,598000,31287000,-497000,2579000,2088000,1323000,529000,61232000,38196000,37782000,4664000,0,-11723000,,,9045000,0.003766,2396000,6658000,18853000,,,4798000,0.001926,2941000,40824000,29017000,20698000,6800000,,1290000,0,14361000,13150000,11782000,35000,0,189000,72111000,1127000,,14361000,-1676000,3181000,34232000,3042000,0,,,,,
2007-12-31,23210000,,6893000,0,55931000,-7406000,1526000,,10369000,2975000,61788000,,6658000,-1656000,-8362000,,42314000,35143000,7645000,1177000,,98954000,-303000,6000000,-18374000,1526000,39050000,-153000,14361000,1762000,7796000,1016000,88568000,46254000,55931000,6257000,6001000,-10386000,,,,0.06,3300000,-7555000,18923000,,,7114000,0.03,2941000,60276000,33849000,37166000,7103000,,-2343000,-149000,23210000,8674000,8849000,79000,0,190000,99326000,2542000,,23210000,9301000,3434000,42211000,4345000,0,,,,,
2008-12-31,35152000,3403000,9674000,-108654000,92376000,-8374000,6685000,-10793000,14262000,2897000,30843000,927000,201000,-245000,-12938000,-6000000,53599000,33430000,18532000,5747000,,63400000,1858000,128756000,-11689000,6685000,54450000,0,18930000,1459000,357000,3855000,116990000,63391000,92376000,8359000,2629000,53590000,,172000,4653000,0.26,5095000,-6348000,22185000,4991000,,9442000,0.17,2941000,106859000,41399000,32557000,10232000,-8607000,-14632000,0,35152000,0,16222000,16000,0,455000,161309000,10540000,-2627000,35152000,12338000,5770000,54337000,14483000,-1686000,,,,,
2009-12-31,62571000,360000,24135000,247000,126520000,-60265000,27304000,-18376000,23204000,1613000,26318000,2155000,554000,-2537000,-13090000,-14495000,90246000,45503000,54856000,27304000,3403000,88710000,902000,14880000,15615000,27304000,88810000,0,35152000,25450000,2105000,17979000,174738000,84492000,126224000,14848000,3785000,86028000,,2261000,1844000,0.6,7960000,-58421000,45184000,3419000,,13802000,0.6,2941000,173092000,67370000,62392000,61167000,-2732000,5178000,0,65974000,0,27419000,-144000,0,457000,261902000,45283000,0,62571000,24673000,8762000,80460000,46572000,0,,,,,
2010-12-31,33637000,0,28374000,736000,172002000,-62627000,44365000,-46905000,15034000,889000,24747000,2510000,5652000,179000,-24427000,-782000,142284000,46396000,85804000,44365000,52178000,147595000,21477000,0,59980000,44365000,140295000,,62571000,21881000,2026000,28442000,284255000,141971000,171706000,26628000,4834000,136660000,,829000,487000,0.97,12108000,-111806000,45722000,5049000,,33334000,0.96,2941000,245530000,123999000,122848000,84104000,-2933000,-3552000,0,85815000,48873000,-28934000,-445000,2715000,458000,385825000,72807000,-49666000,33637000,-1232000,15693000,148426000,73528000,0,,,,,
2011-12-31,21189000,,8456000,-91000,149780000,-80545000,50546000,-28196000,21723000,720000,33049000,3155000,3587000,20794000,-40460000,-23112000,115414000,45105000,99282000,50546000,,154554000,16554000,0,101367000,50546000,194801000,,33637000,19901000,1739000,30982000,317847000,202433000,149780000,51356000,11081000,163293000,5334000,536000,0,1.13,17034000,-84277000,44631000,6452000,,11815000,1.12,2941000,231940000,189947000,121505000,97099000,-3748000,-32981000,-3732000,21189000,57602000,-12448000,-360000,7140000,460000,426741000,81528000,,21189000,-25270000,18523000,230407000,82160000,0,,,,,
2012-12-31,105111000,,17467000,999000,176802000,-104876000,69447000,-14148000,86359000,699000,108137000,-630000,3347000,-518000,-61239000,-15242000,214174000,45251000,136046000,69447000,,260864000,39320000,,170814000,69447000,220403000,,21189000,93100000,6601000,43977000,494923000,280749000,176802000,244000,12667000,234059000,7045000,8704000,0,1.57,21923000,-131546000,44332000,7811000,,7951000,1.53,2941000,290854000,269162000,152727000,144196000,-21744000,27598000,-26670000,105111000,57745000,83922000,-223000,7405000,471000,511257000,113424000,-27000000,105111000,71272000,14174000,330401000,114052000,0,,,,,
2013-12-31,55824000,,14554000,4469000,200640000,-93490000,88711000,-19163000,99588000,2244000,105633000,8563000,5219000,5472000,-84883000,-9296000,263703000,46131000,172576000,88711000,108420000,271256000,24959000,,259525000,88711000,254419000,,105111000,86493000,6607000,56184000,616100000,352397000,200640000,-3646000,19116000,344844000,11832000,7000,60533000,1.98,25437000,-172498000,44731000,9936000,,7217000,1.92,2941000,343916000,339596000,165623000,118449000,-6689000,-22889000,29412000,164244000,66772000,-49287000,358000,6811000,489000,598335000,144895000,-168953000,55824000,4762000,24231000,424479000,143276000,0,,,,,
2014-12-31,65238000,,13533000,7637000,221449000,-168646000,111466000,-15433000,106452000,1801000,100770000,-2448000,3907000,2651000,-113213000,-5338000,267045000,47006000,210972000,111466000,100784000,279481000,-1650000,,370991000,111466000,288791000,,55824000,79877000,6616000,68232000,755713000,488668000,221449000,2308000,19428000,476232000,15974000,4906000,122555000,2.45,29473000,-161010000,45538000,9945000,,7605000,2.37,2941000,402264000,478170000,178711000,166996000,-6696000,2612000,0,166022000,69584000,9414000,-35000,4513000,497000,691055000,179698000,-114919000,65238000,3428000,22715000,591383000,180815000,0,,,,,
