date,annualChangeInWorkingCapital,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualBasicEPS,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualNetIncome,annualNonCurrentDeferredRevenue,annualCashDividendsPaid,annualEndCashPosition,annualCurrentDebt,annualOtherCurrentAssets,annualLongTermDebt,annualCurrentDeferredRevenue,annualCostOfRevenue,annualAccountsPayable,annualFreeCashFlow,annualIncomeTaxPayable,annualStockholdersEquity,annualInvestmentsAndAdvances,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,annualDilutedEPS,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualTaxProvision,annualDepreciationAndAmortization,annualCurrentAssets,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualChangeInAccountPayable,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualCurrentLiabilities,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherIntangibleAssets,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,annualOperatingExpense,annualPurchaseOfBusiness,annualCapitalExpenditure,annualInvestingCashFlow,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualBasicAverageShares,annualChangesInAccountReceivables,annualInterestExpense,annualPurchaseOfInvestment,annualCapitalStock,annualTotalRevenue,annualDeferredIncomeTax,annualGrossProfit,annualStockBasedCompensation,annualGoodwill,annualInventory,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualResearchAndDevelopment,annualOtherShortTermInvestments
1996-06-30,4700000.0,27400000.0,,0.0,0.44,,422600000,298700000,8900000.0,4700000.0,,,0.0,100000,22800000,144700000,,130700000.0,48100000,11900000.0,,123900000,,33800000.0,,0.44,12700000,,4200000.0,18100000.0,45800000,,4700000.0,,192700000,199700000,66400000.0,99000000.0,99000000,,,85100000,,15500000,45500000.0,50800000.0,-34800000.0,12700000,10681818.0,47500000.0,-3500000.0,376800000,227900000.0,12700000.0,39500000,4700000.0,30800000.0,,-54500000.0,-54700000.0,-400000.0,-46500000.0,10681818.0,,14900000.0,-200000.0,,188900000.0,2500000.0,58200000.0,,,4600000,-35200000.0,0.0,,
1997-09-30,-10600000.0,52800000.0,,-146400000.0,0.64,19700000.0,855900000,450200000,33700000.0,19700000.0,,,0.0,1700000,28800000,263300000,,239000000.0,70200000,-4500000.0,,405700000,,100000.0,,0.64,14700000,,14000000.0,34000000.0,76400000,,19700000.0,,411100000,372300000,103400000.0,168100000.0,77900000,98200000.0,2500000.0,200300000,,23300000,86800000.0,6000000.0,2600000.0,14700000,30979448.0,12100000.0,1200000.0,779500000,471000000.0,4700000.0,85700000,19700000.0,38700000.0,,-107900000.0,-251800000.0,-800000.0,151000000.0,30979448.0,,20300000.0,,,330500000.0,7400000.0,91500000.0,,,10800000,-59900000.0,-42200000.0,,
1998-07-31,,,,,,60716000.0,912122000,449498000,,,,,,1734000,4708000,282280000,,,55012000,,2239000.0,462624000,,,,,13366000,,,,71726000,22224000.0,,,501371000,390513000,,138916000.0,58985000,,,186132000,,28886000,,0.0,,13366000,,,,840396000,,,79347000,,,,,,,,,,,,345000.0,,,,,,8893000,,,,
1999-07-31,5740000.0,42371000.0,,0.0,0.37,73507000.0,1089239000,605138000,20794000.0,12791000.0,,,18302000.0,2057000,4512000,396129000,,373823000.0,89445000,37442000.0,1633000.0,476775000,152508000.0,25969000.0,,0.37,18302000,,8003000.0,53256000.0,92695000,29650000.0,12791000.0,,611141000,512003000,102610000.0,152508000.0,93135000,0.0,,201504000,-302470000.0,31146000,99149000.0,0.0,4936000.0,18302000,34795000.0,13366000.0,3522000.0,996544000,,6250000.0,84728000,12791000.0,59506000.0,-101276000.0,-65168000.0,-204424000.0,-6554000.0,106750000.0,34562000.0,-5728000.0,25099000.0,-37980000.0,345000.0,475700000.0,8003000.0,101877000.0,358000.0,,22805000,,-8100000.0,,
2000-07-31,1262000.0,61245000.0,,-40410000.0,0.44,88845000.0,1127818000,626669000,27195000.0,15338000.0,,,8821000.0,2037000,28014000,392198000,,430379000.0,105502000,33968000.0,,493755000,,,,0.44,8821000,,11857000.0,61435000.0,100354000,,15338000.0,,655172000,516485000,111624000.0,177432000.0,110184000,314000.0,,194860000,,31710000,122680000.0,2645000.0,-9481000.0,8821000,34859091.0,18302000.0,-72000.0,1027464000,830822000.0,,92577000,15338000.0,61435000.0,,-77656000.0,-116003000.0,-1287000.0,-5102000.0,34859091.0,,35108000.0,,346000.0,553059000.0,7889000.0,122680000.0,,,24092000,-175650000.0,-619000.0,,
2001-07-31,17909000.0,48001000.0,-474000.0,-30686000.0,0.54,85012000.0,1188128000,670298000,24801000.0,13631000.0,,,8685000.0,1746000,8677000,386634000,,430301000.0,129150000,49933000.0,,496749000,,-569000.0,,0.53,8685000,,11170000.0,65478000.0,102900000,25752000.0,13631000.0,,691117000,539402000,107747000.0,199147000.0,130896000,4324000.0,,194964000,,61178000,113479000.0,0.0,-136000.0,8685000,25718868.0,8821000.0,9678000.0,1085228000,921219000.0,,91590000,13631000.0,65478000.0,,-57814000.0,-107428000.0,-2799000.0,-455000.0,25242593.0,,32093000.0,,351000.0,543780000.0,5790000.0,113479000.0,,,26891000,-230102000.0,1076000.0,,
2002-07-31,24340000.0,50490000.0,-1348000.0,-64156000.0,0.21,92577000.0,1447710000,914968000,16663000.0,7565000.0,,,13110000.0,4754000,8855000,598032000,,564770000.0,140230000,55440000.0,,507268000,,28696000.0,,0.21,13110000,,7390000.0,68413000.0,109416000,31837000.0,7565000.0,,913806000,762050000,131674000.0,206902000.0,152918000,151000.0,,217586000,,90584000,118903000.0,7934000.0,4425000.0,13110000,36023810.0,8685000.0,6294000.0,1338294000,1191068000.0,,73434000,9273000.0,,,-76234000.0,-304893000.0,-2711000.0,177644000.0,36023810.0,,39271000.0,,351000.0,615260000.0,-2715000.0,50490000.0,,,32326000,-277262000.0,-9027000.0,,
2003-07-31,17274000.0,34487000.0,-198000.0,-25020000.0,-0.24,80786000.0,1455442000,930037000,-14005000.0,-8527000.0,,-926000.0,7874000.0,27931000,6428000,556220000,,588045000.0,152039000,48232000.0,,496246000,,,,-0.24,7874000,,-5478000.0,85031000.0,116995000,37830000.0,-8527000.0,,932251000,750067000,154570000.0,172735000.0,179970000,498000.0,,233461000,,115039000,119518000.0,0.0,-5236000.0,7874000,35529167.0,13110000.0,-3051000.0,1338447000,1283233000.0,,78808000,-8527000.0,87866000.0,,-106338000.0,-130723000.0,570000.0,-29083000.0,35529167.0,,50001000.0,,352000.0,710398000.0,4275000.0,122353000.0,,,31756000,-350982000.0,-3854000.0,,
2004-07-31,51625000.0,81811000.0,-677000.0,-23063000.0,-0.17,74827000.0,1533957000,1005689000,-8516000.0,-5959000.0,,,46328000.0,3159000,13193000,622644000,,546898000.0,198868000,122405000.0,,491163000,,4426000.0,,-0.17,46328000,,-2557000.0,87451000.0,155737000,31915000.0,-5959000.0,,968772000,803662000,185365000.0,179155000.0,202027000,562000.0,,230293000,,101273000,169262000.0,0.0,38454000.0,46328000,35283721.0,7874000.0,-45655000.0,1378220000,1403132000.0,,79745000,-5959000.0,93184000.0,,-62960000.0,-83365000.0,605000.0,-63546000.0,35052941.0,,47479000.0,,353000.0,721893000.0,-1018000.0,174995000.0,,,31151000,-434360000.0,-32127000.0,,
2005-07-31,55242000.0,88329000.0,-329000.0,33075000.0,0.65,97965000.0,1525921000,955722000,37623000.0,23138000.0,,,136580000.0,2004000,47432000,519706000,,627612000.0,209369000,140366000.0,,540529000,,-2996000.0,,0.64,136580000,,14485000.0,89968000.0,282884000,33136000.0,23138000.0,,843047000,731370000,220341000.0,187509000.0,224352000,21939000.0,,212481000,,140455000,178297000.0,12979000.0,90252000.0,136580000,36153125.0,46328000.0,-9247000.0,1243037000,1309630000.0,,71209000,23138000.0,94046000.0,,-79975000.0,-44881000.0,-5074000.0,-85208000.0,35596923.0,,40298000.0,,366000.0,809987000.0,-7514000.0,182375000.0,,,36078000,-466583000.0,-3581000.0,,
