date,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualBasicAverageShares,annualCashDividendsPaid,annualPretaxIncome,annualInvestingCashFlow,annualTotalAssets,annualNonCurrentDeferredRevenue,annualOtherNonCashItems,annualStockholdersEquity,annualSaleOfInvestment,annualDepreciationAndAmortization,annualGoodwill,annualCommonStockIssuance,annualStockBasedCompensation,annualRetainedEarnings,annualBasicEPS,annualTotalRevenue,annualOperatingCashFlow,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,annualCurrentLiabilities,annualOperatingIncome,annualEbitda,annualOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualInvestmentsAndAdvances,annualDilutedEPS,annualBeginningCashPosition,annualInterestExpense,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGrossPPE,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualRepaymentOfDebt,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualResearchAndDevelopment,annualCurrentDebt,annualTaxProvision,annualGrossProfit,annualInventory,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,annualNetIncome,annualOperatingExpense,annualCurrentDeferredRevenue,annualChangesInAccountReceivables,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,annualIncomeTaxPayable,annualDeferredIncomeTax
1993-03-31,,37800000,650000000,260905451,,533200000,-484200000,3069500000,,,1404500000,,116300000,,100000,,1364400000,1.458459,1391800000,408400000,224800000,768600000,199400000,,,510800000,260905451,,,2433300000,896400000,592200000,749300000,,510800000,-103000000.0,,1.458459,75100000,99800000,,,,,-510800000,636200000,381300000,,,124300000,,-382300000,,40000000,,,7900000.0,300000000,151900000,,4900000,2433300000,21300000,381300000,,-1500000.0,1665000000,,26100000,381300000,799600000,,,,,,
1994-03-31,-12600000.0,48600000,650000000,260905451,,579500000,-419300000,3310100000,,,1696800000,,129600000,,1600000,,1655100000,1.685331,1425000000,455100000,261900000,804200000,99600000,,121300000.0,491700000,260905451,,,2652300000,809100000,633600000,790100000,,370400000,-65900000.0,,1.685331,199400000,81000000,,,,,-370400000,645600000,439800000,,,-99800000,,-343700000,-150000000.0,40100000,,,8000000.0,163000000,139700000,,8100000,2664500000,39200000,439800000,,-700000.0,1613300000,,111400000,439800000,791400000,,,,,,
1995-03-31,,46000000,350000000,260905451,,610600000,-132000000,3190400000,,,1972200000,,144600000,,2600000,,1927900000,1.672367,1428300000,506500000,295100000,531300000,26300000,,78200000.0,162400000,260905451,,,2871600000,686900000,664500000,807400000,,84200000,239000000.0,,1.672367,99600000,52200000,,,,,-84200000,308400000,434800000,,,-73300000,,-377300000,-450400000.0,40100000,,,8300000.0,11500000,175800000,,8400000,2882000000,82800000,434800000,,-300000.0,1218200000,,129200000,434800000,763800000,,,,,,
1996-03-31,,64000000,1095800000,260967160,,616500000,-178800000,3194900000,,,1102200000,,147400000,,178700000,,764000000,1.62051,1487000000,-952300000,314100000,1281700000,-158800000,,100000.0,60600000,260967160,,,2798800000,811000000,703600000,820600000,,60500000,101900000.0,,1.62051,-94800000,56700000,-1418700000.0,,4217500000.0,,-60500000,385800000,422300000,,,-64000000,,-285300000,-150000000.0,170500000,,,8400000.0,219300000,194200000,,7600000,2809100000,69100000,422300000,,100000.0,2092700000,,-1237600000,422300000,783400000,,,,,,
1997-03-31,,70600000,804000000,263435518,,591400000,-500100000,3347300000,,,1388900000,,161700000,,7000000,,1032800000,1.575136,1457500000,694700000,354500000,984700000,-43100000,,100000.0,195000000,263435518,,,2970200000,973700000,730300000,831700000,,194900000,-221000000.0,,1.575136,-21700000,78600000,-1500900000.0,,4471100000.0,,-194900000,368200000,415200000,,,-21400000,,-285000000,-589900000.0,171600000,,,7900000.0,238000000,176200000,,9100000,2979100000,27000000,415200000,,-1500000.0,1958400000,,409700000,415200000,727200000,,,,,,
1998-03-31,,70000000,1320500000,306421248,,572600000,88400000,3422300000,,,929400000,,159600000,,5800000,,523200000,1.432531,1609400000,-508600000,357400000,1395700000,-144800000,,,50000000,310577528,,115300000.0,2711400000,1097200000,457200000,829000000,,50000000,217000000.0,,1.421512,-228500000,96800000,-1549500000.0,,4260900000.0,,-50000000,384000000,439100000,,,83700000,,-291400000,-209300000.0,173500000,,,7800000.0,194800000,133500000,,12500000,3038300000,-66900000,439100000,-45300000.0,-3400000.0,2492900000,,-800000000,439100000,1152200000,,,,,,
1999-03-31,-13100000.0,62900000,1637300000,266183381,,1298100000,-860700000,5093900000,,,1952500000,959300000.0,131500000,,5400000,,1532100000,3.812737,1514200000,151300000,308300000,1726500000,933900000,,16600000.0,1541100000,288253407,15100000.0,899100000.0,3099400000,1414900000,-262500000,1558600000,,1524500000,-1482300000.0,,3.592347,955700000,129000000,-1664700000.0,,4764100000.0,,-1524500000,1746300000,1015000000,,,-21800000,,-317800000,-35500000.0,173900000,,,8400000.0,590600000,283100000,,12700000,3347600000,-100500000,1015000000,-12100000.0,200000.0,3141400000,,-166500000,1015000000,1776700000,,,,,,
2000-03-31,-144500000.0,246900000,3006200000,267326812,-197600000.0,1501000000,-897100000,8766800000,,,2909000000,952900000.0,149600000,,5500000,,2459600000,4.297594,1614700000,149900000,529500000,3961600000,342600000,,16600000.0,1028200000,289179041,844700000.0,457800000.0,4938300000,1861100000,-451600000,1793900000,,1011600000,618800000.0,,4.044146,316200000,138000000,-3134500000.0,,8072800000.0,-1100000.0,-1011600000,2464800000,1148400000,,-260100000.0,26400000,,-284600000,-260100000.0,174700000,,,7800000.0,669000000,352600000,,29300000,6302000000,-28600000,1148400000,-2045100000.0,-400000.0,5822700000,72100000.0,-134700000,1148400000,2066300000,,,,,,
2001-03-31,-337200000.0,379900000,3755500000,267890846,-216000000.0,624500000,-264600000,9982600000,,,3475800000,195900000.0,309700000,,7000000,,3024200000,2.870572,3799700000,83400000,648900000,4251300000,-737500000,,16600000.0,271200000,281961880,1386200000.0,159500000.0,5617300000,2213700000,715600000,790100000,495800000.0,271200000,801000000.0,960300000.0,2.727319,-735600000,329400000,-3275000000.0,,5617300000.0,0.0,-271200000,2218800000,769000000,0.0,-934000000.0,-1900000,,-483400000,-934000000.0,174700000,16600000.0,,8100000.0,2213700000,-149600000,,34100000,7763800000,94800000,774100000,-440900000.0,-7900000.0,6465000000,1172500000.0,-400000000,769000000,3084100000,,,,,,
2002-03-31,-49700000.0,707400000,8118000000,277190186,-238000000.0,-461700000,-1812100000,17416000000,,,3196600000,36500000.0,358500000,,12200000,,1416000000,-1.779645,4401000000,554400000,769800000,11152300000,-1223900000,,15400000.0,228000000,277190186,2113000000.0,-454700000.0,9121700000,2969300000,378000000,468400000,3034300000.0,212600000,-301100000.0,298300000.0,-1.779645,-1277500000,320700000,-5066000000.0,,9121700000.0,0.0,-212600000,5883000000,-493300000,0.0,-2972000000.0,53600000,,-527800000,-2972000000.0,177700000,16600000.0,,6200000.0,2969300000,25300000,,56100000,11533000000,383300000,-487000000,-933500000.0,14000000.0,14121600000,1811500000.0,26600000,-493300000,4023000000,,,,,,
