date,annualRetainedEarnings,annualNetIncome,annualNetOtherInvestingChanges,annualPurchaseOfInvestment,annualAccountsReceivable,annualCashDividendsPaid,annualGoodwill,annualPretaxIncome,annualCommonStockIssuance,annualInvestingCashFlow,annualOperatingIncome,annualAccountsPayable,annualOtherNonCashItems,annualStockholdersEquity,annualLongTermDebt,annualEndCashPosition,annualDepreciationAndAmortization,annualTaxProvision,annualTotalAssets,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualChangeInAccountPayable,annualOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualGrossPPE,annualBeginningCashPosition,annualInterestExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualStockBasedCompensation,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualTotalRevenue,annualCapitalStock,annualNetOtherFinancingCharges,annualFreeCashFlow,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,annualOperatingExpense,annualCostOfRevenue,annualEbitda,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualInventory,annualTotalNonCurrentAssets,annualDilutedAverageShares,annualCurrentAssets,annualResearchAndDevelopment,annualBasicEPS,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDebt,annualOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualBasicAverageShares,annualDeferredIncomeTax,annualOtherCurrentLiabilities,annualCurrentLiabilities
1997-12-31,200000,4900000,100000.0,-1310400000,5300000,-1900000,,,,-1055800000,4800000.0,5000000,-100000.0,135100000,,0,2600000,,1167700000,5000000.0,500000,254500000,1161800000,,,,,6500000,2000000,,500000,4900000,,0,19700000,900000,,-2579700000.0,1049800000,,4900000,,5700000,,0,6500000,,-200000,,1032600000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,300000,15500000,0.0,-1420600000,6800000,-14400000,,,,-365700000,15400000.0,5100000,,125900000,,0,8200000,,1527400000,5100000.0,100000,1054900000,1520300000,,,,,18800000,-6400000,,-400000,15500000,,500000,75800000,2100000,,-11144900000.0,346400000,,15500000,,17500000,,-100000,18800000,,-1600000,,1401500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,442518,18139280,0.0,-559695956,6857683,-17081956,,,,-74486114,18139280.0,6682687,,103272478,,71918,6125909,,1491322488,6682687.0,71918,485209842,1437792631,,,,,25381340,-37568510,,2898,18139280,,69020,69846206,2281290,,-11144874250.0,49107672,,18139280,,20420570,135813.0,8170602,25381340,,1570933,,1388050010,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,696554,16587288,0.0,-952737643,11502482,-17455969,,,,-294411186,16587288.0,8314414,,135642386,,113061,2646753,,2035028788,8314414.0,113061,658326457,1978219376,,,,,14253427,-13044259,,41143,16587288,,71918,92901697,2286626,,-13906889971.0,280198902,,16587288,,18873914,145230.0,7392859,14253427,,-2955409,,1899386402,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,4603788,92277685,0.0,-8194215283,46803644,-56105011,,,,-5259528831,92277685.0,16043004,1775608.0,667357005,,429247,36865112,,7717313899,16043004.0,429247,2934686452,7575379313,,,,,99771076,38169285,,316186,92277685,,113061,168055304,7311208,,-45033274527.0,5160073941,,92277685,,99588893,598270.0,475661496,99771076,,-26560864,,7049956894,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,509000,219507000,0.0,-11079561000,49707000,-201999000,,,,-4274095000,219507000.0,14935000,1444000.0,1080066000,,726000,106198000,,11659084000,14935000.0,726000,6805466000,11551857000,,,,,302106000,75511000,,297000,219507000,,429000,191758000,13963000,,-83668862000.0,3972286000,,219507000,,233470000,846000.0,0,302106000,,-3980000,,10579018000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,1361000,180103000,0.0,-13140073000,53743000,-191595000,,,,-1204082000,180103000.0,14989000,1728000.0,1149220000,,247000,216570000,,12990286000,14989000.0,247000,11935991000,12934679000,,,,,354919000,-47261000,,-479000,180103000,,726000,182004000,16233000,,-116217261000.0,848684000,,180103000,,196336000,961000.0,0,354919000,,-2575000,,11841066000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,4345000,248592000,2526000.0,-14397323000,81557000,-230131000,,253050000.0,,-6456924000,253050000.0,35721000,-816000.0,1700470000,,5853000,179732000,4458000.0,19560299000,35721000.0,5853000,7937873000,19428895000,,38735000.0,,,416917000,-120800000,,5606000,240847000,,247000,270116000,24029000,,-147045071000.0,6045613000,,248592000,,279939000,178290000.0,0,416917000,,-5376000,,17859829000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,-146637000,-9247000,0.0,-7416869000,71340000,-189998000,,1497000.0,,2998217000,1497000.0,27994000,-2458000.0,1504023000,,4808000,154880000,10744000.0,16063422000,27994000.0,4808000,10415086000,15943313000,,38305000.0,,,281529000,-207117000,,-1045000,-23840000,,5853000,568560000,26278000,,-248646126000.0,-3280791000,,-9247000,,118873000,178325000.0,0,281529000,,2018000,,14559399000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,-175004000,93816000,0.0,-23196076000,146089000,-95534000,,101354000.0,,-15039399000,101678000.0,83998000,70098000.0,2654507000,,91782000,65214000,7538000.0,30715980000,83998000.0,91782000,8156677000,30235374000,,34150000.0,,,221629000,-76112000,,86974000,74259000,,4808000,1055013000,40063000,,-278481088000.0,14904744000,,93816000,,147678000,290607000.0,15998000,221629000,,-10161000,,28056149000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,-121893000,414384000,0.0,-33143252000,271996000,-263671000,,423254000.0,,-21463937000,423904000.0,257608000,-10565000.0,5316404000,,103960000,66551000,8870000.0,53903514000,257608000.0,103960000,11679315000,53209872000,,32808000.0,,,525384000,-152197000,,12178000,392891000,,91782000,1926465000,62666000,,,20950731000,,414384000,,490217000,292572000.0,195757000,525384000,,78506000,,48585536000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,-884899000,346180000,0.0,-26382213000,282532000,-975068000,,372157000.0,,-2271703000,372215000.0,199985000,905230000.0,7183272000,,909353000,4133000,25977000.0,57597615000,199985000.0,909353000,24110510000,55698735000,,40297000.0,,,1109583000,252230000,,805393000,325003000,,103960000,1888912000,103622000,,,1967513000,,346180000,,1245694000,182503000.0,163933000,1109583000,,-122669000,,50414343000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,-336964000,1961471000,-316765000.0,-25150429000,318919000,-1269420000,27917000.0,1996104000.0,,-7338009000,1996104000.0,99465000,-349521000.0,9554426000,29057000.0,1504568000,2316000,34381000.0,69376190000,89460000.0,1504568000,17826070000,65047923000,,10491000.0,,-108900000.0,10817711000,1891317000,,595215000,1942970000,,909353000,1295762000,131908000,,,-2884487000,4514000.0,1961471000,0.0,2110828000,182619000.0,141775000,10817711000,,9044124000,,59821764000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,-658391000,1267280000,-35783000.0,-25463748000,345250000,-1599339000,42030000.0,1299769000.0,,-13845753000,1299769000.0,124687000,322159000.0,9864900000,1572280000.0,282626000,1600000,35434000.0,83026590000,115766000.0,282626000,11394774000,80901901000,,9290000.0,,-819000.0,10863110000,1164642000,,-1221942000,1249247000,,1504568000,1194370000,171847000,,,1760701000,4757000.0,1267280000,0.0,1471616000,183404000.0,1326138000,10863110000,,-1559000,,73161690000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,-2504006000,344461000,-16335000.0,-69122569000,409023000,-2041489000,42030000.0,402372000.0,5351846000.0,-25119687000,402372000.0,138965000,1921864000.0,15760642000,539913000.0,994198000,2300000,59051000.0,109630002000,7223000.0,994198000,44026762000,106337116000,,10807000.0,,23199000.0,2420063000,3008988000,,711572000,327607000,,282626000,480326000,237344000,-3555000.0,,23411196000,5269000.0,344461000,-3990000.0,639716000,186790000.0,455547000,2416508000,,-49497000,,93869360000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,-2792103000,1735900000,-13387000.0,0,419259000,-2149872000,55417000.0,1771812000.0,,-18693029000,1771812000.0,197694000,4556635000.0,15924444000,825541000.0,615789000,4080000,35912000.0,133452295000,10798000.0,615789000,14427000,4059708000,126972775000.0,6989000.0,-256149000.0,51172000.0,7639507000,3053242000,,-378409000,1696370000,,994198000,667172000,235559000,,-617476000.0,10675113000,5584000.0,1735900000,0.0,2169711000,922531000.0,2794000,7639507000,,40870000,-2879000.0,117527851000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,-534306000,3729698000,7465000.0,-984743000,273079000,-1640748000,94781000.0,3737911000.0,0.0,37548218000,3737911000.0,185976000,-15152395000.0,12405055000,858659000.0,552436000,2614000,8213000.0,81922460000,25055000.0,552436000,122464000,5928903000,74476749000.0,,-141149000.0,-22066000.0,-12892722000,-2748933000,,-63353000,3657730000,,615789000,624714000,232081000,,-200000.0,-24718849000,2547000.0,3729698000,-724889000.0,4012875000,922533000.0,2855000,-12892722000,,134432000,141207000.0,69517405000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,-2585436000,-842083000,0.0,-136953000,278489000,-1208984000,94781000.0,-836954000.0,0.0,-7802877000,-836954000.0,227829000,5057636000.0,13328491000,1266241000.0,1741244000,4595000,5325000.0,88355367000,47328000.0,1741244000,0,3196024000,82933606000.0,,0.0,35876000.0,6128468000,204883000,,1188808000,-914051000,,552436000,512659000,209338000,,-356000.0,2863217000,1072000.0,-842279000,0.0,-627616000,922535000.0,1474000,6128468000,,16876000,-21376000.0,75021586000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,-3324616000,466556000,0.0,-583611000,231336000,-1209250000,71815000.0,463793000.0,,11668915000,463793000.0,204931000,-4641516000.0,11895974000,4733752000.0,1769258000,19970000,-1954000.0,75190893000,53088000.0,1769258000,206633000,5357701000,67233494000.0,38536000.0,-114260000.0,-26630000.0,-3167019000,-377596000,,28014000,394588000,,1741244000,471596000,200240000,,-1654509000.0,-8473882000,1156000.0,465747000,-172100000.0,686999000,922418000.0,5105000,-3167019000,,7326000,47893000.0,63284971000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,-3136017000,1433756000,-169547000.0,-243569000,270400000,-1220931000,71815000.0,1431191000.0,,-2062149000,1431191000.0,347332000,5305658000.0,12568180000,7865015000.0,1539746000,34761000,-1595000.0,87905046000,184319000.0,1539746000,101173000,6790240000,78368118000.0,686400000.0,-102712000.0,49357000.0,6855863000,-1085893000,414399000.0,-229512000,1351496000,448620000.0,1769258000,657752000,250356000,-174167000.0,-805157000.0,-5023226000,7047000.0,1432786000,-3645000.0,1608971000,1210748000.0,-1900000,6681696000,-34221000.0,-33360000,27712000.0,75329074000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,-2961749000,1569604000,-3462000.0,-102350000,323526000,-1353172000,71815000.0,1575998000.0,1647606000.0,-14665948000,,460838000,5166897000.0,14865473000,7118985000.0,706589000,26550000,6982000.0,101760050000,207770000.0,706589000,234590000,5781474000,92881681000.0,604080000.0,-185312000.0,138423000.0,6932239000,-1126020000,393051000.0,-833157000,1459969000,441971000.0,1539746000,1008354000,224124000,-11493000.0,-1358131000.0,6900552000,1406000.0,1569016000,,1800122000,1731977000.0,-616000,6920746000,-48920000.0,27490000,-52202000.0,86888477000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,-4493660000,54408000,,0,426144000,-1540886000,100854000.0,51773000.0,1532356000.0,-908420000,,1153964000,-129958000.0,14112112000,8041429000.0,1735749000,72364000,-2375000.0,105787527000,,1735749000,26228000,3290466000,,557813000.0,-412500000.0,295640000.0,2622018000,-1979865000,,1029160000,-74904000,,706589000,1897860000,329873000,-381000.0,-5118337493000.0,-684438000,,54148000,-258334000.0,385142000,1791306000.0,-2043000,2621637000,,188898000,-19563000.0,91669726000,,,,,,,,,,,,,,,,,,,,,,,,,,,
