date,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,annualNetOtherInvestingChanges,annualRetainedEarnings,annualPretaxIncome,annualLongTermDebt,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualTaxProvision,annualCostOfRevenue,annualTotalAssets,annualEndCashPosition,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,annualOperatingIncome,annualAccountsPayable,annualRepurchaseOfCapitalStock,annualOtherNonCashItems,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualStockholdersEquity,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualCurrentAssets,annualAccountsReceivable,annualNetPPE,annualCurrentLiabilities,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualOperatingCashFlow,annualBasicAverageShares,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualBasicEPS,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualGrossPPE,annualSellingGeneralAndAdministration,annualPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualDilutedAverageShares,annualInvestingCashFlow,annualOperatingExpense,annualChangeInInventory,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,annualCapitalExpenditure,annualInterestExpense,annualChangesInAccountReceivables,annualDilutedEPS,annualCapitalStock,annualGoodwill,annualStockBasedCompensation,annualDeferredIncomeTax,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualInventory,annualGrossProfit,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualResearchAndDevelopment,annualOtherShortTermInvestments
1979-12-31,,,,,,103300000,,,,,,,,,,,15700000,,,103300000,,,,,,,,,,,,,,15700000,,,,15372000,,,,103300000,,0.2125,,,,,,,,,,,,15372000,,,,,15700000,,,,0.2125,,,,,,,,,,,,
1980-12-31,,,,,,107500000,,,,,,,,,,,14800000,,,107500000,,,,,,,,,,,,,,14800000,,,,17716000,,,,107500000,,0.16,,,,,,,,,,,,17716000,,,,,14800000,,,,0.16,,,,,,,,,,,,
1981-12-31,,,,,,118100000,,,,,,,,,,,12700000,,,118100000,,,,,,,,,,,,,,12700000,,,,20408000,,,,118100000,,0.1075,,,,,,,,,,,,20408000,,,,,12700000,,,,0.1075,,,,,,,,,,,,
1982-12-31,,,,,,157600000,,,,,,,,,,,19500000,,,157600000,,,,,,,,,,,,,,15100000,,,,21116000,,,,157600000,,0.1825,,,,,,,,,,,,21116000,,,,,19500000,,,,0.1825,,,,,,,,,,,,
1983-12-31,,,,,,163100000,,,,,,,,,,,21500000,,,163100000,,,,,,,,,,,,,,17200000,,,,22056000,,,,163100000,,0.2,,,,,,,,,,,,22056000,,,,,21500000,,,,0.2,,,,,,,,,,,,
1984-12-31,,,,,,172300000,,,,,,,,,,,23700000,,,172300000,,,,,,,,,,,,,,19600000,,,,23120000,,,,172300000,,0.22,,,,,,,,,,,,23120000,,,,,23700000,,,,0.22,,,,,,,,,,,,
1985-12-31,,,,,,174500000,,,,,,,,,,,24700000,,,174500000,,,,,,,,,,,,,,20800000,,,,23912000,,,,174500000,,0.2225,,,,,,,,,,,,23912000,,,,,24700000,,,,0.2225,,,,,,,,,,,,
1986-12-31,,,,,,172200000,,,,,,,,,,,24000000,,,172200000,,,,,,,,,,,,,,21300000,,,,23920000,,,,172200000,,0.225,,,,,,,,,,,,23920000,,,,,24000000,,,,0.225,,,,,,,,,,,,
1987-12-31,,,,,,167000000,,,,,,,,,,,21600000,,,167000000,,,,,,,,,,,,,,19200000,,,,23936000,,,,167000000,,0.2025,,,,,,,,,,,,23936000,,,,,21600000,,,,0.2025,,,,,,,,,,,,
1988-12-31,,,,,,178200000,,,,,,,,,,,25300000,,,178200000,,,,,,,,,,,,,,23000000,,,,23936000,,,,178200000,,0.48,,,,,,,,,,,,23936000,,,,,25300000,,,,0.48,,,,,,,,,,,,
