date,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualOperatingExpense,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCapitalExpenditure,annualDilutedEPS,annualCurrentAccruedExpenses,annualInterestExpense,annualChangesInAccountReceivables,annualBasicAverageShares,annualCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualChangeInAccountPayable,annualNetOtherFinancingCharges,annualDeferredIncomeTax,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualFreeCashFlow,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualDilutedAverageShares,annualTotalAssets,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualBeginningCashPosition,annualLongTermDebt,annualOtherCurrentAssets,annualCostOfRevenue,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualIncomeTaxPayable,annualOtherNonCashItems,annualPurchaseOfBusiness,annualPurchaseOfInvestment,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualChangeInInventory,annualGoodwill,annualInventory,annualRetainedEarnings,annualStockBasedCompensation,annualCapitalStock,annualAccountsReceivable,annualOperatingCashFlow,annualCurrentLiabilities,annualGrossProfit,annualRepaymentOfDebt,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualEbitda,annualOtherNonCurrentLiabilities,annualOperatingIncome,annualOtherIncomeExpense,annualTotalRevenue,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualAccountsPayable,annualGrossPPE,annualPretaxIncome,annualOtherIntangibleAssets
1995-12-31,,,,,,,,-900000,,-0.07,,,,12857143,,,,,,,,-900000,,,,,,,12857143,,-900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200000,,6200000,,6200000,,,,,-0.07,,,,,,,
1996-12-31,,-1532000,1095000,73000,2335000,,42833000,-1897000,-6202000,-0.087564,,219000,,21664154,53122000,1240000,,,0,,,-1897000,-7953000,27583000,14521000,-1678000,7078000,,21664154,67643000,-1897000,,,,25758000,,1241000,28166000,,,,-73000,,,60565000,-8829000,1240000,1095000,,5181000,-6275000,,0,3867000,-1751000,5838000,-583000,,14448000,146000,-1678000,,-2918000,1094000,27583000,-2627000,17002000,438000,42833000,-0.087564,,27583000,42760000,5400000,15980000,,
1997-12-31,,-3498000,1609000,-1000,3568000,,31827000,-909000,-14060000,-0.04197,,,,21658327,45188000,1538000,,,0,,70000,-909000,-12171000,979000,26930000,,11471000,,21658327,72118000,-909000,,,,42809000,,1819000,28051000,,280000,,839000,,-70000,60647000,-13780000,1959000,,,5876000,-7205000,,0,5596000,1889000,9933000,-281000,,26931000,210000,-1890000,,-3849000,2938000,27770000,70000,-10912000,5106000,31897000,-0.04197,,979000,31827000,4827000,30429000,,
1998-12-31,,-7687000,2584000,1162000,4587000,,10078000,-6008000,-21512000,-0.23902,,,,24728000,21383000,2907000,,,0,,129000,-6008000,-26099000,4328000,49289000,,8979000,,24728000,70672000,-6008000,,,,24871000,2132000,1679000,31719000,,7171000,,-582000,,,61693000,-14406000,2003000,,,4910000,-13178000,,0,4587000,-4587000,6072000,-1551000,,48127000,194000,-4135000,775000,-6138000,1227000,30168000,-65000,-14793000,452000,10207000,-0.23902,,4328000,10078000,5620000,55814000,,
1999-12-31,,-9815000,2212000,898000,4493000,,15898000,-5806000,-29998000,-0.2,,,,29248013,26819000,2833000,,,1000,,,-5806000,-33316000,41610000,81008000,,12925000,,29248013,107827000,-5806000,,,,10092000,,1590000,28892000,,,,207000,,,94902000,-29929000,2281000,,,4631000,-19008000,,0,4700000,-3318000,10092000,-2004000,,80110000,69000,-4216000,,-6497000,-415000,26888000,69000,5806000,70000,15898000,-0.2,,38984000,15898000,10022000,89925000,,
2000-12-31,,-10320000,2638000,330000,5147000,,7544000,-45878000,-18892000,-1.35,,,,33987958,19095000,8219000,,,0,,46000,-45878000,-18277000,,63992000,,25543000,,33987958,83087000,-45878000,7276000,,,15850000,4987000,3465000,28361000,,,,1000,,-13000,57544000,-18964000,2509000,,,4413000,-64889000,,0,3627000,615000,17324000,1570000,,63662000,1131000,-1068000,3232000,-3577000,-42747000,29931000,-59000,-8306000,0,7590000,-1.35,,10043000,7544000,9475000,73982000,,
2001-12-31,,-14394000,2138000,2003000,6450000,-340000,3331000,-8077000,-6683000,-0.22,,783000,,36162815,21070000,11497000,,,0,,513000,-8077000,-8769000,9789000,70447000,,32640000,,36162815,91517000,-8077000,1390000,,643000,7544000,5010000,0,41483000,,256000,,5991000,,,58877000,-6532000,,,,4655000,-72966000,,0,6037000,-2086000,21143000,-4187000,,68444000,,-6325000,6487000,-10637000,3343000,37296000,-105000,-4213000,4618000,3844000,-0.22,,4405000,3331000,12283000,82838000,,
2002-12-31,,-32720000,2558000,12889000,7430000,,10185000,-33658000,-9780000,-0.8,,988000,,41849413,22630000,19243000,,,-962000,,13000,-33658000,-10522000,22821000,72336000,,39474000,,41849413,94966000,-33658000,,,130000,3331000,3942000,0,44367000,,,,32916000,,-1158000,55492000,-10938000,,,,4637000,-106624000,,0,4598000,-742000,20231000,726000,,59447000,,-1832000,15301000,-6704000,-26235000,45093000,0,6854000,3111000,10198000,-0.8,,18534000,10185000,15227000,92167000,,
2003-12-31,,-38659000,5928000,7861000,9253000,,14192000,-6794000,-17513000,-0.2,1744000,1156000,,51058212,104578000,73139000,,,-3272000,,74940000,-6794000,-21339000,8350000,175313000,-5021000,95788000,,51058212,279891000,-6794000,,,,10185000,10803000,-1000,42322000,19036000,,,,,-74609000,184103000,-91235000,3325000,-1975000,,6613000,-120546000,,0,7545000,-3826000,22649000,2801000,,167452000,79489000,-3127000,43300000,-6452000,411000,45123000,-1506000,4006000,9484000,89132000,-0.2,,99067000,14192000,8782000,206111000,,
2004-12-31,,-48551000,7556000,3318000,18425000,,28345000,19902000,-17043000,0.13,,898000,,63168995,136251000,66900000,,,-180000,,69791000,19902000,-13910000,62437000,233828000,-9083000,88496000,2753000,65268137,370079000,19902000,,,,14191000,,0,73000000,33212000,5147000,,,,,280204000,-24363000,10869000,2652000,,10674000,-111976000,,0,25757000,3133000,21596000,855896000,,230510000,633000,848340000,33688000,837471000,19923000,928896000,0,14154000,1131000,98136000,0.14,,35384000,28345000,20331000,279061000,22834000,
