date,annualCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualRepaymentOfDebt,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualEbitda,annualNetPPE,annualOtherCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualGrossPPE,annualPurchaseOfBusiness,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualOtherNonCashItems,annualCurrentAssets,annualCashAndCashEquivalents,annualLongTermDebt,annualDepreciationAndAmortization,annualStockholdersEquity,annualTotalAssets,annualRetainedEarnings,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualAccountsReceivable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherShortTermInvestments,annualFreeCashFlow,annualResearchAndDevelopment,annualAccountsPayable,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualNetOtherInvestingChanges,annualOperatingIncome,annualEndCashPosition,annualBasicEPS,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualNonCurrentDeferredRevenue,annualNetIncome,annualBasicAverageShares,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCurrentDebt,annualInvestmentsAndAdvances,annualPretaxIncome,annualAccumulatedDepreciation,annualInvestingCashFlow,annualCapitalExpenditure,annualOperatingExpense,annualChangesInAccountReceivables,annualDilutedEPS,annualStockBasedCompensation,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualDilutedAverageShares,annualCapitalStock,annualTotalRevenue,annualInterestExpense,annualNetOtherFinancingCharges,annualGoodwill,annualIncomeTaxPayable,annualInventory,annualNonCurrentDeferredTaxesLiabilities,annualDeferredIncomeTax,annualChangeInInventory,annualCashDividendsPaid
2010-07-31,18835000,33148000,,-424000,0.0,-2683000,2459000,-19534000,1833000,1694000.0,1837000,4755000,,21366000,3032000,41017000,-24000.0,626000,-20710000,35660000,18835000,,1123000,-65648000,38119000,-68237000,28660000,4461000,14241000,75107000,894000,-21133000,,,,-4368000,12788000,2701000,,16035000,47000.0,0.0,-20657000,18835000,-0.361736,103767000,56000,7584000,-21133000,58421000,16537000,-21133000,15634000,,,-21077000,-2922000,-1685000,-1685000,53805000,-10712000,-0.361736,869000,-2531000,,64328000,2000,48782000,,0,,,,,,,
2011-07-31,40517000,86324000,,-1651000,0.0,32102000,14332000,-8215000,12666000,2918000.0,2580000,17596000,,18835000,9032000,75362000,-90000.0,1666000,-10951000,76840000,40517000,,2189000,-71454000,91172000,-80765000,67101000,4039000,29677000,95525000,2734000,-12528000,,,,19102000,21366000,5435000,,36131000,2167000.0,0.0,-10404000,40517000,-0.2,162626000,476000,22002000,-12528000,55285000,45253000,-12528000,32273000,,,-12052000,-4930000,-13000000,-13000000,96728000,-15436000,-0.2,4733000,21682000,,55285000,2000,118597000,,895000,,,,,,,
2012-07-31,322642000,184585000,,-1110000,,77368000,26147000,10025000,20979000,0.0,219322000,31805000,,40517000,7215000,142124000,-82000.0,5168000,1695000,381657000,322642000,,6134000,229071000,407804000,-80028000,122006000,15189000,45642000,56727000,3779000,737000,,215375000.0,,62803000,38570000,9214000,,55917000,0.0,0.0,3891000,322642000,0.0,178733000,2062000,49512000,737000,19569000,86296000,737000,70553000,,,2799000,-10826000,-14565000,-14565000,180694000,-15965000,0.0,13837000,282125000,,19569000,7000,255138000,,217448000,,,,,,,
2013-07-31,419621000,286351000,,-519000,,114519000,55907000,-8729000,32086000,856000.0,25018000,51562000,,322642000,11799000,242490000,-2776000.0,6507000,262000,529699000,310614000,,9892000,272420000,585606000,-109274000,206102000,14609000,87461000,107084000,5830000,-29246000,216201000.0,0.0,109007000.0,92077000,62482000,15544000,-16000.0,94726000,0.0,0.0,-18621000,310614000,-0.43,313186000,10590000,95285000,-29246000,68682000,153945000,-29246000,109756000,,17314000.0,-18656000,-19476000,-151565000,-22442000,304972000,-41819000,-0.43,43704000,-12028000,-345324000.0,68682000,7000,396107000,,6762000,,,,,,,
2014-07-31,772502000,438551000,47955000.0,-146103000,-110975000.0,88406000,520140000,-200858000,48744000,12790000.0,575140000,79366000,-85726000.0,310614000,32177000,407912000,-132000.0,66528000,47999000,958326000,653812000,466875000.0,19419000,468583000,1478466000,-335726000,348171000,25000000,135518000,661712000,-1100000,-226452000,308127000.0,0.0,118690000.0,52299000,104813000,14526000,-105000.0,141246000,0.0,0.0,-74174000,653812000,-3.05,1009883000,4292000,162660000,-226452000,74291000,259918000,-226452000,159628000,,201880000.0,-222160000,-30622000,-320348000,-36107000,512725000,-47949000,-3.05,99774000,343198000,-506642000.0,74291000,8000,598179000,1883000.0,-110018000,155033000.0,,,,,,
2015-07-31,788979000,676553000,52656000.0,284000,0.0,350304000,891148000,-104371000,62878000,0.0,50704000,110662000,-15128000.0,653812000,67335000,624261000,0.0,73251000,22265000,1074030000,375814000,0.0,28881000,575815000,1965178000,-500708000,1032227000,28291000,212366000,357136000,-3498000,-164982000,357548000.0,48249000.0,413165000.0,316476000,185828000,13204000,-88000.0,242119000,0.0,0.0,-133536000,375814000,-2.02,1389363000,9405000,289801000,-164982000,81619000,423853000,-164982000,251499000,487084000.0,538841000.0,-155577000,-47784000,-679006000,-33828000,810089000,-76830000,-2.02,221315000,-277998000,-987598000.0,81619000,8000,928052000,22325000.0,2455000,163522000.0,,,,,,
2016-07-31,1285600000,1008500000,44000000.0,8400000,0.0,658100000,1042100000,-138900000,117200000,0.0,39400000,195400000,0.0,375800000,79400000,914400000,,64600000,23400000,1719100000,734400000,508200000.0,42800000,789900000,2761200000,-726600000,846800000,39200000,348700000,1124500000,15100000,-225900000,770600000.0,45300000.0,551200000.0,585600000,284200000,30200000,1000000.0,422500000,0.0,0.0,-190100000,734400000,-2.59,1971300000,20800000,536900000,-225900000,87100000,703900000,-225900000,370000000,0.0,652800000.0,-205100000,-78200000,-338900000,-72500000,1198600000,-136400000,-2.59,392800000,358600000,-1037000000.0,87100000,1515500000,1378500000,23400000.0,-5900000,163500000.0,,,,,,
2017-07-31,1375000000,1285000000,53700000.0,10200000,,868500000,1462000000,-109800000,211100000,0.0,-386000000,313400000,-90700000.0,734400000,147600000,1117400000,-411000000.0,169100000,24500000,1976300000,744300000,524700000.0,59800000,759600000,3438300000,-836700000,1201300000,79900000,432100000,1477400000,5900000,-216600000,777400000.0,46400000.0,630700000.0,705100000,347400000,35500000,-3400000.0,502700000,0.0,0.0,-179800000,744300000,-2.39,2678700000,22500000,805100000,-216600000,90600000,968400000,-216600000,476600000,,789300000.0,-194100000,-102300000,-472600000,-163400000,1464800000,-82900000,-2.39,474500000,9900000,-995900000.0,90600000,1599700000,1761600000,24500000.0,-21400000,238800000.0,,,,,,
2018-07-31,3403400000,1627800000,140800000.0,28500000,,1037000000,1691000000,-4200000,273100000,,1245600000,435000000,-374100000.0,744300000,229600000,1356200000,-259100000.0,206800000,28800000,4132000000,2506900000,1369700000.0,96400000,988300000,5823000000,-984600000,2139400000,107000000,467300000,2695300000,3700000,-147900000,691800000.0,,896500000.0,925000000,400700000,49400000,-16400000.0,521400000,,,-129100000,2506900000,-1.61,4834700000,17700000,1096000000,-147900000,91700000,1268900000,-147900000,645300000,550400000.0,547500000.0,-130200000,-161900000,-520000000,-112000000,1756900000,-33000000,-1.61,496700000,1762600000,-725700000.0,91700000,1967400000,2273100000,29600000.0,-375700000,522800000.0,,,,,,
2019-07-31,2803100000,2091200000,280600000.0,63400000,-477400000.0,1055600000,2927400000,9300000,296000000,,-773900000,540200000,-773700000.0,2509200000,216000000,1605800000,-330000000.0,423100000,196400000,3664800000,961400000,1430000000.0,153800000,1586300000,6592200000,-900900000,2053300000,162400000,582400000,2952600000,32300000,-81900000,2063600000.0,,1841700000.0,924400000,539500000,73300000,-3700000.0,227500000,,,-54100000,965000000,-0.87,5005900000,7300000,1306600000,-81900000,94500000,1582100000,-81900000,808400000,,575400000.0,-74600000,-244200000,-1825900000,-131200000,2145300000,-108700000,-0.87,567700000,-1544200000,-2984600000.0,94500000,2490900000,2899600000,83900000.0,-38200000,1352300000.0,,,,,,
