date,annualNetOtherInvestingChanges,annualGoodwill,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualRetainedEarnings,annualAccountsReceivable,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsPayable,annualCostOfRevenue,annualOperatingIncome,annualInvestingCashFlow,annualLongTermDebt,annualCashDividendsPaid,annualEndCashPosition,annualFreeCashFlow,annualPretaxIncome,annualOtherNonCashItems,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualStockholdersEquity,annualInvestmentsAndAdvances,annualTaxProvision,annualCurrentAccruedExpenses,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,annualBasicAverageShares,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualBasicEPS,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualNetOtherFinancingCharges,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,annualCapitalExpenditure,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalRevenue,annualCapitalStock,annualDeferredIncomeTax,annualInterestExpense,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualInventory,annualGrossProfit,annualChangeInWorkingCapital,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,annualIncomeTaxPayable,annualChangesInAccountReceivables,annualCurrentDeferredRevenue,annualPurchaseOfBusiness
1979-12-31,,,,,233300000,,,,,,,2416700000,,,,,,,,,,,,,,,,,,,,,,196315789,,,,,,2416700000,,186500000,,0.95,,,,,,,,,,,,,196315789,233300000,,2416700000,,,,0.95,,,,,,,,,,,,,
1980-12-31,,,,,275400000,,,,,,,2994100000,,,,,,,,,,,,,,,,,,,,,,219234450,,,,,,2994100000,,229100000,,1.045,,,,,,,,,,,,,219234450,275400000,,2994100000,,,,1.045,,,,,,,,,,,,,
1981-12-31,,,,,264100000,,,,,,,3471700000,,,,,,,,,,,,,,,,,,,,,,242971429,,,,,,3471700000,,212600000,,0.875,,,,,,,,,,,,,242971429,264100000,,3471700000,,,,0.875,,,,,,,,,,,,,
1982-12-31,,,,,342800000,,,,,,,3874000000,,,,,,,,,,,,,,,,,,,,,,267500000,,,,,,3874000000,,288900000,,1.08,,,,,,,,,,,,,267500000,342800000,,3874000000,,,,1.08,,,,,,,,,,,,,
1983-12-31,,,,,389800000,,,,,,,3962900000,,,,,,,,,,,,,,,,,,,,,,292158590,,,,,,3962900000,,331600000,,1.135,,,,,,,,,,,,,292158590,389800000,,3962900000,,,,1.135,,,,,,,,,,,,,
1984-12-31,,,,,490000000,,,,,,,4196100000,,,,,,,,,,,,,,,,,,,,,,326844106,,,,,,4196100000,,429800000,,1.315,,,,,,,,,,,,,326844106,490000000,,4196100000,,,,1.315,,,,,,,,,,,,,
1985-12-31,,,,,544600000,,,,,,,4409100000,,,,,,,,,,,,,,,,,,,,,,412575758,,,,,,4409100000,,544600000,,1.32,,,,,,,,,,,,,412575758,544600000,,4409100000,,,,1.32,,,,,,,,,,,,,
1986-12-31,,,,,429800000,,,,,,,4498400000,,,,,,,,,,,,,,,,,,,,,,400423280,,,,,,4498400000,,378400000,,0.945,,,,,,,,,,,,,400423280,429800000,,4498400000,,,,0.945,,,,,,,,,,,,,
1987-12-31,,,,,520500000,,,,,,,4211100000,,,,,,,,,,,,,,,,,,,,,,408235294,,,,,,4211100000,,520500000,,1.275,,,,,,,,,,,,,408235294,520500000,,4211100000,,,,1.275,,,,,,,,,,,,,
1988-12-31,,,,,528600000,,,,,,,4394700000,,,,,,,,,,,,,,,,,,,,,,387003891,,,,,,4394700000,,497300000,,1.285,,,,,,,,,,,,,387003891,528600000,,4394700000,,,,1.285,,,,,,,,,,,,,
1989-12-31,,,,,542100000,,,,,,,4804900000,,,,,,,,,,,,,,,,,,,,,,391679389,,,,,,4804900000,,513100000,,1.31,,,,,,,,,,,,,391679389,542100000,,4804900000,,,,1.31,,,,,,,,,,,,,
1990-12-31,,,,,571300000,,,,,,,4800100000,,,,,,,,,,,,,,,,,,,,,,423671875,,,,,,4800100000,,542300000,,1.28,,,,,,,,,,,,,423671875,571300000,,4800100000,,,,1.28,,,,,,,,,,,,,
1991-12-31,,,,,544300000,,,,,,,5093200000,,,,,,,,,,,,,,,,,,,,,,424115226,,,,,,5093200000,,515300000,,1.215,,,,,,,,,,,,,424115226,544300000,,5093200000,,,,1.215,,,,,,,,,,,,,
1992-12-31,,,,,504100000,,,,,,,5356800000,,,,,,,,,,,,,,,,,,,,,,435207373,,,,,,5356800000,,472200000,,1.085,,,,,,,,,,,,,435207373,504100000,,5356800000,,,,1.085,,,,,,,,,,,,,
1993-12-31,,,,,600900000,,,,,,,5705600000,,,,,,,,,,,,,,,,,,,,,,450240000,,,,,,5705600000,,562800000,,1.25,,,,,,,,,,,,,450240000,595500000,,5705600000,,,,1.25,,,,,,,,,,,,,
1994-12-31,-62200000,,16717400000,10721200000,679000000,1510000000,605100000,,,433500000,1719700000,1476600000,-1002500000,5180700000,-528100000,67900000,233100000,991600000,718100000,62600000,,67900000,5996200000,,312600000,432200000,1231800000,,,67900000,,253500000,58400000,488941588,-120000000,2673600000,1356900000,1856900000,11098200000,2194800000,16245300000,679000000,-100000,1.39,8452000000,,-3500000,71400000,,15360500000,6400000,21700000,41200000,-232800000,991300000,-998700000,488941588,679000000,2719500000,5915800000,4486200000,138900000,538000000,1.39,3317900000,-5147100000,417200000,4196100000,-128300000,,,,,,,,
1995-12-31,-29400000,,17171400000,11041500000,662300000,1643800000,748500000,,-81300000,567800000,1853300000,1511700000,-888300000,5189800000,-528500000,76200000,715300000,1016300000,749200000,90100000,,76200000,6129900000,,354000000,413800000,1492900000,,,76200000,,,,489395860,-60000000,2866100000,1560100000,1921800000,11187400000,2260900000,16627800000,662300000,940200000,1.355,8727400000,,8400000,67900000,,15611300000,8000000,60000000,18900000,-596300000,940200000,-777600000,490384615,662300000,2799100000,6164100000,4486200000,145100000,546000000,1.355,3486900000,-5440400000,398400000,4310800000,5900000,,,,,,,,
