date,annualDepreciationAndAmortization,annualPurchaseOfBusiness,annualChangeInInventory,annualStockholdersEquity,annualStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,annualOperatingCashFlow,annualAccountsReceivable,annualCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualInventory,annualOtherIntangibleAssets,annualGrossProfit,annualCurrentLiabilities,annualEbitda,annualNetPPE,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualBasicEPS,annualOtherCurrentLiabilities,annualGoodwill,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualAccountsPayable,annualInvestingCashFlow,annualOperatingIncome,annualEndCashPosition,annualPretaxIncome,annualIncomeTaxPayable,annualNonCurrentDeferredRevenue,annualOtherIncomeExpense,annualGrossPPE,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,annualTaxProvision,annualCurrentAccruedExpenses,annualCurrentDeferredRevenue,annualCapitalExpenditure,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualChangeInAccountPayable,annualDeferredIncomeTax,annualInterestExpense,annualChangesInAccountReceivables,annualCommonStockIssuance,annualOtherShortTermInvestments,annualDilutedEPS,annualBasicAverageShares,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualChangeInWorkingCapital,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualRetainedEarnings,annualCostOfRevenue,annualOtherCurrentAssets,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,annualFreeCashFlow,annualCurrentDebt,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherNonCashItems
1998-12-31,1149118682327.0,,168977673094.0,8005522903251.0,,,-247121033739.0,3845710923051.0,,,1903290244161.0,,1534195062528.0,234665099561.0,3757344295675.0,5057226785081.0,2996122205061.0,10867567552679.0,2099764979497.0,-264982373315.0,2481.423028,1109165685907.0,,,556639247181.0,-458401879513.0,,1105522912704.0,-2973443004152.0,1847003522734.0,0.0,1241128082906.0,,,64159811898.0,22448413600268.0,1903290244161.0,25616921234.0,,312573442580.0,,,-2265804932266.0,374202476,928554640326.0,1910340772941.0,,6894829602775.0,13264277302627.0,,,659694476182.0,,216803759985.0,,2481.423028,374202476,-11580846047589.0,-17508813137.0,6836545231527.0,1263924792628.0,2133842535267.0,928554640326.0,20072620419034.0,11952056387856.0,928554640326.0,3581198584988.0,9506933006952.0,1040775556741.0,1346650996980.0,4795064623278.0,-89776733132.0,1579905990785.0,2842538186470.0,761222090614.0,13236075187507.0,-21034077527.0
1999-12-31,1373612682507.0,,-59909399707.0,9059456388585.0,,,-2259569646416.0,3007361265065.0,,480860701618.0,1723103055845.0,7738618337956.0,1671121175948.0,401496035794.43,4056398636494.0,4510305770758.0,3382106451512.0,10777916182827.0,2218573043970.0,523103057177.0,4049.944786,1180860700841.0,,85730464231.0,373499433334.0,-7542468847800.0,,870894676270.0,-374292185315.0,2008493769005.0,516421290480.0,2245866362173.0,,,491619478503.0,23705096236428.0,516421290480.0,-163533408652.0,,696262739884.0,,,-1168629670277.0,382623395,1549603622289.0,2047904867489.0,,5946998860896.0,12661947890815.0,,,438165344927.0,,,1206681765365.0,4049.944786,382623395,-12927180053601.0,-377010192107.0,5963873153063.0,233861834395.0,2494426950798.57,1549603622289.0,19637712322483.0,10457304631654.0,1549603622289.0,5177123437062.0,8605549254321.0,571574178301.0,142921857146.0,3728425816926.0,-118346545735.0,1838731594788.0,2458550393647.0,674292184982.0,13673839169420.0,282672706368.0
2000-12-31,1227825534225.0,,-230256636592.5,9378072037237.5,,,-890706698152.5,2050003787542.5,1927745886457.5,481345131540.0,2269044242115.0,11366466469687.5,1907452586887.5,534141591585.0,4209261683535.0,5335109974020.0,3776212379940.0,10432010087700.0,1079753473912.5,-318007584540.0,4779.787283,854975977635.0,,-68897597805.0,361340074950.0,-11017041691800.0,,1297744623810.0,-797957014440.0,2548386845715.0,878241464302.5,2317307200275.0,,,1299857139607.5,24159950634922.5,878241464302.5,33482932912.5,,687221237220.0,400045511010.0,,-872353980120.0,341544819,1630085963055.0,1660874837820.0,,5230054348492.5,13746013872082.5,,,462597976087.5,,,1390802777812.5,4779.787283,341037345,-13727940547222.5,-1001672563867.5,6292625774407.5,-444877369305.0,2727723128452.5,1630085963055.0,20102509431412.5,10565164322512.5,1630085963055.0,6581011361550.0,9536752188547.5,188383058947.5,516901389352.5,4150300874580.0,-239206067670.0,1177649807422.5,2782343861565.0,716528443215.0,13809883657005.0,-16658659882.5
2001-12-31,1307741133295.95,,173829172567.8,10186961917205.1,,,-824159003333.25,1910295668280.75,1586381081416.2,482608411169.25,1362316691905.35,12704031568575.6,1737992119895.4,,2442403422541.05,3620462558147.4,2895712227856.65,10605289119281.25,1200683314374.0,-593775297118.35,2592.606774,543139291738.05,,60425755732.8,-476403417724.35,-12211387677749.7,,673641263148.45,-1562540082671.85,1587971094560.7,404143233578.85,1183646520639.75,,,-89265440428.95,25357022401152.3,404143233578.85,21164257607.7,,337607096753.55,280892247731.55,,-1496599215230.4,326327707,846039423886.2,854432327980.35,,5437947450905.1,13126695170136.75,,,450738503075.4,,,958173458326.5,2592.606774,326327707,-14751733281871.05,-26533508606.4,4963052574577.35,-480155060309.1,3845272019933.4,846039423886.2,19413613713792.0,9058410009052.5,846039423886.2,6969160332448.95,10684291747595.7,276362681360.4,880546651303.2,4237264136531.1,-228833114883.9,413696453050.35,2122789755529.35,854432327980.35,14450561139214.65,
2002-12-31,1453177935448.98,,69946619193.3,11294690387618.88,,,-1178190984178.3,3197079476967.56,1739517199883.06,482378410274.9,1728099643540.56,12973182676490.66,1671360616276.34,474790035425.76,3016504150813.06,3965287068639.94,3502940686827.98,10324047446074.64,342897983276.06,-113225385489.38,3324.282324,1142268089765.84,,-288317912120.24,-139722419881.32,-13407890861396.24,,689709371058.5,-2145455515284.78,2049762751379.0,267366547951.8,1487517199968.74,,,-283431791125.46,26265984569954.5,267366547951.8,143935943011.56,,398284697373.48,225920521868.62,,-1688754447824.4,328872390,1089232502595.26,966741399434.06,,3536749702237.6,14354187420979.6,,-137763938268.7,331759193244.26,,,1460733095588.76,3324.282324,327659445,-15941937123879.86,-91138790004.6,5397202845140.04,328259786365.26,2828181493700.34,1089232502595.26,19075877810833.3,7502036770877.54,1089232502595.26,8219080661499.7,11337683270166.54,185489916900.16,407088967833.12,3193851718961.54,-214266903841.74,1508325029143.16,1907389085946.98,966741399434.06,13678674965693.26,-16096085403.78
2003-12-31,1645000000000.0,,-411250000000.0,13587500000000.0,,126250000000.0,-1097500000000.0,3668750000000.0,2421250000000.0,506250000000.0,2998750000000.0,13607500000000.0,2168750000000.0,497500000000.0,4550000000000.0,4375000000000.0,5067500000000.0,10326250000000.0,288750000000.0,97500000000.0,6424.673125,1016250000000.0,,-410000000000.0,342500000000.0,-14655000000000.0,,1158750000000.0,-2238750000000.0,3422500000000.0,622500000000.0,2860000000000.0,,,-380000000000.0,28401250000000.0,621250000000.0,106250000000.0,,766250000000.0,362500000000.0,,,325892066,2093750000000.0,1127500000000.0,60000000000.0,3511250000000.0,18656250000000.0,,,262500000000.0,,,2377500000000.0,6424.673125,325892066,-18075000000000.0,-276250000000.0,7993750000000.0,-527500000000.0,2918750000000.0,2093750000000.0,21781250000000.0,7886250000000.0,2093750000000.0,10356250000000.0,14106250000000.0,305000000000.0,281250000000.0,3096250000000.0,-341250000000.0,3668750000000.0,1837500000000.0,987500000000.0,13787500000000.0,-162500000000.0
2004-12-31,1514000000000.0,,-873000000000.0,15532000000000.0,,261000000000.0,-1594000000000.0,4778000000000.0,2988000000000.0,466000000000.0,3837000000000.0,11618000000000.0,2961000000000.0,479000000000.0,6388000000000.0,4825000000000.0,6652000000000.0,10085000000000.0,413000000000.0,-1089000000000.0,11395.14225,1754000000000.0,,-1112000000000.0,-102000000000.0,-11678000000000.0,,1046000000000.0,-3265000000000.0,5138000000000.0,472000000000.0,5161000000000.0,,,75000000000.0,27816000000000.0,470000000000.0,36000000000.0,,1451000000000.0,379000000000.0,,,323486947,3685000000000.0,1250000000000.0,69000000000.0,2655000000000.0,23158000000000.0,,133000000000.0,186000000000.0,,,3367000000000.0,11395.14225,323383414,-17731000000000.0,-294000000000.0,10131000000000.0,-859000000000.0,2562000000000.0,3685000000000.0,23309000000000.0,7480000000000.0,3685000000000.0,12414000000000.0,16770000000000.0,187000000000.0,574000000000.0,1981000000000.0,-507000000000.0,4778000000000.0,1646000000000.0,1102000000000.0,13178000000000.0,1000000000.0
2005-12-31,1595473169329.1,,-699043669671.17,19273785356865.73,,218291196237.56,-1560928350690.29,5437950436560.93,3012465275341.26,477292895137.23,4074191067651.07,14382009598217.73,3752417309171.56,448902768216.33,7454774660296.57,5819256522431.7,7614304989121.15,12141708808001.92,402622164622.96,-59138602998.2,12518.312436,1905268312834.98,,-1139409413801.43,169960028038.71,-14685449190607.21,,1326016788703.05,-3702684122385.24,6018831819792.05,646945138625.02,5430048967586.5,,,-600456680529.73,31391528940516.47,646442490478.55,125870890419.91,,1466734286502.89,690666533663.5,,-3405677027249.89,318046240,3969049666595.72,1435942840504.52,52140501666.73,1740198861394.33,26023157798473.26,,,147754571850.42,,921794743995.6,3427748577172.52,12518.312436,317059483,-19249820132514.55,-1281442990346.6,11517023087791.65,-680951334299.72,3068774858652.27,3969049666595.72,27215908873130.4,7559455383826.03,3969049666595.72,15986776262103.83,18568383138176.69,308528030484.56,476985110586.31,1119285500533.81,-673581493185.97,2032273409311.04,1896666334217.06,1308727890925.56,15698885785338.75,
2006-12-31,1700455064471.13,,-362597355414.36,20901148699053.15,,439095181847.52,-216235251716.22,3723780703673.58,3565912346129.43,460137495276.03,3787807138323.45,16309470366506.46,3832742825226.81,531369642669.03,5671140761628.87,4847719314648.54,5887018521995.16,13967258007789.9,457072650079.98,-253956355123.35,10042.789378,1279644278913.33,,-1400696349866.55,269508559458.27,-16021609993034.91,,1715101564914.54,-3223495066942.26,4186563457524.03,893199677940.24,4086834015797.28,,,-99293000674.23,33788564609528.19,893072826170.91,82193736998.67,,879397673191.95,211692539053.71,,-3663714173207.55,314774362,3161212622351.85,1484577304104.84,51480528540.54,3495873315028.38,24649558161633.57,,-56734675601.67,174830124546.66,,66558147584.61,2894734312152.54,10042.789378,314774362,-19821306601738.29,-811838904657.66,11672149348034.34,-1650874651244.61,3286043634125.67,3161212622351.85,29711369554049.37,8343592629676.92,3161212622351.85,17992685122327.74,18978417400004.7,323183712315.75,623691118481.97,2599705483100.88,-607109019712.14,60066530466.03,1567319253645.09,1345523813885.79,18039220206015.03,304146189087.84
2007-12-31,2127932588780.88,,-461486892364.12,24497939190512.41,,655339889029.77,-1001421350437.62,5593238775902.61,4037885776350.58,482676030985.82,2805613301828.05,10928382045640.08,4904790272570.44,571102061135.83,6708873609728.43,6628364246261.87,7062127355795.68,15590583366385.37,571275282109.98,-138959738122.31,11716.99862,2029488768347.46,,-1943313674531.81,356609551317.81,-12114648902087.55,,2248161053455.24,-4266125477208.98,4934194767014.8,1293559927835.98,4901704130241.8,,,25875468219.65,37911705136552.59,1293312736824.22,-143290262476.06,,1274947568245.96,173069288756.42,,-2975876410803.24,303811476,3560674164852.0,1774678842713.63,52846442059.6,4534972856056.09,31625629280529.48,,-20138576821.72,240049625977.07,,407220974646.08,1512300565003.83,11716.99862,303811476,-22321121770167.22,-1292093635698.04,14401678869482.87,-596316480664.94,5451867052756.46,3560674164852.0,36295292211777.48,11163337102317.96,3560674164852.0,21779620832689.65,24916755670801.05,2277954124679.45,936950376518.17,3308357684916.34,-655469102513.19,2617362365099.37,2056585210352.47,1616605808670.65,21893613342294.61,936329.59
