date,annualRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCapitalExpenditure,annualInterestExpense,annualChangesInAccountReceivables,annualDilutedAverageShares,annualCurrentAssets,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualChangeInAccountPayable,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualRetainedEarnings,annualCashDividendsPaid,annualLongTermDebt,annualBeginningCashPosition,annualTaxProvision,annualBasicAverageShares,annualCostOfRevenue,annualNetIncome,annualTotalAssets,annualCurrentDebt,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualSellingGeneralAndAdministration,annualPurchaseOfBusiness,annualOtherNonCashItems,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualStockholdersEquity,annualInvestingCashFlow,annualChangeInInventory,annualDepreciationAndAmortization,annualBasicEPS,annualPurchaseOfInvestment,annualAccountsReceivable,annualGoodwill,annualCapitalStock,annualStockBasedCompensation,annualCurrentLiabilities,annualNetPPE,annualOtherIntangibleAssets,annualInventory,annualOperatingCashFlow,annualGrossProfit,annualEbitda,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualDilutedEPS,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualPretaxIncome,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOtherIncomeExpense,annualOperatingIncome,annualGrossPPE,annualAccountsPayable,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualCurrentDeferredRevenue
1995-12-31,,,14500000,-19900000,6900000,-224400000,600000,,128387097,22200000,24300000,-1100000,,-19900000,,221000000,,,-3300000,257700000,15300000.0,-243400000,-29900000,,221000000,28100000,,128387097,2300000,-19900000,320700000,2100000,298500000,1600000,13600000,,,,,,63000000,-204900000,-13600000,900000,-0.155,,,,,,36700000,274200000,,13600000,-19000000,-2200000,-15800000,,0,,6700000.0,6900000,100000,-0.155,19500000,-21200000,,202600000,0,-2600000,-16700000,,27900000,,,,
1996-12-31,,,33200000,-2600000,57500000,-83700000,22700000,,138284000,157400000,25600000,-3500000,,-9900000,,196100000,,,-68100000,257700000,211400000.0,-135300000,-39800000,,196200000,6900000,,138284000,201200000,-9900000,522300000,11200000,364900000,1500000,13800000,,,,,8600000.0,264600000,-83100000,-52300000,19400000,-0.07,-7000000.0,,,,,61600000,339300000,,65900000,-51600000,51400000,37600000,,-100000,,9200000.0,57500000,252600000,-0.07,-1000000,50600000,,185400000,0,1900000,18200000,,41200000,,,,
1997-12-31,-1200000.0,,48500000,51600000,8600000,-175200000,7700000,,195555556,135300000,13700000,-500000,-6300000.0,44000000,,226800000,-39400000.0,,13100000,303300000,30300000.0,-89500000,4200000,,213400000,57500000,7800000.0,193406593,306400000,44000000,640900000,6100000,505600000,21800000,24400000,,200000.0,,13400000.0,,337600000,-175200000,5700000,24100000,0.2275,,,,,,76500000,491900000,,60200000,85700000,113700000,89300000,,0,,15700000.0,8600000,420100000,0.225,0,-48800000,59400000.0,40700000,0,2000000,65200000,531300000.0,54700000,,,,
1998-12-31,-18400000.0,,51300000,31700000,5200000,-194100000,17500000,,195076923,222700000,28900000,-1400000,10000000.0,31700000,,495800000,-69500000.0,,-123500000,556400000,200000.0,-245200000,35900000,,477000000,8600000,20900000.0,195076923,398300000,31700000,907500000,6900000,684800000,24900000,20600000,,,,18800000.0,,351100000,-197000000,-66500000,30700000,0.1625,,,,,,60600000,655900000,,126700000,-51100000,116500000,95900000,,0,,19200000.0,5200000,514800000,0.1625,-2900000,-3400000,52600000.0,244700000,0,5000000,65200000,725400000.0,34500000,,,,
1999-12-31,,,81700000,39400000,16600000,-126700000,22200000,,192612000,225800000,23000000,0,15100000.0,39400000,,527800000,-108600000.0,,19100000,598400000,900000.0,-11900000,75300000,,498000000,5200000,25800000.0,191656000,448300000,39400000,991600000,8000000,765800000,15900000,42400000,,,,29800000.0,,391400000,-126300000,20000000,39300000,0.205,,,,500000.0,,70600000,742800000,,106700000,114800000,170500000,128100000,,0,,25000000.0,16600000,618800000,0.205,0,11400000,65200000.0,22900000,16600000,-1300000,88800000,851400000.0,37600000,,,,
2000-12-31,-26876000.0,,98749000,53795000,10184000,-110379000,20199000,,187896000,242613000,17139000,0,20386000.0,53795000,,567503000,-153352000.0,,-19281000,644201000,495000.0,-7587000,129085000,,515476000,16615000,30690000.0,187288000,488471000,53795000,1067074000,17044000,824461000,22698000,53306000,,,,52027000.0,,418784000,-109399000,-3000,45443000,0.2875,,102986000.0,,493000.0,,76698000,807322000,,106745000,102792000,204152000,150846000,,0,,31666000.0,10184000,692623000,0.2875,0,-6431000,84485000.0,176000,10184000,-719000,105403000,960674000.0,27988000,,,,
2001-12-31,,30749000.0,58132000,3144000,78241000,-90714000,18480000,,183412000,312204000,15833000,0,-1008000.0,3144000,,638643000,-199281000.0,,17721000,756754000,2003000.0,-23341000,132229000,,553891000,10184000,1968000.0,182620000,522927000,3144000,1180098000,46033000,867894000,9116000,58132000,,,,62765000.0,,418575000,-90710000,-11623000,46794000,0.0175,,65589000.0,,495000.0,,118111000,852061000,,118368000,67373000,84057000,72719000,,21987000,-5356000.0,11101000.0,78241000,606984000,0.0175,0,68057000,5112000.0,91394000,78241000,-2333000,25925000,1051342000.0,30228000,,,,
2002-12-31,-43000.0,55420000.0,61731000,81336000,24218000,-142600000,30201000,,189852000,310903000,35455000,-17743000,25485000.0,77877000,,635854000,-255314000.0,,-53294000,749404000,5001000.0,-27578000,210106000,,543537000,78241000,48676000.0,188576000,638860000,77877000,1275696000,11913000,964793000,8322000,61731000,,,,70330000.0,,521660000,-133786000,-34836000,59443000,0.4125,,83779000.0,,499000.0,,113550000,929338000,,153204000,115022000,225633000,223345000,,21987000,-7106000.0,0.0,24218000,864493000,0.41,8813000,-54023000,130012000.0,-35259000,24218000,-3689000,163902000,1184652000.0,46217000,,,,
2003-12-31,,57990000.0,77364000,47148000,65430000,-137269000,34493000,,192508000,407935000,39388000,-4368000,28836000.0,47148000,,707289000,-319756000.0,,-2673000,860593000,15507000.0,-9663000,257254000,,591586000,24218000,28289000.0,191316000,827264000,47148000,1448439000,15988000,1040504000,8769000,63377000,,,,115703000.0,,587233000,-145344000,-31292000,69110000,0.2475,,100933000.0,,509000.0,,153304000,1001116000,,184496000,127606000,159984000,151730000,,0,-4188000.0,0.0,65430000,987248000,0.245,-8283000,41212000,75437000.0,58950000,65430000,27310000,82620000,1320872000.0,79326000,,,,
2004-12-31,-55179000.0,84546000.0,96581000,295314000,16334000,-102046000,38907000,,226108000,677519000,32056000,-1097000,107404000.0,295314000,,650820000,-397843000.0,,-242219000,884028000,27899000.0,145873000,540235000,-7452000.0,441605000,65430000,179719000.0,197148000,1541423000,295314000,1733619000,6774000,1056100000,18980000,96581000,,,,209215000.0,,847122000,-101991000,-196992000,84749000,1.4975,,214880000.0,,523000.0,,233208000,1024044000,,381488000,247919000,603490000,591658000,,0,,0.0,16334000,2144913000,1.3175,55000,-49096000,475033000.0,-195024000,16334000,7031000,506909000,1421887000.0,141888000,,,,
