date,annualSaleOfInvestment,annualIncomeTaxPayable,annualInvestingCashFlow,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualStockBasedCompensation,annualGoodwill,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualCurrentLiabilities,annualRetainedEarnings,annualInventory,annualAccountsReceivable,annualPurchaseOfInvestment,annualCapitalStock,annualOtherIntangibleAssets,annualNetPPE,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualAccountsPayable,annualChangeInAccountPayable,annualEbitda,annualEndCashPosition,annualOperatingIncome,annualCashAndCashEquivalents,annualGrossPPE,annualNetOtherInvestingChanges,annualPretaxIncome,annualInvestmentsAndAdvances,annualOtherNonCurrentLiabilities,annualOtherNonCurrentAssets,annualOperatingExpense,annualAccumulatedDepreciation,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualDilutedAverageShares,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualTaxProvision,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualDilutedEPS,annualRepaymentOfDebt,annualInterestExpense,annualBasicAverageShares,annualTotalRevenue,annualGrossProfit,annualTotalNonCurrentAssets,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualChangeInInventory,annualBeginningCashPosition,annualCashDividendsPaid,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualNetIncome,annualCostOfRevenue,annualCurrentDebt,annualCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue
2000-06-30,,,,,2942000000,,,,5818000000,,,,,,,,,,,,,0.910448,,,,,,,,6073000000,,6073000000,,,,,,,,,,,,,,,456000000,,,,,,,366000000,0.802632,,,402000000,6073000000,,,,2876000000,,,,,,,,366000000,366000000,,,,,
2001-06-30,,,,,653000000,,,,2966000000,,,,,,,,,,,,,-1.298507,,,,,,,,5966000000,,5966000000,,,,,,,,,,,,,,,456000000,,,,,,,-522000000,-1.298507,,,402000000,5966000000,,,,2313000000,,,,,,,,-522000000,-522000000,,,,,
2002-06-30,989000000.0,,-610000000.0,749000000.0,641000000,1000000.0,,,3095000000,-411000000.0,405000000.0,1603000000.0,43000000.0,347000000.0,614000000.0,-1037000000.0,0.0,6000000.0,1022000000.0,-87000000.0,843000000.0,0.38,4000000.0,,231000000.0,851000000.0,905000000.0,743000000.0,,783000000,612000000.0,378000000,612000000.0,1500000000.0,-22000000.0,239000000.0,,102000000.0,105000000.0,1215000000.0,-478000000.0,-540000000.0,498000000.0,62000000.0,1962000000.0,,428000000,,-202000000.0,-114000000.0,846000000.0,86000000.0,12000000.0,153000000,0.36,,77000000.0,401000000,6087000000,1593000000.0,1133000000.0,365000000.0,2454000000,698000000.0,36000000.0,158000000.0,-57000000.0,726000000.0,,,153000000,153000000,4494000000.0,2000000.0,,,
2003-06-30,3194000000.0,,-754000000.0,745000000.0,1316000000,,,,3517000000,9000000.0,443000000.0,1363000000.0,685000000.0,319000000.0,611000000.0,-3408000000.0,0.0,,1111000000.0,-9000000.0,1194000000.0,1.53,299000000.0,-9000000.0,445000000.0,838000000.0,882000000.0,640000000.0,,1143000000,749000000.0,700000000,749000000.0,1966000000.0,-60000000.0,660000000.0,,93000000.0,124000000.0,1027000000.0,-855000000.0,-516000000.0,357000000.0,-15000000.0,2282000000.0,,470000000,,0.0,137000000.0,708000000.0,19000000.0,11000000.0,641000000,1.36,,47000000.0,418000000,6486000000,1727000000.0,1235000000.0,366000000.0,2201000000,670000000.0,-221000000.0,158000000.0,5000000.0,612000000.0,-288000000.0,,641000000,641000000,4759000000.0,4000000.0,,,
2004-06-30,3822000000.0,,-962000000.0,739000000.0,1855000000,,,,3942000000,0.0,422000000.0,1248000000.0,1214000000.0,449000000.0,691000000.0,-4143000000.0,0.0,,1301000000.0,-47000000.0,1183000000.0,1.17,96000000.0,-9000000.0,761000000.0,839000000.0,635000000.0,740000000.0,,925000000,422000000.0,503000000,422000000.0,2540000000.0,-36000000.0,428000000.0,,100000000.0,180000000.0,956000000.0,-1239000000.0,-605000000.0,290000000.0,16000000.0,2461000000.0,,498000000,,,-327000000.0,504000000.0,-101000000.0,0.0,529000000,1.06,,45000000.0,452000000,6224000000,1459000000.0,1481000000.0,30000000.0,2087000000,666000000.0,-208000000.0,138000000.0,-130000000.0,749000000.0,-90000000.0,,529000000,529000000,4765000000.0,4000000.0,,,
2005-06-30,4465000000.0,,-1069000000.0,736000000.0,2541000000,,,,5244000000,-35000000.0,466000000.0,1780000000.0,1921000000.0,431000000.0,1094000000.0,-4796000000.0,0.0,,1529000000.0,22000000.0,1836000000.0,1.51,90000000.0,-12000000.0,1090000000.0,923000000.0,1428000000.0,1108000000.0,,1188000000,746000000.0,722000000,746000000.0,3183000000.0,-47000000.0,732000000.0,,187000000.0,213000000.0,951000000.0,-1654000000.0,-691000000.0,306000000.0,11000000.0,3502000000.0,,502000000,,0.0,324000000.0,668000000.0,25000000.0,0.0,707000000,1.41,,48000000.0,468000000,7553000000,1673000000.0,1742000000.0,737000000.0,2703000000,645000000.0,236000000.0,141000000.0,18000000.0,422000000.0,-122000000.0,,707000000,707000000,5880000000.0,4000000.0,,,
2006-06-30,3528000000.0,,-561000000.0,640000000.0,5212000000,58000000.0,,2475000000.0,9544000000,-732000000.0,612000000.0,3337000000.0,2362000000.0,891000000.0,1445000000.0,-3220000000.0,0.0,307000000.0,2106000000.0,18000000.0,1733000000.0,1.7,118000000.0,-8000000.0,823000000.0,995000000.0,1457000000.0,1692000000.0,,1490000000,910000000.0,878000000,910000000.0,4286000000.0,-130000000.0,924000000.0,,355000000.0,323000000.0,1259000000.0,-2180000000.0,-1008000000.0,447000000.0,23000000.0,4333000000.0,-399000000.0,524000000,,44000000.0,164000000.0,1315000000.0,84000000.0,0.0,840000000,1.6,,41000000.0,495000000,9206000000,2137000000.0,5211000000.0,449000000.0,4332000000,805000000.0,-76000000.0,264000000.0,-113000000.0,746000000.0,-155000000.0,,840000000,840000000,7069000000.0,330000000.0,,,
2007-06-30,997000000.0,,-402000000.0,1733000000.0,4737000000,227000000.0,,2300000000.0,9472000000,-463000000.0,851000000.0,2649000000.0,1537000000.0,794000000.0,1383000000.0,-322000000.0,0.0,188000000.0,2278000000.0,-14000000.0,1144000000.0,1.64,219000000.0,-4000000.0,156000000.0,2086000000.0,943000000.0,1301000000.0,,1494000000,988000000.0,643000000,988000000.0,5104000000.0,-48000000.0,561000000.0,,353000000.0,331000000.0,1542000000.0,-2826000000.0,-906000000.0,589000000.0,-365000000.0,3801000000.0,-1526000000.0,587000000,,-16000000.0,78000000.0,1018000000.0,-352000000.0,0.0,913000000,1.56,,141000000.0,558000000,11360000000,2185000000.0,5671000000.0,37000000.0,4735000000,904000000.0,-683000000.0,284000000.0,106000000.0,910000000.0,-212000000.0,,913000000,913000000,9175000000.0,330000000.0,,,
2008-06-30,460000000.0,,-991000000.0,1670000000.0,4586000000,98000000.0,,2352000000.0,10120000000,-1545000000.0,844000000.0,3287000000.0,1101000000.0,945000000.0,1410000000.0,-486000000.0,0.0,111000000.0,2464000000.0,-66000000.0,1141000000.0,2.46,178000000.0,-16000000.0,151000000.0,2247000000.0,2538000000.0,1652000000.0,,2308000000,990000000.0,1464000000,990000000.0,5845000000.0,14000000.0,1329000000.0,,577000000.0,305000000.0,1741000000.0,-3381000000.0,-930000000.0,659000000.0,10000000.0,4272000000.0,-1479000000.0,538000000,,6000000.0,2000000.0,1275000000.0,67000000.0,0.0,1262000000,2.36,,126000000.0,512000000,12708000000,3205000000.0,5848000000.0,1608000000.0,5534000000,1028000000.0,324000000.0,502000000.0,-151000000.0,988000000.0,-216000000.0,,1262000000,1262000000,9503000000.0,360000000.0,,,
2009-06-30,288000000.0,,-618000000.0,1956000000.0,1524000000,-1000000.0,83000000.0,31000000.0,7087000000,232000000.0,931000000.0,3194000000.0,-2117000000.0,587000000.0,1033000000.0,-283000000.0,0.0,42000000.0,2229000000.0,-2523000000.0,1541000000.0,-6.32,0.0,-6000000.0,114000000.0,2369000000.0,823000000.0,1573000000.0,-79000000.0,-1710000000,1427000000.0,-135000000,1427000000.0,6267000000.0,3000000.0,-2775000000.0,,120000000.0,119000000.0,1545000000.0,-4038000000.0,-633000000.0,537000000.0,306000000.0,4291000000.0,,488000000,372000000.0,-384000000.0,437000000.0,850000000.0,311000000.0,0.0,-3086000000,-6.32,-55000000.0,134000000.0,488000000,9805000000,1410000000.0,2796000000.0,190000000.0,5563000000,953000000.0,300000000.0,528000000.0,358000000.0,990000000.0,-132000000.0,,-3086000000,-3086000000,8395000000.0,771000000.0,,,
