date,annualGoodwill,annualPretaxIncome,annualTotalAssets,annualAccountsReceivable,annualCashDividendsPaid,annualNetIncome,annualLongTermDebt,annualSaleOfInvestment,annualOtherNonCashItems,annualCommonStockIssuance,annualStockholdersEquity,annualDepreciationAndAmortization,annualTotalRevenue,annualPurchaseOfInvestment,annualRetainedEarnings,annualInvestingCashFlow,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualOperatingIncome,annualAccountsPayable,annualOtherIncomeExpense,annualOperatingCashFlow,annualNetPPE,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualRepurchaseOfCapitalStock,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualEbitda,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualBasicEPS,annualNetOtherInvestingChanges,annualInterestExpense,annualDilutedAverageShares,annualBeginningCashPosition,annualCurrentAssets,annualChangesInAccountReceivables,annualNetIncomeCommonStockholders,annualGrossPPE,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualDilutedEPS,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCurrentDebt,annualTaxProvision,annualCapitalStock,annualCostOfRevenue,annualStockBasedCompensation,annualBasicAverageShares,annualTotalNonCurrentAssets,annualResearchAndDevelopment,annualOtherCurrentAssets,annualNetOtherFinancingCharges,annualGrossProfit,annualInventory,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInWorkingCapital,annualFreeCashFlow,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualChangeInInventory,annualCurrentDeferredRevenue,annualNonCurrentDeferredRevenue
1979-12-31,,,0,,,2600000.0,100000.0,,,,12500000,,29000000.0,,,0.0,0.0,,29000000.0,,,0.0,,,,4600000,-17100000,,,,,29000000.0,-17200000.0,,,,0.01,,,260000000.0,0.0,14300000,,2600000.0,,,,,,0.01,,,,,,,,,,,260000000.0,-14300000,,,,29000000.0,,-12500000,,,0.0,,2600000.0,,,,
1980-12-31,,5700000.0,21600000,,,3200000.0,100000.0,,,,16000000,,36100000.0,,14300000.0,0.0,0.0,,5300000.0,,500000.0,0.0,3700000.0,,200000.0,5300000,300000,,,,,5900000.0,100000.0,,3900000.0,3900000.0,0.01,,,320000000.0,0.0,17600000,,3200000.0,6100000.0,100000.0,12200000.0,,-2400000.0,0.01,,,,,,,2500000.0,,18000000.0,,320000000.0,4000000,,800000.0,,18100000.0,7500000.0,5600000,100000.0,,0.0,,3200000.0,12800000.0,,,
1981-12-31,,7000000.0,27200000,,,3900000.0,100000.0,,,,20100000,,42900000.0,,18200000.0,0.0,0.0,,6400000.0,,600000.0,0.0,4700000.0,,,6800000,300000,,,,,7200000.0,0.0,,5900000.0,5900000.0,0.015,,,260000000.0,0.0,22000000,,3900000.0,7800000.0,500000.0,14600000.0,,-3100000.0,0.015,,,,,,,3100000.0,,21100000.0,,260000000.0,5200000,,900000.0,,21800000.0,10300000.0,7100000,200000.0,,0.0,,3900000.0,15400000.0,,,
1982-12-31,,8200000.0,34800000,,,4700000.0,100000.0,,,,26300000,,55100000.0,,22900000.0,0.0,0.0,,7700000.0,,700000.0,0.0,6600000.0,,1600000.0,8200000,300000,,,,,9000000.0,0.0,,6900000.0,6900000.0,0.015,,300000.0,313333333.0,0.0,26300000,,4700000.0,10500000.0,300000.0,19900000.0,,-3900000.0,0.015,,,,,,,3500000.0,,26200000.0,,313333333.0,8500000,,1200000.0,,28900000.0,10300000.0,8500000,200000.0,,0.0,,4700000.0,21200000.0,,,
1983-12-31,,10400000.0,42800000,,,5800000.0,,,,,32400000,,70200000.0,,28700000.0,0.0,0.0,,9600000.0,,800000.0,0.0,7400000.0,,1500000.0,10000000,400000,,,,,11200000.0,100000.0,,10400000.0,10400000.0,0.02,,100000.0,290000000.0,0.0,33500000,,5800000.0,12300000.0,400000.0,25200000.0,,-4900000.0,0.02,,,,,,,4600000.0,,33800000.0,,290000000.0,9300000,,1300000.0,,36400000.0,11400000.0,10400000,300000.0,,0.0,,5800000.0,26800000.0,,,
1984-12-31,,12600000.0,56600000,,,6900000.0,3700000.0,,,,39700000,,84300000.0,,35600000.0,0.0,0.0,,11800000.0,,900000.0,0.0,10100000.0,,1400000.0,12300000,4600000,,,,,13600000.0,-100000.0,,11000000.0,11000000.0,0.02,,100000.0,345000000.0,0.0,43100000,,6900000.0,16600000.0,2000000.0,30300000.0,,-6500000.0,0.02,,,,,,,5700000.0,,40400000.0,,345000000.0,13500000,,2400000.0,,43900000.0,16400000.0,16900000,1000000.0,,0.0,,6900000.0,32100000.0,,,
1985-12-31,,15100000.0,70700000,,,8400000.0,4200000.0,,,,48500000,,101600000.0,,44000000.0,0.0,0.0,,14600000.0,,900000.0,0.0,14600000.0,,1300000.0,16700000,5500000,,,,,17600000.0,0.0,,12100000.0,12100000.0,0.025,,300000.0,336000000.0,0.0,54100000,,8400000.0,23600000.0,700000.0,36600000.0,,-9000000.0,0.025,,16600000.0,,,,100000.0,6700000.0,,47400000.0,,336000000.0,16600000,,2500000.0,,54200000.0,22200000.0,22200000,1300000.0,,0.0,,8400000.0,39600000.0,,,
1986-12-31,,18500000.0,86000000,,,10100000.0,4000000.0,,,,59700000,,121100000.0,,54100000.0,0.0,0.0,,18300000.0,,600000.0,0.0,16900000.0,,4900000.0,20800000,5500000,,,,,22100000.0,0.0,,8400000.0,8400000.0,0.03,,400000.0,336666667.0,0.0,63700000,,10100000.0,29300000.0,500000.0,42900000.0,,-12400000.0,0.03,,20400000.0,,,,400000.0,8400000.0,,56100000.0,,336666667.0,22300000,,3200000.0,,65000000.0,28200000.0,26300000,1500000.0,,0.0,,10100000.0,46700000.0,,,
1987-12-31,,22000000.0,105000000,,,12700000.0,3700000.0,,,,75200000,,148100000.0,,67400000.0,0.0,0.0,,22000000.0,,500000.0,0.0,17700000.0,,5900000.0,24500000,5300000,,,,,26200000.0,100000.0,,6000000.0,6000000.0,0.035,,500000.0,362857143.0,0.0,80900000,,12700000.0,34400000.0,500000.0,54700000.0,,-16700000.0,0.035,,17800000.0,,,,6700000.0,9300000.0,,67200000.0,,362857143.0,24100000,,4000000.0,,80900000.0,36300000.0,29800000,1500000.0,,0.0,,12700000.0,58900000.0,,,
1988-12-31,,26000000.0,124800000,,,15900000.0,3100000.0,,,,91000000,,178600000.0,,83300000.0,0.0,0.0,,26400000.0,,-400000.0,0.0,20700000.0,,4900000.0,28800000,5000000,,,,,32400000.0,-100000.0,,4600000.0,4600000.0,0.045,,,353333333.0,0.0,98800000,,15900000.0,41300000.0,400000.0,67200000.0,,-20600000.0,0.045,,25200000.0,,,,3600000.0,10100000.0,,79000000.0,,353333333.0,26000000,,5800000.0,,99600000.0,49700000.0,33800000,2000000.0,,0.0,,15900000.0,73200000.0,,,
1989-12-31,,31000000.0,152300000,,,19200000.0,2700000.0,,2800000.0,1500000.0,112000000,6300000.0,225900000.0,,102500000.0,-7100000.0,0.0,400000.0,31700000.0,11600000.0,-600000.0,21500000.0,22900000.0,,3500000.0,35500000,4800000,,,,,38000000.0,0.0,,19300000.0,19300000.0,0.05,0.0,,384000000.0,4600000.0,125100000,,19200000.0,48200000.0,800000.0,87300000.0,200000.0,-25300000.0,0.05,,20500000.0,-7100000.0,,14700000.0,3400000.0,11800000.0,,100600000.0,,384000000.0,27200000,,6900000.0,-400000.0,125300000.0,51500000.0,40300000,2100000.0,-7000000.0,14400000.0,,19200000.0,93600000.0,-1600000.0,,
1990-12-31,,38100000.0,209500000,,,23600000.0,1900000.0,,17300000.0,900000.0,147900000,7100000.0,280600000.0,-15400000.0,136100000.0,-28500000.0,0.0,-600000.0,35700000.0,20900000.0,2400000.0,48300000.0,28700000.0,,4300000.0,57700000,3900000,,,,,42800000.0,0.0,,38700000.0,38700000.0,0.065,0.0,,363076923.0,19300000.0,175600000,,23600000.0,57400000.0,900000.0,112000000.0,-1800000.0,-28700000.0,0.065,,34100000.0,-13100000.0,,19400000.0,2700000.0,14500000.0,,125800000.0,,363076923.0,33900000,,26100000.0,-100000.0,154800000.0,60100000.0,61600000,2000000.0,1800000.0,35200000.0,,23600000.0,119100000.0,-7500000.0,,
1991-12-31,,53400000.0,270300000,,,33100000.0,1400000.0,,8100000.0,1300000.0,179900000,11800000.0,364800000.0,-11700000.0,166700000.0,-28300000.0,0.0,5100000.0,51500000.0,29100000.0,1800000.0,37600000.0,36100000.0,,4200000.0,88400000,2000000,,,,,63300000.0,-100000.0,,52900000.0,52900000.0,0.09,0.0,,389411765.0,38700000.0,228700000,,33100000.0,73800000.0,1300000.0,140800000.0,-5900000.0,-37700000.0,0.085,,52100000.0,-16600000.0,,14200000.0,7200000.0,20300000.0,,160700000.0,,367777778.0,41600000,,44300000.0,-200000.0,204100000.0,78200000.0,90400000,700000.0,-10700000.0,21000000.0,,33100000.0,152600000.0,-18100000.0,,
1992-12-31,,76900000.0,340300000,,-2400000.0,47700000.0,1400000.0,,100000.0,9800000.0,232300000,11400000.0,477100000.0,-21600000.0,211600000.0,-61900000.0,0.0,-400000.0,73700000.0,38300000.0,3200000.0,50700000.0,59600000.0,,9400000.0,101400000,6600000,,,,,85100000.0,5200000.0,,43100000.0,43100000.0,0.125,-8700000.0,,381600000.0,52900000.0,269600000,,47700000.0,107500000.0,1700000.0,181700000.0,-4200000.0,-47900000.0,0.125,,61900000.0,-31600000.0,,-9800000.0,1200000.0,29200000.0,,210300000.0,,381600000.0,70700000,,70200000.0,-400000.0,266800000.0,79400000.0,108000000,,-4700000.0,19100000.0,,47700000.0,193100000.0,700000.0,,
1993-12-31,,96100000.0,454200000,,-2900000.0,60200000.0,31300000.0,,4600000.0,1400000.0,288400000,16200000.0,557300000.0,-54300000.0,268400000.0,-109100000.0,0.0,29900000.0,91900000.0,43200000.0,4100000.0,86100000.0,67700000.0,,7800000.0,129900000,35900000,,,,,108100000.0,4600000.0,,49700000.0,49700000.0,0.155,0.0,,388387097.0,43100000.0,343900000,,60200000.0,125300000.0,34800000.0,208600000.0,-2900000.0,-57600000.0,0.155,,85000000.0,-54800000.0,,6600000.0,1700000.0,35900000.0,,240600000.0,,388387097.0,110300000,,129700000.0,-200000.0,316700000.0,76600000.0,165800000,,7100000.0,31300000.0,,60200000.0,224800000.0,2300000.0,,
1994-12-31,,123200000.0,768000000,,-3400000.0,72400000.0,95300000.0,17700000.0,9400000.0,1800000.0,358300000,20900000.0,681900000.0,,336900000.0,-54100000.0,0.0,22100000.0,120500000.0,50400000.0,7100000.0,97700000.0,180700000.0,,17300000.0,179200000,130500000,,-3100000.0,,,141400000.0,35200000.0,,116800000.0,116800000.0,0.1875,-42600000.0,,386936000.0,49700000.0,540500000,,72400000.0,271200000.0,29500000.0,221400000.0,-3800000.0,-90500000.0,0.1875,,123200000.0,-29200000.0,,67100000.0,5600000.0,50800000.0,,279500000.0,,386936000.0,227500000,39600000.0,153300000.0,-1300000.0,402400000.0,115800000.0,309700000,,-3800000.0,68500000.0,,72400000.0,281900000.0,5800000.0,,
1995-12-31,,153900000.0,854900000,,-3900000.0,87000000.0,97000000.0,,4500000.0,3800000.0,454300000,28700000.0,872000000.0,-110300000.0,419500000.0,-164400000.0,0.0,5000000.0,157300000.0,49000000.0,5800000.0,111500000.0,182600000.0,,18200000.0,174400000,121200000,,,,,186000000.0,24200000.0,,69000000.0,69000000.0,0.225,-17800000.0,,387744000.0,116800000.0,623300000,,87000000.0,285500000.0,30800000.0,301400000.0,2500000.0,-102900000.0,0.225,,122300000.0,-36300000.0,,-47700000.0,3100000.0,66900000.0,,340800000.0,,387744000.0,231600000,43800000.0,257100000.0,1200000.0,531200000.0,133600000.0,295600000,,-21800000.0,75200000.0,,87000000.0,373900000.0,-1600000.0,,
