date,annualLongTermDebt,annualCashDividendsPaid,annualAccountsReceivable,annualNonCurrentDeferredRevenue,annualNetIncome,annualTotalAssets,annualPretaxIncome,annualGoodwill,annualStockholdersEquity,annualOtherNonCashItems,annualSaleOfInvestment,annualDepreciationAndAmortization,annualCommonStockIssuance,annualDilutedAverageShares,annualRetainedEarnings,annualInvestingCashFlow,annualTotalRevenue,annualPurchaseOfInvestment,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualCurrentLiabilities,annualOtherIncomeExpense,annualOtherShortTermInvestments,annualOperatingIncome,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualBasicAverageShares,annualNetPPE,annualAccountsPayable,annualEbitda,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCurrentAssets,annualBeginningCashPosition,annualInterestExpense,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGrossPPE,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualCurrentDeferredRevenue,annualCapitalStock,annualCostOfRevenue,annualTaxProvision,annualDilutedEPS,annualCurrentDebt,annualGrossProfit,annualNetOtherFinancingCharges,annualInventory,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualBasicEPS,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,annualChangeInInventory,annualOperatingExpense,annualNetIncomeContinuousOperations,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualStockBasedCompensation,annualChangeInAccountPayable
1986-12-31,,,,,,,,,,,,,,3450565281,,,4008250880,,,,,,,4008250880,,,,3450565281,,,4008250880,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311589,,,,,,,,,0.311589,,,,,,899239120,,,,
1987-12-31,4904139906,,,,382186656,15409510974,,,8497662228,,,,,3011778378,382186656,0,3881468016,,,0,1414996938,318360870,,63825786,5146002,5496851808,0,3011778378,13842207738,,1244257200,575891388,,,,,19892754,19892754,,904774680,0,,657382554,,382186656,-8858343204,,22700550942,,,,261601236,,,,2637210816,,0.126897,1153395702,1244257200,,29723922,30568788,14504736294,,,0.126897,6911848746,16820514,0,,1180431414,382186656,,,,
1988-12-31,5643886250,,,,474961875,17662296875,635508750,,9097228125,,,,,3357382368,636279375,0,4629058750,,,0,1701968125,457494375,,819345625,47436250,6863100625,0,3357382368,15786081875,,2333024375,1219214375,,,,,15412500,15412500,,1229746250,0,641331250,599032500,,474961875,-10379034375,1758052500,26165116250,,,,297975000,,,,443023750,160546875,0.141468,1403993125,4186035000,,49234375,41356875,16432550625,,,0.141468,8565068750,,0,,3366689375,474961875,,,,
1989-12-31,6844057786,-364873757,,,530334865,21917446779,716436488,,9406683032,-84247,20219280,1692437983,22578196,3341170976,530250618,-4579414179,5471674156,-71441456,752746945,0,3793979398,581472794,,942471189,82056578,8716784349,2562625246,3341170976,18915557675,383829332,2634909172,1872726563,,,,,7245242,7245242,-279278805,1612319086,1271202983,807675989,1307513440,,530334865,-11756416109,231342262,30671973784,,-1263957741,,574143305,-4347819176,,,2498007797,186101623,0.158727,2836006761,2973666359,-84247,64027720,141871948,20305127693,,,0.158727,12510763747,,-1785193930,,2031195170,530334865,,,,
1990-12-31,7056098700,-388956750,,,578910675,25154044650,711798150,,9888769275,427998375,53198775,1914426150,13062525,3421077598,578910675,-5684022750,6512580900,-251544825,987789600,0,5858360025,560885850,,1292022375,136098375,9406915350,1424399025,3421077598,21617165325,,3206448525,2259597900,,,,,19557300,19557300,-64947750,1905158325,3291391425,1140964125,1495622625,74069625,578910675,-12903293550,936488175,34520458875,,-3271834125,,2599442475,-5424377700,,,2242813650,132887475,0.169219,3258917550,4269767250,-72683100,62320650,101070375,23248886325,-1571005800,,0.169219,15265275375,91218750,-3999978675,-1240575,2977744875,578910675,,,,
1991-12-31,11170340454,,,,806430534,28770608412,994179277,,10290394296,,,,,3354861970,806430534,0,9116908619,,,0,5300670739,109227482,,2368263989,268660756,13179543377,0,3354861970,24394262165,950772186,4641794430,1771547232,,,,,51924145,51924145,,2534047698,0,1483312194,1573637793,,806430534,-14302524418,1469789503,38696786583,,,,1823172533,,,,2842977683,187748743,0.240377,2526726020,6273930936,,157939054,96974878,26236560714,,,0.240377,18480214116,237655691,0,,3905666947,806430534,,,,
1994-12-31,10985795574,-274320744,,,697626030,29483608668,887138934,,9367107474,61648776,,2815864926,59447034,3472292687,570822,-4065557376,10732676790,,204191184,0,4715805180,-518306376,,2678704554,2192690394,15400696014,3923014968,3472292687,22051832412,1653589788,5494569480,3953676264,,,,,111147198,111147198,443936424,3067842066,49498422,1273340790,2171243796,,697626030,-17048414490,3396146262,39100246902,,61648776,,1389625386,-5022010410,,,1681967796,189512904,0.200912,1672590006,9050708994,577345680,157139142,508602402,26415766602,347875236,,0.200912,20116501194,461224176,-1098995442,54798912,6372004440,697626030,,,,
1995-12-31,9902829234,-686086827,,,853377522,30866654052,1105522425,,9906962757,-3845814201,,3212605272,,3431783041,6224929656,-4003979949,11150295279,,3607863660,0,5395651353,224458098,,2497115838,2337780225,13554055890,616362873,3431783041,23045794563,3441898812,5709721110,3196305153,,,,,513648726,513648726,-381687954,3295275732,293402142,1288567302,2187803532,,853377522,-18841065780,3482064177,41886860343,,220246584,,183122868,-3732805242,,,1781236449,252144903,0.248669,1770629673,9369058830,5157856794,186008535,40633311,27571378320,396194280,,0.248669,18949707243,454921503,-3116442369,-23553282,6871942992,853377522,,,,
1996-12-31,9821054851,-622046474,3096251992,,981438605,33283584056,1329983891,,11412246839,642936694,,3222236088,,3447111714,7491473933,-5229946924,12283610054,,-579060829,296882165,6646303840,307729010,,2497907883,2068613862,12930724792,5809088100,3447111714,24333008603,4085725297,5720143971,2596895387,,,,,296882165,296882165,-1153140144,3676196638,296801818,1112645256,3205764953,,981438605,-18680838194,3559131059,43013846797,,80347,,159970877,-4156912739,,,2789406799,348545286,0.284128,2400607666,9494203255,827493753,207134566,75927915,29607387418,962476713,,0.284128,19577028632,512774554,1652175361,-29407002,6996295372,981438605,,,,
1997-12-31,11503261224,,,,1140726132,37359871731,1582089327,,11951897139,,,,,3764369885,2746179072,0,14182894908,,,0,8530355106,-223545231,,2990360646,3843996156,14512349124,0,3764369885,24896156922,6516993483,6607357029,3009087900,,,,,62636301,62636301,,4907995092,0,1140180678,3711723561,,1140726132,-20754797427,3426360210,45650954349,,,,308726964,,,,3916541538,441363195,0.303032,1704634659,10266353370,,226181592,842635521,32451876639,,,0.303032,23042704230,,0,,7275992724,1140726132,,,,
