date,annualInterestExpense,annualBeginningCashPosition,annualCurrentAssets,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualGrossPPE,annualSellingGeneralAndAdministration,annualRepaymentOfDebt,annualDilutedAverageShares,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualTaxProvision,annualCurrentDeferredRevenue,annualCostOfRevenue,annualCapitalStock,annualCurrentDebt,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,annualOtherCurrentAssets,annualInventory,annualResearchAndDevelopment,annualGrossProfit,annualBasicAverageShares,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualChangeInInventory,annualOperatingExpense,annualNetIncomeContinuousOperations,annualPretaxIncome,annualAccountsReceivable,annualTotalAssets,annualGoodwill,annualNetIncome,annualLongTermDebt,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualBasicEPS,annualOtherNonCashItems,annualSaleOfInvestment,annualCommonStockIssuance,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualTotalRevenue,annualPurchaseOfInvestment,annualRetainedEarnings,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualNetPPE,annualDilutedEPS,annualOperatingIncome,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualOtherIncomeExpense,annualOperatingCashFlow,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualEbitda,annualIncomeTaxPayable,annualOtherNonCurrentLiabilities,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualStockBasedCompensation
2002-03-31,5199900000,,,,,-3413900000,,,,13079100000,,267206408.0,,,,,-513000000,,62243800000,,,,,,,1214400000.0,14447800000,267206408.0,,60131400000,,,,,15180200000,-3500300000,-3659600000,,77562200000,,-3413900000,18542000000,,,-12.743435,,,,17430800000,,,76691600000,,,,,,-12.743435,-732400000,,,-2927200000,,,,,,,-732400000,,,,,,,,
2003-03-31,4090400000,,,,,2769300000,,,,13040900000,,333743409.0,,,,,1888400000,,74038500000,,,,,,,1536200000.0,21692000000,333743409.0,,57846400000,,,,,14609700000,2784000000,4626300000,,78762000000,,2769300000,13877400000,,,8.335931,,,,20915600000,,,95730500000,,,,,,8.335931,7082300000,,,-2456000000,,,,,,,7082300000,,,,,,,,
2004-03-31,2685466505,2759219220.0,41822127800.0,,4112798460.0,8893709750,36308027755.0,-31453363750.0,66919742875.0,16030369525,,378983136.0,-2642082555.0,20160521565.0,6759219410.0,3748373280.0,5262473135,,108121480190,3527115135.0,7757050260.0,72008680210.0,0.0,4872017585.0,15136660155.0,1279826525.0,31522778070,342645595.0,10481562320.0,75036879920,24941432855.0,4056399325.0,,-82429505.0,17310196050,8893709750,14021692640,8195228155.0,113830808010,199566170.0,8893709750,10798265155,-3032538105.0,,25.3546,,143167035.0,2303687745.0,37362257740,-25427333095.0,4125813645.0,139644258260,-16147506190.0,-1127982700.0,6507592500.0,2156182315.0,35466379125.0,23.670537,14212582020,34707160.0,,3908893895,27583515410.0,25505424205.0,,60182215440.0,14854664480.0,,18338395665,,0.0,,8099783465.0,6507592500.0,-5839479670.0,6507592500.0,
2005-03-31,2995633032,6515283504.0,72305673096.0,,903930084.0,13275108480,47170303224.0,-35550216492.0,74497812720.0,20179038252,,405832594.0,-7746724488.0,34882094256.0,5882095764.0,-1637554500.0,5104803228,,157078594452,3620087148.0,2868995484.0,87013095912.0,0.0,10323143568.0,21375544740.0,2537117772.0,41528382120,375553126.0,4275108948.0,100519645428,15087335460.0,5301309768.0,,-6052401432.0,22716156024,13275108480,18406112580,10283842260.0,159318769008,,13275108480,25659387312,-1772925672.0,,35.262539,,4982532492.0,1493449704.0,56467245972,-34620085536.0,4930130748.0,198606976572,-14707422816.0,10620086784.0,4877729004.0,9995632668.0,38947596228.0,33.441923,18812226096,895196460.0,15746724072.0,3777292380,22834059948.0,25925762844.0,,69558948348.0,30960697080.0,,23742356844,,0.0,,14052401016.0,20624453076.0,-17275108272.0,4877729004.0,
2006-03-31,3725158316,4883700376.0,90245970543.0,,686213374.0,15034311194,57276537074.0,-40794048305.0,86382678366.0,26637555518,,416749973.0,-10752161503.0,35576153104.0,5636752715.0,1443721644.0,5627840853,,189657791153,3836556591.0,9455485582.0,112271637476.0,-129221999.0,12031013700.0,26352375934.0,4669815688.0,51385796292,389570393.0,-14619909611.0,118042068121,-5070849478.0,6144728849.0,,-4611888585.0,31307371206,15034311194,20519562255,14281258855.0,202517608019,7044826911.0,15034311194,27252473996,-5155512167.0,,38.512825,,21272614594.0,672845581.0,81164783165,-9067819585.0,5855093334.0,241043587445,-873362476.0,20439355497.0,6327422020.0,4451475069.0,45588630061.0,37.075766,20078425086,2361643430.0,8078602903.0,3974690452,5681312025.0,30362713834.0,,81031105235.0,37010962886.0,,25933518420,,3613760041.0,,18046520550.0,14406024923.0,-14446128302.0,6327422020.0,
2007-03-31,5426188784,6329113510.0,114204857090.0,,829481088.0,18157859442,83401731270.0,-45720824762.0,109521745114.0,35710888924,,424949874.0,-25338055110.0,34371622584.0,2121225074.0,1339266340.0,8130642748,,264073080750,3862271316.0,38994251564.0,157454519444.0,-151207490.0,18218342438.0,34004404394.0,6031018744.0,68237780130,401339041.0,-8528102436.0,176009838574,-7806626698.0,5996457032.0,,-7586295784.0,41741907668,18157859442,26456990536,19367519362.0,271659376534,7253639306.0,18157859442,40329197690,-5694042052.0,,44.856103,1226940776.0,6696331700.0,164168132.0,91584216586,-54089079280.0,6622888062.0,332310860880,-522745894.0,32211515584.0,7668379850.0,38566550378.0,63800920352.0,43.237091,26495872462,2998228516.0,2769257174.0,5339784504,17531428412.0,45582577914.0,,121069677136.0,54940161438.0,,33118760524,,8614506716.0,,15703977890.0,10437637024.0,-35970101764.0,7668379850.0,
2008-03-31,10500000000,7636000000.0,124460000000.0,,-428000000.0,14204000000,134968000000.0,-51056000000.0,150644000000.0,43708000000,,424950095.0,-42684000000.0,48268000000.0,11628000000.0,3752000000.0,5896000000,,287752000000,3852000000.0,68980000000.0,244632000000.0,100000000.0,21452000000.0,34324000000.0,9900000000.0,77296000000,402272564.0,14604000000.0,258248000000,-7216000000.0,6116000000.0,,-968000000.0,53608000000,14204000000,21304000000,28328000000.0,369092000000,6964000000.0,14204000000,58764000000,-6760000000.0,,35.250104,1872000000.0,3600000000.0,40684000000.0,105212000000,-73984000000.0,7780000000.0,365048000000,-19964000000.0,39104000000.0,11388000000.0,43620000000.0,99588000000.0,34.199278,23688000000,3112000000.0,784000000.0,18808000000,35468000000.0,55028000000.0,,183904000000.0,74344000000.0,,31468000000,,9464000000.0,,22496000000.0,12172000000.0,-15320000000.0,11388000000.0,
2009-03-31,34222300000,11415800000.0,296819500000.0,,,-60142300000,25737700000.0,-69714900000.0,290569100000.0,250813300000,-140226200000.0,445206577.0,-89689800000.0,26973300000.0,46991300000.0,18251500000.0,841800000,,488733400000,5140500000.0,319628600000.0,485809900000.0,-32771800000.0,35603100000.0,107955700000.0,,234072900000,445206577.0,-2039300000.0,743903600000,-64495500000.0,7822900000.0,-98643700000.0,15048800000.0,233542200000,-60773900000,-59932100000,51697100000.0,782629400000,5350800000.0,-60142300000,116185900000,-6766300000.0,,-135.051438,24627400000.0,28307900000.0,41099900000.0,34545300000,-162379500000.0,28039800000.0,722806300000,-6395400000.0,-28003700000.0,22827200000.0,155436700000.0,220854200000.0,-135.051438,530700000,124370300000.0,834100000.0,-29337700000,25194300000.0,146618400000.0,5748800000.0,582158600000.0,161745000000.0,,2330000000,3837600000.0,16983600000.0,16442800000.0,,24069700000.0,-3193100000.0,23235600000.0,
2010-03-31,40396000000,22827200000.0,374319200000.0,-18698700000.0,,38028700000,37629100000.0,-91477700000.0,314528600000.0,87944900000,-337213800000.0,468862080.0,-81727300000.0,47521200000.0,73512100000.0,46418300000.0,14771600000,,618704600000,5064200000.0,218754300000.0,534861500000.0,-41469900000.0,43512100000.0,110674600000.0,,307558200000,468710500.0,35046700000.0,806957900000,46637700000.0,13634500000.0,-426000000.0,-19173300000.0,259342500000,37581100000,52352700000,70169500000.0,909180700000,3518300000.0,38028700000,204397400000,-3637700000.0,,71.235923,62751900000.0,32700300000.0,18484700000.0,100177700000,-75980800000.0,36636600000.0,926262800000,-29881800000.0,4223800000.0,63462900000.0,-5965900000.0,223050900000.0,71.136985,48215700000,155109400000.0,11058700000.0,41962900000,128365000000.0,183841700000.0,43082900000.0,549704400000.0,257253500000.0,-137100000.0,129385300000,,16948000000.0,33479700000.0,,78708700000.0,3031100000.0,67650000000.0,
2011-03-31,36853500000,63462900000.0,437821100000.0,,,73401800000,29476800000.0,-115527800000.0,348006800000.0,92249600000,-216715300000.0,523732384.0,-82098000000.0,115951200000.0,,23988800000.0,12787300000,,833973200000,6346500000.0,185990800000.0,593705800000.0,-48150800000.0,44943900000.0,139547700000.0,,398160900000,523313633.0,-27510100000.0,820267600000,59878400000.0,13963000000.0,-2176200000.0,-27569900000.0,310603900000,73748700000,86536000000,67689000000.0,1031526900000,3760800000.0,73401800000,201471300000,-10230000000.0,,121.595764,38608600000.0,135300000.0,33567600000.0,208869000000,-74988400000.0,43445700000.0,1232134100000,-1471000000.0,45136200000.0,90670900000.0,-42999200000.0,232479000000.0,121.397886,87557000000,199652600000.0,22482300000.0,-5586400000,141976400000.0,224904700000.0,33498400000.0,548823000000.0,271444600000.0,-1030800000.0,166835200000,,27296400000.0,36120300000.0,,120888400000.0,9837200000.0,98406100000.0,
