date,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,annualBasicAverageShares,annualGrossPPE,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualCapitalExpenditure,annualInvestingCashFlow,annualChangeInInventory,annualOperatingExpense,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,annualInterestExpense,annualCapitalStock,annualStockBasedCompensation,annualGoodwill,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualResearchAndDevelopment,annualGrossProfit,annualInventory,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCommonStockIssuance,annualFreeCashFlow,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualRetainedEarnings,annualPretaxIncome,annualCurrentDebt,annualEndCashPosition,annualTaxProvision,annualTotalAssets,annualCostOfRevenue,annualNetIncome,annualLongTermDebt,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualOperatingIncome,annualOtherCurrentAssets,annualAccountsPayable,annualBasicEPS,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualIncomeTaxPayable,annualOtherNonCashItems,annualStockholdersEquity,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualCurrentAssets,annualAccountsReceivable,annualNetPPE,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualOtherShortTermInvestments,annualOperatingCashFlow,annualOtherIntangibleAssets,annualCurrentLiabilities,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue
1979-12-31,,506500000,55400000,701300000.0,116600000,1080625000.0,,0.16,,0,1080625000.0,1275600000,825200000,8900000,592400000,,,,0,,779600000,172900000,,19500000.0,,,,,,,-463100000,,1098900000,340300000,955400000,,,0,3224100000,,,842700000,308700000,181100000.0,0,135800000,1908300000,2125200000,172900000,17600000.0,,,319300000,78200000.0,,0.16,,,,,,952900000,,116600000,,1083100000,,812500000,172900000,12700000,,0,,882400000,,73000000,
1980-12-31,,676000000,66100000,800600000.0,139800000,1061000000.0,,0.2,,0,1061000000.0,1723000000,1114400000,4600000,733200000,,,,0,,990500000,212200000,,44300000.0,,,,,,,-625600000,,1409200000,442700000,1249200000,,,0,4074700000,,,1008800000,379000000,170800000.0,0,166800000,2413700000,2665500000,212200000,211700000.0,,,418700000,87000000.0,,0.2,,,,,,1164500000,,139800000,,1299300000,,1097400000,212200000,17000000,,0,,971400000,,277800000,
1981-12-31,,586200000,73900000,731100000.0,150000000,1085000000.0,,0.1,,0,1085000000.0,1939000000,1113600000,-36600000,714400000,,,,0,,1047700000,108500000,,41300000.0,,,,,,,-833500000,,1300600000,372000000,1050400000,,,0,4206000000,,,1070300000,175000000,33700000.0,0,66500000,2310500000,2905400000,108500000,211700000.0,,,252900000,84300000.0,,0.1,,,,,,1260100000,,150000000,,1196900000,,1105500000,108500000,8100000,,0,,764800000,,285600000,
1982-12-31,,574200000,97900000,909200000.0,420000000,1107692308.0,,0.13,,0,1107692308.0,2083800000,1104500000,10500000,747300000,,,,0,,1085800000,144000000,,33100000.0,,,,,,,-987500000,,1321500000,360000000,1270600000,,,0,4326600000,,,1167100000,213100000,49500000.0,0,69100000,2631400000,3005100000,144000000,214000000.0,,,235700000,105200000.0,,0.13,,,,,,1360800000,,420000000,,1526900000,,1096300000,144000000,8200000,,0,,958700000,,311900000,
1983-12-31,,63300000,55000000,1193200000.0,184900000,1118461538.0,,-0.13,,0,1118461538.0,2266300000,1261600000,900000,959500000,,,,0,,1310900000,-145400000,,36000000.0,,,,,,,-1067300000,,1022800000,335600000,1510600000,,,0,4579800000,,,973900000,-323200000,37300000.0,0,-177800000,2713300000,3557000000,-145400000,225100000.0,,,-288100000,266600000.0,,-0.13,,,,,,1202700000,,184900000,,1451700000,,1199000000,-145400000,62600000,,0,,1230500000,,280100000,
1984-12-31,,948400000,90000000,1365900000.0,274400000,1128571429.0,,0.28,,0,1128571429.0,2577100000,1565000000,9600000,1026200000,,,,0,,1448800000,316000000,,48900000.0,,,,,,,-1096000000,,1974600000,489200000,1882900000,,,0,5741600000,,,1241300000,486500000,46300000.0,0,170500000,3423400000,3767000000,316000000,380700000.0,,,525800000,301100000.0,,0.28,,,,,,1540500000,,274400000,,1858400000,,1481100000,316000000,83900000,,0,,1412200000,,470700000,
1985-12-31,,424300000,137600000,1099300000.0,158800000,1187000000.0,,-0.1,,0,1187000000.0,2775600000,1545400000,17000000,944900000,,,,0,,1460800000,-118700000,,40400000.0,,,,,,,-1325600000,,1369200000,447700000,1648400000,,,0,4924500000,,,1072500000,-115000000,29600000.0,0,3700000,3076100000,3555300000,-118700000,381900000.0,,,-91600000,304100000.0,,-0.1,,,,,,1427700000,,158800000,,1530700000,,1450000000,-118700000,95400000,,0,,1128900000,,519500000,
1986-12-31,,528100000,305200000,1033700000.0,214400000,946666667.0,,0.03,,0,946666667.0,2889700000,1555300000,20900000,836700000,,,,0,,1262900000,39900000,,24100000.0,,,,,,,-1452700000,,1364800000,609500000,1609700000,,,0,4974000000,,,1039300000,98700000,79400000.0,0,58800000,3336700000,3609200000,39900000,191400000.0,,,101900000,287800000.0,,0.03,,,,,,1727000000,,214400000,,1781400000,,1437000000,28400000,118300000,,0,,1113100000,,496600000,
1987-12-31,,597500000,797500000,1183400000.0,662600000,1272105263.0,,0.19,,0,1272105263.0,3026700000,1693500000,218000000,994200000,,,,0,,1374300000,256900000,,20700000.0,,,,,,,-1507000000,,1591700000,738700000,2530700000,,,0,5594500000,,,1272400000,414700000,63300000.0,0,157800000,4256300000,4002800000,256900000,486500000.0,,,217400000,313300000.0,,0.19,,,,,,1725600000,,662600000,,2562800000,,1519700000,241700000,173800000,,0,,1246700000,,1284000000,
1988-12-31,,757800000,881500000,1176500000.0,780400000,1291923077.0,,0.26,,0,1291923077.0,3073700000,1878900000,181800000,1109200000,,,,0,,1499000000,366300000,,33400000.0,,,,,,,-1347600000,,1867000000,769700000,2704700000,,,0,6294800000,,,1209400000,516400000,22900000.0,0,150100000,4427500000,4427800000,366300000,623800000.0,,,368000000,56400000.0,,0.26,,,,,,1722800000,,780400000,,2548600000,,1726100000,335900000,152800000,,0,,1199400000,,1505300000,
