date,annualStockholdersEquity,annualCurrentLiabilities,annualIncomeTaxPayable,annualChangeInInventory,annualDepreciationAndAmortization,annualSaleOfInvestment,annualStockBasedCompensation,annualPurchaseOfBusiness,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualInventory,annualNonCurrentDeferredTaxesLiabilities,annualGrossProfit,annualEbitda,annualNetPPE,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualGrossPPE,annualOtherCurrentLiabilities,annualGoodwill,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,annualTotalRevenue,annualPurchaseOfInvestment,annualAccountsPayable,annualCapitalExpenditure,annualInvestingCashFlow,annualPretaxIncome,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOtherIncomeExpense,annualOperatingIncome,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualDilutedEPS,annualBasicAverageShares,annualCurrentAccruedExpenses,annualCurrentDebt,annualCurrentDeferredRevenue,annualOperatingExpense,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicEPS,annualInterestExpense,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCommonStockIssuance,annualRetainedEarnings,annualFreeCashFlow,annualAccountsReceivable,annualBeginningCashPosition,annualCostOfRevenue,annualOtherCurrentAssets,annualCashDividendsPaid,annualTaxProvision,annualTotalAssets,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualLongTermDebt,annualDilutedAverageShares,annualOtherNonCashItems,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualOtherShortTermInvestments,annualInvestmentsAndAdvances
1979-12-31,1035200000,706500000,,,,,,,0.0,,38100000.0,29900000,867100000,,800100000.0,372900000.0,412900000,114600000,,974100000.0,560600000.0,,,,,3095400000.0,,,,0.0,295800000.0,,0.0,11200000.0,316000000.0,165100000.0,29900000,,0.55,286000000.0,,145900000.0,,484100000.0,,337500000,0.55,31400000.0,,-561200000.0,,154500000,,1473700000,,157300000.0,1044000000,165100000.0,,947500000.0,0.0,,0.0,2295300000.0,38300000,,130700000.0,2079200000,427200000.0,605500000,222900000,286000000.0,,,,,
1980-12-31,1077700000,695500000,,,,,,,0.0,,44400000.0,20800000,888800000,,856500000.0,389700000.0,406000000,112600000,,924600000.0,606700000.0,,,,,3338300000.0,,,,0.0,293300000.0,,0.0,8800000.0,325400000.0,167800000.0,20800000,,0.56,290714286.0,,88800000.0,,531100000.0,,414200000,0.56,40900000.0,,-518600000.0,,153200000,,1583800000,,162800000.0,1109700000,167800000.0,,983000000.0,0.0,,0.0,2481800000.0,142100000,,125500000.0,2187400000,466800000.0,603600000,301600000,290714286.0,,,,,
1981-12-31,1162200000,620500000,,,,,,,0.0,,42500000.0,17600000,994400000,,853500000.0,342300000.0,438500000,94700000,,996700000.0,533800000.0,,,,,3328000000.0,,,,0.0,246900000.0,,0.0,22800000.0,277200000.0,145800000.0,17600000,,0.49,286122449.0,,86700000.0,,576300000.0,,381500000,0.49,53100000.0,,-558200000.0,,184600000,,1498600000,,140200000.0,1002000000,145800000.0,,1067500000.0,0.0,,0.0,2474500000.0,19700000,,101100000.0,2164200000,511200000.0,665600000,286800000,286122449.0,,,,,
1982-12-31,1167500000,513100000,,,,,,,0.0,,38800000.0,86200000,875900000,,683300000.0,201900000.0,436100000,111700000,,1034000000.0,474300000.0,,,,,2936000000.0,,,,0.0,120100000.0,,0.0,26000000.0,139500000.0,74100000.0,86200000,,0.255,270588235.0,,38800000.0,,543800000.0,,357600000,0.255,45400000.0,,-597900000.0,,188500000,,1374800000,,69000000.0,870700000,74100000.0,,1083100000.0,0.0,,0.0,2252700000.0,16500000,,46000000.0,2038200000,481400000.0,663400000,245900000,270588235.0,,,,,
1983-12-31,1189700000,559900000,,,,,,,0.0,,,165800000,827500000,,698100000.0,218000000.0,412900000,123400000,,1048900000.0,536800000.0,,,,,2979800000.0,,,,0.0,148500000.0,,0.0,30400000.0,153400000.0,88700000.0,165800000,,0.3,280333333.0,,23100000.0,,544700000.0,,355000000,0.3,35300000.0,,-636000000.0,,220800000,,1470900000,,84100000.0,914900000,88700000.0,,1105200000.0,0.0,,0.0,2281700000.0,38100000,,59800000.0,2104600000,480100000.0,633700000,231600000,280333333.0,,,,,
1984-12-31,1205700000,645100000,,,,,,,0.0,,,42900000,877300000,,784900000.0,269400000.0,452400000,158800000,,1126900000.0,589500000.0,,,,,3221100000.0,,,,0.0,197900000.0,,0.0,32900000.0,200500000.0,113500000.0,42900000,,0.39,291025641.0,,55600000.0,,584400000.0,,359200000,0.39,35500000.0,,-674500000.0,,242800000,,1514800000,,113500000.0,1004300000,113500000.0,,1152800000.0,0.0,,0.0,2436200000.0,44800000,,84400000.0,2210000000,515500000.0,695200000,200400000,291025641.0,,,,,
1985-12-31,1592300000,1058800000,,,,,,,0.0,,,47600000,1025600000,,962200000.0,390400000.0,588900000,183200000,,1089900000.0,1020000000.0,,,,,4038500000.0,,,,0.0,300800000.0,,0.0,225500000.0,291500000.0,180100000.0,47600000,,0.75,293733333.0,,38800000.0,,670700000.0,,1686300000,0.75,216200000.0,,-501000000.0,,1632600000,,2115900000,,220300000.0,2745100000,223600000.0,,1337600000.0,0.0,,0.0,3076300000.0,426200000,,120700000.0,4337400000,571800000.0,2221500000,1503100000,293733333.0,,,,,
1986-12-31,1811600000,1285200000,,,,,,,0.0,,761900000.0,51700000,1320700000,,1130100000.0,519900000.0,857600000,278800000,,1452600000.0,1253800000.0,,,,,5023300000.0,,,,0.0,444800000.0,,0.0,235700000.0,401200000.0,241600000.0,51700000,,0.75,324133333.0,,31400000.0,,728900000.0,,2460300000,0.75,192100000.0,,-595000000.0,,1656400000,,2281200000,,243100000.0,3745500000,245900000.0,,1502800000.0,0.0,,0.0,3893200000.0,64800000,,203200000.0,5557100000,610200000.0,3275900000,2181500000,324133333.0,,,,,
1987-12-31,2307200000,1287700000,,,,,,,0.0,,739300000.0,10500000,1210400000,,1171000000.0,566700000.0,791000000,262900000,,1423900000.0,1283800000.0,,,,,5388400000.0,,,,0.0,452600000.0,,0.0,262300000.0,396400000.0,261100000.0,10500000,,0.82,320121212.0,,3900000.0,,774600000.0,,1748700000,0.825,206100000.0,,-632900000.0,,1638900000,,2174400000,,264100000.0,3036400000,264100000.0,,1672100000.0,0.0,,0.0,4217400000.0,180300000,,191500000.0,5343600000,604300000.0,3169200000,1485800000,322073171.0,,,,,
1988-12-31,2361200000,516600000,,,,,,,0.0,,1116400000.0,2895400000,1231700000,,3211500000.0,1936100000.0,960300000,3808500000,,1829600000.0,,,,,,7285500000.0,,,,0.0,433300000.0,,0.0,-696200000.0,1731400000.0,272100000.0,2895400000,,0.775,349032258.0,,,,1480100000.0,,9676300000,0.775,601900000.0,,-869300000.0,,922100000,,9555300000,,270500000.0,10192900000,272100000.0,,1819400000.0,0.0,,0.0,4074000000.0,0,,161200000.0,12554100000,1275400000.0,2998800000,5867800000,349032258.0,,,,,
1989-12-31,2547100000,1711000000,,-89100000.0,214300000.0,597900000.0,,,649700000.0,21700000.0,1083300000.0,29300000,1320800000,350600000.0,2491000000.0,349900000.0,1011300000,2564400000,-891200000.0,2014700000.0,1207500000.0,,13300000.0,,,6432300000.0,-950900000.0,503500000.0,-240200000.0,-1438400000.0,410300000.0,802400000.0,0.0,1007800000.0,135600000.0,268700000.0,29300000,-8900000.0,0.755,354039735.0,,,,2355400000.0,,9532300000,0.755,733100000.0,50700000.0,-1003400000.0,,1277800000,-277700000.0,10418000000,,267300000.0,11243300000,268700000.0,100000000.0,1989200000.0,409500000.0,,16000000.0,3941300000.0,3079600000,-89400000.0,141600000.0,13790400000,2141100000.0,3372400000,6617300000,354039735.0,282600000.0,,,,
1990-12-31,2662400000,1759700000,,26600000.0,220000000.0,560200000.0,,,777200000.0,20600000.0,1045200000.0,66400000,1294200000,328700000.0,3767500000.0,2423900000.0,1000700000,2896400000,-786700000.0,2124400000.0,1237800000.0,,37100000.0,,,7917600000.0,-779100000.0,521900000.0,-191200000.0,-1183600000.0,459200000.0,443000000.0,0.0,-970100000.0,2203900000.0,283000000.0,66400000,11700000.0,0.795,354339623.0,,,,1563600000.0,,10469400000,0.795,774600000.0,-8500000.0,-1123700000.0,,1453500000,-248300000.0,11392100000,-98600000.0,281700000.0,12229100000,283000000.0,,2183800000.0,586000000.0,,29300000.0,4150100000.0,3348100000,-88400000.0,176200000.0,14891500000,1343600000.0,3499400000,7244300000,354339623.0,383800000.0,,,,
1991-12-31,2927700000,1722400000,,-64600000.0,222800000.0,1070100000.0,,,838600000.0,19300000.0,1007000000.0,50100000,1358800000,341100000.0,3884500000.0,2547700000.0,971500000,3262300000,-650000000.0,2245500000.0,1232600000.0,,-16300000.0,,,7840100000.0,-1489500000.0,489800000.0,-155600000.0,-1211400000.0,495000000.0,357600000.0,0.0,-1075500000.0,2324900000.0,299500000.0,50100000,42700000.0,0.68,432463768.0,,,,1559600000.0,,11087200000,0.69,754400000.0,3700000.0,-1274000000.0,,1642200000,-318400000.0,12116600000,,298400000.0,12809600000,299500000.0,26400000.0,2393900000.0,683000000.0,,66400000.0,3955600000.0,3766300000,-89400000.0,195500000.0,15737300000,1336800000.0,3620700000,7483800000,438823529.0,453100000.0,,,,
1992-12-31,2487800000,2560800000,,54800000.0,396200000.0,1507200000.0,,,1041500000.0,18100000.0,1365800000.0,31100000,1648100000,,4228000000.0,2781200000.0,1183800000,4595100000,-1560000000.0,2567800000.0,2072300000.0,,-19000000.0,,,8347500000.0,-1863400000.0,488500000.0,-217100000.0,-2133300000.0,527000000.0,1073300000.0,0.0,-1116000000.0,2385000000.0,324100000.0,31100000,54300000.0,0.71,352714286.0,,,,1843000000.0,,13318200000,0.725,742000000.0,,-1384000000.0,,2255600000,-208100000.0,13561600000,,-356500000.0,15879000000,-355400000.0,33700000.0,1940400000.0,824400000.0,,50100000.0,4119500000.0,4152100000,-98100000.0,202900000.0,18366800000,1446800000.0,4805200000,8723100000,352714286.0,333300000.0,,,,
1993-12-31,2780200000,2881900000,,175900000.0,280800000.0,1188400000.0,,,1299400000.0,16600000.0,1437400000.0,26200000,1487700000,,4148500000.0,2707300000.0,1269000000,5124200000,-694600000.0,2797000000.0,2267800000.0,,-4900000.0,,,9078300000.0,-1744500000.0,614100000.0,-251800000.0,-1502500000.0,613500000.0,197000000.0,0.0,-1145200000.0,2426500000.0,379100000.0,26200000,88400000.0,0.83,447573964.0,,,,1722000000.0,,13996300000,0.845,667800000.0,,-1528000000.0,,2433100000,-68800000.0,14518900000,,378200000.0,16878200000,379100000.0,19500000.0,2209400000.0,1047600000.0,,31100000.0,4929800000.0,4764200000,-110100000.0,234400000.0,19658400000,1441200000.0,5139500000,8872100000,455662651.0,513600000.0,,,,
1994-12-31,2882000000,3043000000,,64000000.0,398000000.0,1374000000.0,,,1263000000.0,16000000.0,1512000000.0,49000000,1211000000,,4567000000.0,3078000000.0,1253000000,5636000000,-1224000000.0,2703000000.0,2424000000.0,,23000000.0,,,9683000000.0,-1954000000.0,619000000.0,-302000000.0,-1614000000.0,741000000.0,367000000.0,0.0,-1261000000.0,2680000000.0,433000000.0,49000000,-79000000.0,1.2,360000000.0,,,,1887000000.0,,15000000000,1.2,665000000.0,92000000.0,-1450000000.0,,2321000000,-31000000.0,15839000000,-166000000.0,432000000.0,18043000000,433000000.0,12000000.0,2518000000.0,961000000.0,,26000000.0,5116000000.0,5294000000,124000000.0,308000000.0,20925000000,1489000000.0,5086000000,9364000000,362711864.0,171000000.0,,,,
1995-12-31,3412000000,4153000000,,-28000000.0,415000000.0,1317000000.0,,,1284000000.0,15000000.0,1607000000.0,99000000,1284000000,,5094000000.0,3542000000.0,1408000000,5358000000,-768000000.0,3060000000.0,3469000000.0,,50000000.0,,,9973000000.0,-1766000000.0,684000000.0,-283000000.0,-1500000000.0,800000000.0,266000000.0,0.0,-1501000000.0,3127000000.0,479000000.0,99000000,57000000.0,1.3775,347731397.0,,,,1967000000.0,,15607000000,1.3775,813000000.0,92000000.0,-1652000000.0,,2709000000,-238000000.0,17448000000,-100000000.0,479000000.0,19760000000,479000000.0,42000000.0,2864000000.0,1001000000.0,,49000000.0,4879000000.0,5926000000,-133000000.0,321000000.0,23172000000,1552000000.0,5724000000,10249000000,347731397.0,408000000.0,,,,
1996-12-31,3183000000,1667000000,,-33000000.0,387000000.0,254000000.0,,,1564000000.0,14000000.0,1609000000.0,47000000,1192000000,,3824000000.0,2450000000.0,1539000000,3039000000,-1382000000.0,3203000000.0,817000000.0,,-37000000.0,,,9274000000.0,-293000000.0,850000000.0,-343000000.0,-1584000000.0,804000000.0,-17000000.0,0.0,-528000000.0,2063000000.0,482000000.0,47000000,15000000.0,0.735,344217687.0,,,,1761000000.0,,13385000000,0.735,731000000.0,11000000.0,-1664000000.0,,2290000000,-358000000.0,12797000000,-300000000.0,253000000.0,15052000000,253000000.0,42000000.0,2969000000.0,1221000000.0,,84000000.0,5450000000.0,820000000,-148000000.0,322000000.0,18235000000,1374000000.0,5438000000,10346000000,344217687.0,450000000.0,,,,
1997-12-31,3228000000,1762000000,,-89000000.0,435000000.0,492000000.0,,,1063000000.0,13000000.0,1753000000.0,87000000,1349000000,,4143000000.0,2644000000.0,1860000000,3124000000,-717000000.0,3687000000.0,799000000.0,,40000000.0,,,10544000000.0,-288000000.0,963000000.0,-412000000.0,-376000000.0,922000000.0,-647000000.0,0.0,-561000000.0,2209000000.0,558000000.0,87000000,0.0,1.645,330177515.0,,,,1934000000.0,,13620000000,1.69,726000000.0,76000000.0,-1827000000.0,,1571000000,-196000000.0,13426000000,-328000000.0,558000000.0,15382000000,558000000.0,38000000.0,3362000000.0,651000000.0,,47000000.0,6401000000.0,844000000,-202000000.0,364000000.0,18610000000,1499000000.0,5184000000,10496000000,339209726.0,-68000000.0,,,,
1998-12-31,2997000000,3919000000,,-157000000.0,361000000.0,,,,961000000.0,13000000.0,2119000000.0,53000000,1640000000,322000000.0,2472000000.0,1429000000.0,2185000000,2291000000,-328000000.0,4072000000.0,1174000000.0,,10000000.0,,,9683000000.0,,1010000000.0,-1431000000.0,-1642000000.0,737000000.0,691000000.0,0.0,10000000.0,1068000000.0,443000000.0,53000000,0.0,1.84,322015915.0,,1735000000.0,,1404000000.0,,6322000000,1.885,315000000.0,-16000000.0,-1887000000.0,,1512000000,-76000000.0,7905000000,-712000000.0,607000000.0,10241000000,608000000.0,71000000.0,3786000000.0,-470000000.0,,43000000.0,7211000000.0,1524000000,-143000000.0,294000000.0,13721000000,1043000000.0,5816000000,3709000000,329891304.0,8000000.0,,,,
1999-12-31,4377000000,3256000000,,13000000.0,440000000.0,,,,1116000000.0,36000000.0,3018000000.0,209000000,1859000000,307000000.0,2908000000.0,1702000000.0,2484000000,2311000000,-801000000.0,4553000000.0,1306000000.0,,156000000.0,-98000000.0,,11579000000.0,,1262000000.0,-2106000000.0,43000000.0,1004000000.0,-1003000000.0,209000000.0,1000000.0,1262000000.0,623000000.0,209000000,0.0,7.24,300675676.0,,688000000.0,,1646000000.0,,8248000000,7.4,260000000.0,63000000.0,-2069000000.0,,1652000000,-33000000.0,9239000000,-751000000.0,2225000000.0,11504000000,2226000000.0,50000000.0,5817000000.0,-990000000.0,,53000000.0,8671000000.0,321000000,-192000000.0,381000000.0,16393000000,1206000000.0,7154000000,5630000000,307320442.0,-10000000.0,,,,
2000-12-31,3994000000,3263000000,,5000000.0,494000000.0,,,,1023000000.0,36000000.0,2557000000.0,289000000,1871000000,315000000.0,3556000000.0,2074000000.0,2568000000,2150000000,-176000000.0,4862000000.0,1448000000.0,,80000000.0,-172000000.0,,13090000000.0,-134000000.0,1200000000.0,-527000000.0,-922000000.0,585000000.0,-21000000.0,289000000.0,-483000000.0,1580000000.0,277000000.0,289000000,0.0,0.745,288741722.0,,615000000.0,,1976000000.0,,8601000000,0.755,492000000.0,9000000.0,-2294000000.0,,1851000000,-270000000.0,9394000000,-353000000.0,218000000.0,11864000000,218000000.0,14000000.0,5848000000.0,496000000.0,,209000000.0,9534000000.0,443000000,-189000000.0,308000000.0,16370000000,1482000000.0,6976000000,6136000000,292617450.0,-11000000.0,,,,
2001-12-31,3934000000,3075000000,24000000.0,103000000.0,514000000.0,7777000000.0,,-596000000.0,983000000.0,36000000.0,1965000000.0,260000000,1727000000,357000000.0,2561000000.0,1366000000.0,2044000000,1591000000,-50000000.0,3973000000.0,0.0,,-29000000.0,-223000000.0,-1968000000.0,12321000000.0,-7527000000.0,994000000.0,-532000000.0,-320000000.0,419000000.0,-692000000.0,260000000.0,-437000000.0,1289000000.0,166000000.0,260000000,0.0,0.58,282100000.0,1384000000.0,673000000.0,,1272000000.0,166000000.0,9043000000,0.585,433000000.0,96000000.0,-1929000000.0,-102000000.0,2515000000,68000000.0,9528000000,-47000000.0,166000000.0,12118000000,166000000.0,,5829000000.0,451000000.0,1149000000.0,289000000.0,9760000000.0,390000000,-184000000.0,227000000.0,16052000000,1532000000.0,6524000000,5449000000,285874000.0,442000000.0,,,,
2002-12-31,3406000000,2239000000,,120000000.0,368000000.0,8890000000.0,,-2000000.0,694000000.0,36000000.0,83000000.0,307000000,1611000000,398000000.0,2437000000.0,1162000000.0,1981000000,1813000000,3000000.0,4169000000.0,0.0,1549000000.0,47000000.0,-225000000.0,-2207000000.0,10658000000.0,-9263000000.0,877000000.0,-296000000.0,-601000000.0,490000000.0,-46000000.0,307000000.0,-128000000.0,922000000.0,364000000.0,307000000,0.0,-0.45,277490000.0,1337000000.0,25000000.0,,1515000000.0,-162000000.0,9860000000,-0.45,304000000.0,330000000.0,-2188000000.0,,2405000000,-631000000.0,9487000000,-248000000.0,-124000000.0,12099000000,-124000000.0,,5526000000.0,398000000.0,1180000000.0,260000000.0,8221000000.0,563000000,-182000000.0,100000000.0,15505000000,1382000000.0,6018000000,6526000000,280504000.0,129000000.0,,,,
2003-12-31,3690000000,2256000000,,172000000.0,356000000.0,9955000000.0,,0.0,848000000.0,35000000.0,40000000.0,843000000,1439000000,390000000.0,2190000000.0,1027000000.0,1925000000,2020000000,159000000.0,4373000000.0,0.0,1589000000.0,536000000.0,-64000000.0,-1882000000.0,9859000000.0,-9824000000.0,702000000.0,-301000000.0,58000000.0,401000000.0,-748000000.0,843000000.0,-159000000.0,830000000.0,281000000.0,843000000,-8000000.0,0.945,271750000.0,1238000000.0,316000000.0,,1360000000.0,-199000000.0,9144000000,0.955,270000000.0,-41000000.0,-2448000000.0,87000000.0,2571000000,-2000000.0,8965000000,-64000000.0,259000000.0,11400000000,259000000.0,67000000.0,5606000000.0,547000000.0,1135000000.0,307000000.0,7669000000.0,532000000,-222000000.0,107000000.0,15090000000,1294000000.0,6125000000,6118000000,274434000.0,188000000.0,,,,
2004-12-31,3652000000,2975000000,,-222000000.0,353000000.0,9064000000.0,,-5000000.0,949000000.0,35000000.0,44000000.0,732000000,1742000000,453000000.0,2348000000.0,1129000000.0,1922000000,2090000000,97000000.0,4574000000.0,5000000.0,1608000000.0,-106000000.0,-97000000.0,-1666000000.0,10242000000.0,-9725000000.0,719000000.0,-302000000.0,-844000000.0,528000000.0,-276000000.0,732000000.0,-131000000.0,907000000.0,373000000.0,732000000,0.0,1.305,274674000.0,1818000000.0,433000000.0,,1441000000.0,5000000.0,9248000000,1.33,248000000.0,29000000.0,-2652000000.0,,2268000000,3000000.0,10033000000,-415000000.0,365000000.0,12223000000,365000000.0,187000000.0,5792000000.0,647000000.0,1211000000.0,838000000.0,7894000000.0,581000000,-135000000.0,155000000.0,15875000000,1383000000.0,5842000000,6141000000,280338000.0,133000000.0,,,,
2005-12-31,3276000000,3147000000,,-188000000.0,303000000.0,9219000000.0,,-29000000.0,1036000000.0,36000000.0,32000000.0,796000000,1712000000,461000000.0,2579000000.0,1332000000.0,1574000000,2021000000,62000000.0,3573000000.0,446000000.0,1148000000.0,99000000.0,-78000000.0,-1178000000.0,10043000000.0,-10116000000.0,677000000.0,-365000000.0,-1195000000.0,739000000.0,284000000.0,796000000.0,-118000000.0,1147000000.0,516000000.0,796000000,14000000.0,0.745,267062000.0,1749000000.0,275000000.0,,1432000000.0,173000000.0,10076000000,0.76,290000000.0,17000000.0,-1999000000.0,-87000000.0,2093000000,-99000000.0,11652000000,-597000000.0,203000000.0,13223000000,203000000.0,106000000.0,5808000000.0,671000000.0,891000000.0,697000000.0,7464000000.0,464000000,-189000000.0,223000000.0,16499000000,1403000000.0,4847000000,7079000000,272892000.0,186000000.0,,,,
2006-12-31,2649000000,5243000000,,-427000000.0,290000000.0,10027000000.0,30000000.0,-502000000.0,969000000.0,36000000.0,,780000000,2069000000,497000000.0,2962000000.0,1703000000.0,1773000000,579000000,54000000.0,3920000000.0,2391000000.0,1426000000.0,-16000000.0,-644000000.0,-1137000000.0,11490000000.0,-11225000000.0,814000000.0,-431000000.0,-1409000000.0,975000000.0,399000000.0,780000000.0,438000000.0,1413000000.0,706000000.0,780000000,31000000.0,2.31,255098000.0,1958000000.0,80000000.0,,1549000000.0,115000000.0,9658000000,2.355,438000000.0,37000000.0,-2147000000.0,-14000000.0,1800000000,-142000000.0,12551000000,-761000000.0,601000000.0,14901000000,601000000.0,173000000.0,6211000000.0,538000000.0,964000000.0,796000000.0,8528000000.0,448000000,-244000000.0,269000000.0,17550000000,1523000000.0,4999000000,8582000000,260444000.0,70000000.0,,,,
2007-12-31,3507000000,6411000000,,-490000000.0,336000000.0,11976000000.0,41000000.0,-1106000000.0,1049000000.0,34000000.0,,531000000,2724000000,472000000.0,3509000000.0,2120000000.0,1999000000,462000000,3000000.0,4387000000.0,2423000000.0,2301000000.0,-249000000.0,-400000000.0,-1394000000.0,13225000000.0,-11964000000.0,927000000.0,-401000000.0,-1406000000.0,1300000000.0,87000000.0,531000000.0,484000000.0,1784000000.0,915000000.0,531000000,24000000.0,3.6,249792000.0,2706000000.0,355000000.0,,1725000000.0,52000000.0,10038000000,3.67,484000000.0,-13000000.0,-2388000000.0,-42000000.0,2236000000,-322000000.0,13420000000,-304000000.0,917000000.0,16449000000,917000000.0,,2766000000.0,648000000.0,1083000000.0,780000000.0,9716000000.0,560000000,-154000000.0,385000000.0,19956000000,1692000000.0,6536000000,9104000000,254826000.0,37000000.0,,,,
