date,annualChangeInWorkingCapital,annualCommonStockIssuance,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualRetainedEarnings,annualFreeCashFlow,annualCostOfRevenue,annualNetIncome,annualTotalRevenue,annualPretaxIncome,annualLongTermDebt,annualEndCashPosition,annualNonCurrentDeferredRevenue,annualCashDividendsPaid,annualCurrentDebt,annualTotalAssets,annualDilutedEPS,annualTaxProvision,annualOperatingIncome,annualAccountsPayable,annualOtherCurrentAssets,annualDilutedAverageShares,annualStockholdersEquity,annualBasicEPS,annualSaleOfInvestment,annualIncomeTaxPayable,annualDepreciationAndAmortization,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualAccountsReceivable,annualCurrentLiabilities,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualNetPPE,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualRepaymentOfDebt,annualEbitda,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualOtherNonCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualGrossPPE,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualBasicAverageShares,annualAccumulatedDepreciation,annualNonCurrentDeferredTaxesLiabilities,annualInvestingCashFlow,annualStockBasedCompensation,annualCapitalExpenditure,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,annualOperatingExpense,annualBeginningCashPosition,annualPurchaseOfBusiness,annualCurrentDeferredRevenue,annualChangesInAccountReceivables,annualInterestExpense,annualInventory,annualGoodwill,annualNetOtherFinancingCharges,annualChangeInInventory,annualDeferredIncomeTax,annualGrossProfit,annualResearchAndDevelopment,annualInvestmentsAndAdvances
2003-01-31,,,,107700000.0,,,,,259836000.0,9696000,362217000,10899000.0,,,,,,195059000.0,0.02,1203000.0,13248000,,,3960891,87359000.0,0.05,,,12522000.0,,2628000.0,,,9696000,,85180000.0,,,,,,,25770000,,2628000.0,,,,,,,-2349000.0,85180000.0,86382000.0,,1936416,,,,,-27430000.0,,9696000,89133000.0,,,,,2349000.0,,,,,,102381000.0,,
2004-01-31,,,,113642000.0,,,,,312203000.0,5084000,423863000,8107000.0,,,,,,206420000.0,-2.36,3023000.0,10896000,,,2331000,92778000.0,-2.36,,,15411000.0,,3178000.0,,,5084000,,99577000.0,,,,,,,26307000,,3178000.0,,,,,,,-2789000.0,99577000.0,98446000.0,,2331000,,,,,-30354000.0,,5084000,100764000.0,,,,,2789000.0,,,,,,111660000.0,,
2005-01-31,,,,,,,,,,9460000,491152000,,,,,,,,-0.7,,491152000,,,3180611,,-0.7,,,,,,,,-2232000,,,,,,,,,491152000,,,,,,,,,,,,,3180611,,,,,,,9460000,,,,,,,,,,,,,,
2006-01-31,899000.0,630000.0,,159600000.0,-853000.0,0.0,-91199000.0,-4006000.0,404794000.0,15969000,579075000,26473000.0,45381000.0,2839000.0,,,,282615000.0,0.33,10504000.0,29424000,34435000.0,0.0,48196240,123015000.0,0.74,,,22285000.0,34543000.0,2839000.0,15757000.0,68978000.0,3047000,199000.0,133003000.0,,90622000.0,37601000.0,,145451000.0,,51709000,,2839000.0,0.0,-165000.0,208534000.0,40449000.0,3841000.0,137164000.0,0.0,227149000.0,144857000.0,255000.0,4094233,-94146000.0,,-41607000.0,,-41607000.0,,15969000,144857000.0,3004000.0,,,,2951000.0,109374000.0,,213000.0,-5134000.0,-3037000.0,174281000.0,,
2007-01-31,7290000.0,1422000.0,,189837000.0,-4448000.0,-2414000.0,-83240000.0,-6701000.0,519929000.0,22543000,755113000,36774000.0,50737000.0,3645000.0,,,,338597000.0,0.45,14231000.0,40088000,43071000.0,0.0,49920577,148760000.0,1.38,,,29736000.0,40870000.0,3645000.0,18476000.0,83941000.0,7959000,346000.0,162080000.0,,105896000.0,55630000.0,-2217000.0,172046000.0,,69824000,,3645000.0,0.0,806000.0,223164000.0,50367000.0,9921000.0,166551000.0,0.0,279490000.0,195096000.0,-4377000.0,5770601,-117410000.0,,-64745000.0,,-62331000.0,,22543000,195096000.0,2839000.0,,,,3314000.0,129237000.0,,5360000.0,-19863000.0,-3080000.0,235184000.0,,
2008-01-31,-15551000.0,124783000.0,,257910000.0,-719000.0,4467000.0,-69124000.0,-54960000.0,628495000.0,25335000,912141000,42179000.0,74770000.0,3789000.0,,-93012000.0,,469413000.0,0.48,16844000.0,46721000,52122000.0,0.0,53293000,211503000.0,0.69,,,39503000.0,59783000.0,3789000.0,20643000.0,111905000.0,14116000,0.0,236389000.0,,146005000.0,46906000.0,-6742000.0,228944000.0,,86224000,,3789000.0,0.0,144000.0,574000.0,71235000.0,50637000.0,240469000.0,0.0,377138000.0,236925000.0,708000.0,20383000,-140749000.0,,-97399000.0,,-101866000.0,,25335000,236925000.0,3645000.0,,,,4542000.0,176109000.0,,1575000.0,-46872000.0,-3284000.0,283646000.0,,
2009-01-31,-26463000.0,2517000.0,,323964000.0,-631000.0,0.0,-43856000.0,-35660000.0,756712000.0,25268000,1084646000,42358000.0,88047000.0,3638000.0,101288000.0,,18000000.0,568932000.0,0.43,17090000.0,46301000,47811000.0,0.0,58967000,244968000.0,0.44,,0.0,51445000.0,51202000.0,3638000.0,,117013000.0,25268000,0.0,292224000.0,-4311000.0,206951000.0,75203000.0,-59000.0,276708000.0,-1186692000.0,97746000,,3638000.0,0.0,-151000.0,582000.0,0.0,35509000.0,292224000.0,0.0,469623000.0,281633000.0,2103000.0,57425000,-177399000.0,17616000.0,-110863000.0,3877000.0,-110863000.0,,25268000,281633000.0,3789000.0,,,,3943000.0,213602000.0,,1774000.0,-37493000.0,22583000.0,327934000.0,,
2010-01-31,62740000.0,1228000.0,,261027000.0,0.0,0.0,-4500000.0,104722000.0,849722000.0,39356000,1222771000,65951000.0,0.0,4017000.0,113718000.0,0.0,0.0,553635000.0,0.66,26595000.0,68153000,56387000.0,0.0,59237000,292608000.0,0.68,,10781000.0,62166000.0,59189000.0,4017000.0,,126357000.0,39356000,0.0,290861000.0,8576000.0,134670000.0,172827000.0,0.0,262774000.0,-1267720000.0,130319000,,4017000.0,0.0,379000.0,586000.0,0.0,-104343000.0,290861000.0,0.0,516507000.0,304896000.0,5473000.0,57915000,-225646000.0,20952000.0,-68105000.0,5949000.0,-68105000.0,,39356000,304896000.0,3638000.0,,,,2202000.0,206948000.0,,476000.0,6654000.0,3143000.0,373049000.0,,
2011-01-31,32840000.0,17100000.0,,327955000.0,,0.0,66530000.0,79428000.0,970753000.0,71030000,1454838000,118129000.0,,111185000.0,134572000.0,,,730488000.0,1.16,47099000.0,118884000,87093000.0,0.0,61288000,402533000.0,1.2,,0.0,64936000.0,76264000.0,111185000.0,,163357000.0,71030000,0.0,326099000.0,30706000.0,164598000.0,176543000.0,,404389000.0,0.0,183820000,,111185000.0,0.0,107168000.0,606000.0,0.0,27740000.0,326099000.0,0.0,579799000.0,365201000.0,515000.0,58959000,-253700000.0,30026000.0,-97115000.0,11155000.0,-97115000.0,,71030000,365201000.0,4017000.0,,,,755000.0,218516000.0,,10640000.0,-11568000.0,7741000.0,484085000.0,,
2012-01-31,26835000.0,,,372513000.0,,0.0,186794000.0,92251000.0,1159311000.0,120264000,1776151000,195608000.0,,253738000.0,163463000.0,,,957217000.0,1.9,75344000.0,196195000,86442000.0,0.0,63334000,584704000.0,1.96,,4002000.0,75931000.0,74411000.0,253738000.0,26153000.0,164855000.0,120264000,0.0,376985000.0,-651000.0,207658000.0,220887000.0,-3236000.0,580232000.0,0.0,272126000,,253738000.0,0.0,142553000.0,627000.0,0.0,50302000.0,376985000.0,0.0,673354000.0,410658000.0,-14294000.0,61259000,-296369000.0,44195000.0,-128636000.0,11605000.0,-128636000.0,,120264000,420645000.0,111185000.0,,,-3861000.0,587000.0,244647000.0,,25899000.0,-26131000.0,10827000.0,616840000.0,,
