date,annualBasicAverageShares,annualAccountsReceivable,annualPurchaseOfInvestment,annualLongTermDebt,annualDilutedEPS,annualStockholdersEquity,annualDepreciationAndAmortization,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualTotalAssets,annualInvestingCashFlow,annualChangeInInventory,annualRetainedEarnings,annualCurrentLiabilities,annualGoodwill,annualStockBasedCompensation,annualChangeInWorkingCapital,annualSaleOfInvestment,annualInventory,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualDilutedAverageShares,annualAccountsPayable,annualOperatingCashFlow,annualOperatingIncome,annualCapitalStock,annualOtherIncomeExpense,annualTotalRevenue,annualRepaymentOfDebt,annualEndCashPosition,annualNetOtherInvestingChanges,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,annualOtherNonCurrentLiabilities,annualPretaxIncome,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualOtherNonCurrentAssets,annualOperatingExpense,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualEbitda,annualInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualGrossProfit,annualOtherShortTermInvestments,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualFreeCashFlow,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualNetIncome,annualPurchaseOfBusiness,annualBeginningCashPosition,annualOtherNonCashItems,annualCashDividendsPaid,annualCurrentDebt,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualChangeInAccountPayable
1995-12-31,10000000,8900000,,4300000,0.02,5400000,600000.0,300000,0.02,19600000,-9000000,,-100000,9600000,,,,,,,,10500000,10000000,9300000,1500000,700000,0,300000,2100000,,0,-2700000,7500000,0,,11200000,0.0,500000,,,200000.0,900000,-700000,300000,-6300000.0,,8900000,200000,,0.0,0,,1300000,400000,4600000,200000,300000,1600000,,3600000.0,10700000,-4800000,0.0,500000,14200000,300000,200000,,0,400000.0,,300000.0,,,,,
1996-12-31,21111111,8000000,,5600000,0.08,21300000,1800000.0,1300000,0.09,44200000,-27400000,,1800000,8200000,,,,,,,,27700000,23750000,7900000,4600000,5300000,0,-1400000,9300000,,0,-15200000,22800000,0,,30200000,7800000.0,3400000,,,8400000.0,2500000,-2500000,700000,-12200000.0,,8100000,1900000,,-200000.0,0,,7100000,500000,14700000,1900000,1500000,7800000,,13800000.0,36100000,-7600000,100000.0,1500000,22900000,1500000,1900000,,0,-600000.0,,300000.0,,,,,
1997-12-31,38000000,14200000,,17500000,0.29,77700000,7400000.0,7900000,0.3,130200000,-78600000,,13100000,24800000,,,,,3200000.0,,,108300000,39310345,24800000,32000000,28900000,0,-9100000,53700000,,2900000,-32600000,49500000,0,2900000.0,116600000,2300000.0,19300000,,,0.0,10700000,-8300000,3300000,-46000000.0,,21900000,11400000,2900000.0,900000.0,2900000,,36300000,600000,27700000,11400000,7700000,39600000,,44400000.0,108300000,-14000000,1600000.0,14100000,52500000,7900000,11400000,,0,5500000.0,,,,,,,
1998-12-31,48571429,11400000,,93900000,0.07,123800000,13500000.0,9700000,0.07,264700000,-150800000,,16600000,33600000,,,,,2800000.0,,,246900000,48571429,32500000,28800000,18400000,0,-10400000,55700000,,1400000,-1000000,120600000,1100000,1400000.0,267300000,3700000.0,5200000,,,600000.0,18000000,-20400000,4500000,-149800000.0,,17200000,3400000,1400000.0,400000.0,-1500000,,31900000,2700000,107300000,3400000,1500000,36400000,,43800000.0,247500000,-121000000,1600000.0,19300000,140900000,1800000,3400000,,2900000,9200000.0,,,,,,,
1999-12-31,50000000,17500000,,95500000,0.37,149100000,20300000.0,23900000,0.4,303300000,-46400000,,36400000,30500000,,,-14000000.0,,7200000.0,,,266500000,54054054,30500000,41300000,63000000,0,-22200000,108400000,,4600000,-100000,8500000,0,4600000.0,305900000,4300000.0,33600000,,,5500000.0,25400000,-39400000,5100000,-46300000.0,,31300000,20000000,4600000.0,-1500000.0,3200000,,83300000,7200000,123700000,20000000,14400000,88400000,,8400000.0,272000000,-5000000,2000000.0,20000000,154200000,13600000,20000000,,1400000,-100000.0,,,,,,,
2000-12-31,53000000,42530000,-800000.0,101619000,1.17,213439000,31797000.0,96865000,1.17,489703000,-142073000,,80474000,71527000,,,13370000.0,,6018000.0,6954000.0,,415648000,53000000,71527000,151521000,171038000,0,-53360000,234653000,,15861000,-96034000,1540000,0,15861000.0,487900000,6253000.0,107706000,,,0.0,38414000,-72252000,6617000,-36779000.0,,67101000,61449000,15861000.0,-1707000.0,11294000,,202835000,9972000,204737000,61449000,43380000,209452000,,3767000.0,422602000,114742000,2692000.0,25201000,276264000,46257000,61449000,,4567000,,,,,,,,
2001-12-31,54000000,43457000,-3520000.0,101053000,1.17,279043000,53932000.0,129698000,1.21,605779000,-163850000,,142897000,76690000,,,3501000.0,,2593000.0,,,546705000,56000000,69206000,156386000,180607000,0,-64655000,274899000,,6716000,-158136000,-1122000,7484000,6716000.0,673093000,7965000.0,110343000,,,1012000.0,61079000,-126388000,7295000,-2194000.0,-5003000.0,58062000,65743000,6716000.0,-417000.0,-9145000,,234539000,6072000,238716000,65743000,32327000,241686000,,4864000.0,547717000,154192000,0.0,33213000,315406000,44137000,65743000,,15861000,,,,,,,,
2002-12-31,55791000,56582000,,193025000,0.73,324308000,95450000.0,171094000,0.74,811711000,-224345000,,183751000,90794000,,,-11730000.0,,3207000.0,,,711902000,56847000,79817000,144645000,139584000,0,-60591000,287540000,,32562000,-113311000,104246000,10977000,32562000.0,928874000,11169000.0,72569000,,,2759000.0,104980000,-216972000,9392000,-23433000.0,-717000.0,97050000,41322000,32562000.0,-136000.0,25846000,,235034000,6286000,375288000,41322000,21121000,244564000,,13127000.0,714661000,121212000,0.0,42976000,466082000,31247000,41322000,,6716000,,,,,,,,
2003-12-31,58600290,39640000,,135558000,0.96,362219000,95988000.0,152993000,0.97,789256000,-81244000,,240493000,95374000,,,14931000.0,,3477000.0,,-87653000.0,688144000,59093044,79937000,164039000,153989000,0,-80632000,315572000,,53351000,-82538000,-57903000,15437000,53351000.0,984077000,13514000.0,38309000,,,1678000.0,108090000,-295933000,11931000,,,99434000,56742000,53351000.0,266000.0,20789000,,249977000,9179000,302065000,56742000,-23044000,262079000,,88162000.0,689822000,164039000,0.0,53493000,397439000,-18433000,56742000,,32562000,-2034000.0,-88864000.0,,,,,,
2004-12-31,60166163,54044000,,75014000,1.77,391261000,104988000.0,145680000,1.81,844602000,-28066000,,115636000,141633000,,,22479000.0,,4468000.0,,27697000.0,688837000,66375229,85837000,191377000,180054000,0,-129935000,354525000,,65031000,-52407000,-143102000,55796000,65031000.0,1086547000,51688000.0,47074000,,,27132000.0,108689000,-397710000,13410000,-140244000.0,,128633000,47414000,65031000.0,104000.0,20711000,,285042000,3086000,272382000,113700000,-21033000,288743000,,39704000.0,715969000,51133000,68000.0,65782000,414015000,-3925000,113700000,,44320000,-1281000.0,-122366000.0,,,,,,
