date,annualEndCashPosition,annualTaxProvision,annualCurrentDebt,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,annualCurrentDeferredRevenue,annualDilutedEPS,annualCostOfRevenue,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualOperatingIncome,annualBasicAverageShares,annualAccountsPayable,annualOtherCurrentAssets,annualPretaxIncome,annualRetainedEarnings,annualTotalAssets,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,annualAccountsReceivable,annualRepurchaseOfCapitalStock,annualSaleOfInvestment,annualBasicEPS,annualOtherIntangibleAssets,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualNetPPE,annualOperatingCashFlow,annualCurrentAssets,annualOtherNonCurrentAssets,annualEbitda,annualCashFlowFromContinuingFinancingActivities,annualStockBasedCompensation,annualPurchaseOfBusiness,annualCapitalStock,annualStockholdersEquity,annualInvestingCashFlow,annualIncomeTaxPayable,annualDepreciationAndAmortization,annualTotalNonCurrentAssets,annualGrossPPE,annualLongTermDebt,annualOtherNonCashItems,annualOtherIncomeExpense,annualNetIncome,annualGoodwill,annualInterestExpense,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualOperatingExpense,annualBeginningCashPosition,annualRepaymentOfDebt,annualPurchaseOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualGrossProfit,annualDilutedAverageShares,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualChangeInInventory,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualCashDividendsPaid,annualInventory
2007-12-31,24049000,103184000,35171000,12798000,,154963000,24049000,-8699000,802195000,,0.834868,357191000,215580000,107576000,271767000,173216650,78234000,8525000,258147000,-515756000,830041000,-6003000,62085000,86488000,-204770000,22872000,0.868127,141160000,,52399000,28350000,150374000,1677963000,355426000,85436000,248521000,182583000,12936000,346834000,-212591000,8244000,-50658000,100000,-1203348000,-110831000,,65759000,647458000,244550000,403159000,5468000,9308000,150374000,339891000,22928000,-75103000,232843000,-32941000,173237000,99152000,-136008000,-44101000,,445004000,180117150,-159114000,-5698000,2033389000,10798000,3908000,,,,,,,
2008-12-31,33185000,120671000,219398000,55581000,,158228000,33185000,-82434000,893550000,,0.821991,386897000,217254000,131239000,310542000,184925950,83381000,16187000,278899000,-243495000,928877000,-102226000,76194000,83941000,-392562000,21724000,0.855629,112713000,,38299000,5114000,158228000,1433801000,504899000,82587000,247906000,168927000,8910000,375087000,-107376000,9881000,-18951000,100000,-1009823000,-130466000,,64872000,759950000,262545000,450356000,1445000,-327000,158228000,447372000,31316000,9136000,202120000,-30652000,196111000,24049000,-35287000,-361000,,506653000,192493650,-179958000,19895000,1938700000,-8035000,3609000,,,,,,,
2009-12-31,71527000,137991000,66660000,19976000,5284000,126614000,71527000,-53628000,1027104000,,0.7,491294000,287707000,162604000,302007000,174767795,101401000,21656000,264605000,51275000,996953000,-85607000,76960000,89436000,-46740000,886000,0.72,108526000,,76972000,5445000,126614000,731623000,300279000,89165000,326401000,225345000,16831000,371069000,-102809000,12744000,-61350000,130000,-34949000,-185340000,,71199000,771608000,279040000,527509000,5151000,-2264000,126614000,490829000,35265000,38342000,125520000,-38694000,233803000,33185000,-163754000,-575000,,535810000,182165661,-189875000,12190000,1031902000,38265000,-1990000,,,,,,,
2010-12-31,54974000,164098000,437717000,40843000,3500000,242552000,54974000,-55803000,1138343000,,1.3,463473000,297391000,166374000,440370000,177733503,111995000,7066000,406650000,293827000,1217090000,283000,90213000,126564000,-420061000,743000,1.36,200229000,,60627000,5653000,242552000,610650000,720882000,93409000,336032000,240435000,26697000,509440000,-108787000,21298000,-205558000,135000,-114442000,-243689000,0,68126000,976655000,318501000,401826000,12016000,639000,242552000,632668000,34664000,-16553000,163007000,-38641000,234500000,71527000,0,-516000,,674870000,186394962,-225092000,10294000,1331532000,28506000,-24559000,,,,,,,
2011-12-31,191603000,177663000,5554000,42092000,4012000,282758000,191603000,-78287000,1331840000,176842000,1.63,533735000,315892000,209469000,510017000,166015238,,41248000,460421000,576585000,1541106000,-3200000,61866000,153339000,-381776000,1730000,1.7,226424000,,196669000,5066000,282758000,1289946000,349650000,119411000,375721000,453654000,21193000,592887000,-34780000,22656000,-141281000,137000,-98490000,-204129000,,78619000,1087452000,361270000,1100332000,279979000,4050000,282758000,709944000,53847000,136629000,250000,-59829000,288088000,54974000,-555000000,-1549000,,798105000,173325110,-241859000,21321000,1639596000,10479000,-25926000,,,,,,,
2012-12-31,89819000,190066000,190000000,50218000,107933000,329142000,89819000,-89160000,1534320000,200705000,1.92,607174000,393856000,231359000,591588000,165890258,,9832000,519208000,905727000,2360336000,-250000,65271000,165174000,-162275000,1932000,1.98,520935000,,94702000,4883000,329142000,1519395000,585350000,154084000,468229000,390559000,47299000,695915000,313555000,37807000,-808313000,137000,255591000,-883583000,,104199000,1969777000,430065000,1264409000,2602000,128000,329142000,1247459000,72508000,-101784000,79715000,-74373000,335558000,191603000,-347224000,-4034000,133761000,927146000,171709518,-275981000,63261000,2104745000,-10104000,-6425000,,,,,,,
2013-12-31,165801000,196426000,4448000,102571000,107290000,342314000,165801000,-43488000,1595703000,226581000,2.02,622523000,360944000,228982000,614267000,168031412,,6714000,538740000,1254107000,2504451000,-561000,23824000,143059000,-277411000,7484000,2.07,447618000,,169712000,3911000,348380000,1525683000,431179000,233373000,506920000,474845000,105979000,749454000,-284472000,36017000,-983000,137000,547589000,-145626000,,134578000,2029606000,542572000,1265129000,3161000,609000,348380000,1181681000,76136000,75982000,90423000,-145976000,358913000,89819000,-190000000,-5870000,198604000,973180000,172276360,-309199000,44140000,1956862000,47388000,2106000,,,,,,,
2014-12-31,39359000,219755000,330000000,14758000,93294000,370865000,39359000,-80514000,1746726000,252592000,2.37,716598000,342634000,227306000,660446000,165823803,87432000,13292000,590620000,1654149000,2345330000,0,21002000,203339000,-778484000,513000,2.41,406476000,,43160000,3801000,400042000,1363017000,771270000,302273000,489452000,384483000,26363000,804087000,-579078000,35604000,-35192000,137000,211043000,-35530000,,143483000,1960847000,679835000,1095848000,2638000,158000,400042000,1207146000,69984000,-126442000,0,-146818000,369682000,165801000,0,-5203000,202540000,1030128000,169132423,-377562000,24491000,2134287000,-31435000,-54515000,,,,,,,
2015-12-31,138348000,209859000,870000000,7824000,245664000,507577000,138348000,-242052000,2068010000,356951000,3.01,803274000,457549000,312690000,736562000,165090380,,14262000,717436000,2161726000,5615927000,554000,27005000,283509000,-20456000,101177000,3.07,1376745000,720848000,141924000,3576000,507577000,2764659000,1479257000,418168000,623687000,604569000,48697000,1054236000,2481013000,44618000,-2941644000,137000,1372011000,-3006317000,,215484000,5011358000,896464000,2290862000,12899000,102190000,507577000,3134826000,121316000,98989000,0,-166138000,528174000,39359000,-340000000,-266000,396430000,1264736000,168451343,-478296000,-4050000,4243916000,-14336000,-14609000,,,,,,,
2016-12-31,135100000,202200000,100000000,22900000,92700000,451500000,135100000,-650800000,1995200000,330800000,3.45,714400000,389600000,301600000,767600000,168248304,90400000,16200000,653700000,2752900000,4631200000,500000,60500000,216400000,-326800000,9000000,3.51,1010800000,0,138500000,3400000,591200000,2677200000,621600000,380300000,546100000,500900000,125900000,998300000,-1032800000,44500000,-74100000,100000,1332400000,493200000,,224600000,4130300000,865600000,2273100000,5000000,6100000,591200000,2578100000,120000000,-3200000,0,-156500000,513200000,138300000,-770000000,-300000,322200000,1280800000,171171572,-485300000,14800000,3298800000,-39100000,-5700000,,,,,,,
