date,annualIncomeTaxPayable,annualOtherNonCashItems,annualDepreciationAndAmortization,annualLongTermDebt,annualInvestingCashFlow,annualStockholdersEquity,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualRetainedEarnings,annualPurchaseOfInvestment,annualAccountsReceivable,annualCapitalStock,annualGoodwill,annualSaleOfInvestment,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,annualRepaymentOfDebt,annualOperatingCashFlow,annualNetPPE,annualBasicEPS,annualNetOtherInvestingChanges,annualOperatingIncome,annualEndCashPosition,annualNonCurrentDeferredRevenue,annualGrossPPE,annualInvestmentsAndAdvances,annualPretaxIncome,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualChangesInAccountReceivables,annualDilutedEPS,annualTaxProvision,annualBasicAverageShares,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualTotalRevenue,annualChangeInAccountPayable,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualInterestExpense,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualDilutedAverageShares,annualNetIncome,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCashDividendsPaid,annualCurrentDebt,annualFreeCashFlow,annualCurrentLiabilities,annualGrossProfit,annualInventory,annualOperatingExpense,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentAssets,annualOtherCurrentLiabilities,annualCostOfRevenue,annualEbitda,annualOtherIncomeExpense,annualChangeInInventory,annualStockBasedCompensation,annualOtherCurrentAssets,annualOtherNonCurrentLiabilities,annualOtherNonCurrentAssets
1988-09-30,,,,,,,,,,,,,,,,,,,,,,0.830687,,,,,,,,,,,,725052627.0,,,0.830687,,872834987.0,,,,,,725052627.0,,,,,,,872834987.0,725052627.0,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,,,,,,,,,,,,,,0.776704,,,,,,,,,,,,789579763.0,,,0.776704,,1016578012.0,,,,,,789579763.0,,,,,,,1016578012.0,789579763.0,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-30,,1996732291.0,192196238.0,20993137005.0,-999638567.0,6858957800.0,,107159460874.0,-1785389139.0,1430807681.0,-657781324.0,,,,,,,1955893620.0,-5077082968.0,3458078088.0,2805386450.0,0.637927,226612210.0,915052833.0,0.0,,,8598782131.0,920869617.0,,1661782479.0,,-568469453.0,684926316.0,10696702227.0,,0.637927,235943301.0,1073675248.0,673050382.0,1955893620.0,5174271734.0,,,684926316.0,10026681420.0,0.0,,,100277720670.0,584223243.0,1073675248.0,684926316.0,,-289142638.0,-552594480.0,6263464538.0,2889608635.0,,,,,,,,,,,,,,,,,,,
1991-09-30,,,,17453351097.0,0.0,7228485712.0,,106099120092.0,,1562506225.0,,,,,,,,,,476705306.0,2755522000.0,0.393117,,253508024.0,0.0,,,12203580683.0,256514048.0,,1670096834.0,,,476705306.0,9684783073.0,,0.393117,-220191258.0,1212630142.0,476705306.0,,4547863810.0,,,476705306.0,7883297940.0,,,,98848590204.0,,1212630142.0,476705306.0,,-176102906.0,,,476705306.0,,,,,,,,,,,,,,,,,,,
1992-09-30,,4840135290.0,189053604.0,6746030190.0,-10137266478.0,6646616478.0,,110452124682.0,7812214326.0,227450754.0,-11488287654.0,,,,9642013056.0,,,,-1175371668.0,2388163104.0,2217679758.0,-0.879243,-8177475942.0,-1967330340.0,0.0,,,9898087140.0,-1967051088.0,,1587407994.0,,-113515938.0,-1555433640.0,12539112930.0,,-0.879243,-411617448.0,1769060114.0,63250578.0,,4575125142.0,,-249232410.0,-1555433640.0,5654294496.0,5970268134.0,,,103805508204.0,-836359740.0,1769060114.0,-1555433640.0,,920833470.0,-307875330.0,,2274647166.0,,,,,,,,,,,,,,,,,,,
1993-09-30,,1352819328.0,177347520.0,3342378480.0,5883581760.0,7121903040.0,,105020845440.0,-7320252240.0,234440976.0,-9724866816.0,,211883616.0,,11087020224.0,,,,-6357130752.0,1084931232.0,1858570896.0,0.009271,4621614144.0,76072752.0,0.0,,,9501626736.0,71716848.0,,1511809824.0,,-100185792.0,39358704.0,1618373904.0,,0.009271,32358144.0,1661233200.0,-351894816.0,,4481758512.0,,-95363184.0,15401232.0,4240939248.0,893893728.0,,,97870629024.0,-389231136.0,1661233200.0,39358704.0,,1099554624.0,-207216576.0,3434474736.0,984745440.0,,,,,,,,,,,,,,,,,,,
1994-09-30,,931084356.0,164165940.0,2928233952.0,1802987904.0,7292615868.0,,93847790352.0,-5204398088.0,612075480.0,-1994447276.0,,211186308.0,,2387634836.0,,,,-4020646812.0,3054297180.0,1737997108.0,3.575151,1545727040.0,614777800.0,0.0,,,7416787472.0,611805248.0,,1366968572.0,,-135926696.0,704629940.0,1077685216.0,,3.575151,-92824692.0,1833080223.0,-346977888.0,,4306417152.0,,-113632556.0,647475872.0,3225354036.0,-1467089528.0,,,86550310308.0,1368049500.0,1833080223.0,704629940.0,,717060612.0,-285364992.0,2602334160.0,2918370484.0,,,,,,,,,,,,,,,,,,,
1995-09-30,,,,15845616360.0,0.0,7574057736.0,,105779298016.0,,841606080.0,,,,,,18922904.0,,,,0.0,1629090008.0,0.494189,,1388385376.0,0.0,,,8402563344.0,1385209504.0,,1529182368.0,,,1014426448.0,1049361040.0,,0.494189,370783056.0,2052710140.0,,,4382703360.0,,,1014426448.0,4188842840.0,,,,98200211816.0,,2052710140.0,1014426448.0,,0.0,,2914524200.0,0.0,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,13771484300.0,0.0,7905983302.0,,121835695338.0,,1369683868.0,,,,,,1159031398.0,,,,0.0,1873984616.0,0.557941,,1560093458.0,0.0,,,7703427984.0,1557057026.0,,1785675052.0,,,1134992978.0,1290357082.0,,0.557941,422064048.0,2034251029.0,,,4754546440.0,,,1134992978.0,5279975694.0,,,,113923639172.0,,2034251029.0,1134992978.0,,0.0,,7245179788.0,0.0,,,,,,,,,,,,,,,,,,,
1997-09-30,,-775527144.0,217858638.0,8160121964.0,6702494720.0,8192091100.0,,118848294636.0,-6794405986.0,1871159042.0,-1346699854.0,422626466.0,,,1944191982.0,1027973080.0,,710348690.0,-1101970606.0,4960728.0,1670387356.0,0.69528,6422764780.0,1784208504.0,0.0,,,7868403598.0,1782279332.0,,1826374692.0,,-317762188.0,1289789280.0,1247760890.0,,0.673382,492490052.0,1855063559.0,-86950538.0,710348690.0,5087088766.0,,-408571070.0,1289789280.0,5193055428.0,-112718764.0,,,110650140424.0,-318588976.0,1915390829.0,1289789280.0,,407606484.0,-685407252.0,,-312801460.0,,,,,,,,,,,,,,,,,,,
